Date,Team1,Team2,Map,Event
7/7/21,Complexity (16),LDLC (13),d2  Dust2,IEM Cologne 2021 Play-In
7/7/21,Entropiq (16),DBL PONEY (6),d2  Dust2,Pinnacle Cup II
7/7/21,Entropiq (4),DBL PONEY (16),vtg  Vertigo,Pinnacle Cup II
7/7/21,DBL PONEY (12),Entropiq (16),ovp  Overpass,Pinnacle Cup II
7/7/21,bankaPEPSI (10),GamerLegion (16),ovp  Overpass,Domination League Season 2
7/7/21,GamerLegion (16),bankaPEPSI (6),anc  Ancient,Domination League Season 2
7/7/21,Sprout (16),TeamOne (8),mrg  Mirage,IEM Cologne 2021 Play-In
7/7/21,TeamOne (13),Sprout (16),d2  Dust2,IEM Cologne 2021 Play-In
7/7/21,Sprout (12),TeamOne (16),nuke  Nuke,IEM Cologne 2021 Play-In
7/7/21,ViCi (7),Evil Geniuses (16),mrg  Mirage,IEM Cologne 2021 Play-In
7/7/21,Evil Geniuses (16),ViCi (5),inf  Inferno,IEM Cologne 2021 Play-In
7/7/21,100PG (4),Copenhagen Flames (16),anc  Ancient,Pinnacle Cup II
7/7/21,100PG (16),Copenhagen Flames (8),nuke  Nuke,Pinnacle Cup II
7/7/21,Copenhagen Flames (19),100PG (17),inf  Inferno,Pinnacle Cup II
7/7/21,PACT (16),No Org (11),nuke  Nuke,Domination League Season 2
7/7/21,PACT (16),No Org (14),d2  Dust2,Domination League Season 2
7/7/21,No Org (16),PACT (6),anc  Ancient,Domination League Season 2
7/7/21,AGO (12),TeamOne (16),inf  Inferno,Pinnacle Cup II
7/7/21,TeamOne (4),AGO (16),anc  Ancient,Pinnacle Cup II
7/7/21,Kinship (16),Valkyrie (10),d2  Dust2,ESEA Advanced Season 37 North America
7/7/21,Valkyrie (16),Kinship (14),vtg  Vertigo,ESEA Advanced Season 37 North America
7/7/21,Kinship (16),Valkyrie (13),inf  Inferno,ESEA Advanced Season 37 North America
7/7/21,Pryde (16),Infinity (11),nuke  Nuke,ESEA Advanced Season 37 North America
7/7/21,Pryde (22),Infinity (20),vtg  Vertigo,ESEA Advanced Season 37 North America
7/7/21,Infinity (16),Pryde (14),d2  Dust2,ESEA Advanced Season 37 North America
7/7/21,UYU (7),Verum (16),mrg  Mirage,ESEA Advanced Season 37 North America
7/7/21,UYU (5),Verum (16),vtg  Vertigo,ESEA Advanced Season 37 North America
7/7/21,Rectify (7),Triumph (16),mrg  Mirage,Mythic Summer Series 2021 Cup 1
7/7/21,Triumph (12),Rectify (16),ovp  Overpass,Mythic Summer Series 2021 Cup 1
7/7/21,Rectify (10),Triumph (16),inf  Inferno,Mythic Summer Series 2021 Cup 1
7/7/21,Third Impact (12),Recon 5 (16),inf  Inferno,Mythic Summer Series 2021 Cup 1
7/7/21,Recon 5 (16),Third Impact (5),mrg  Mirage,Mythic Summer Series 2021 Cup 1
7/7/21,GGPR (7),CENSRD (16),nuke  Nuke,Mythic Summer Series 2021 Cup 1
7/7/21,CENSRD (16),GGPR (11),vtg  Vertigo,Mythic Summer Series 2021 Cup 1
7/7/21,Party Astronauts (16),Revel (6),inf  Inferno,Mythic Summer Series 2021 Cup 1
7/7/21,Party Astronauts (16),Revel (6),d2  Dust2,Mythic Summer Series 2021 Cup 1
6/7/21,BIG (19),OG (17),mrg  Mirage,IEM Cologne 2021 Play-In
6/7/21,OG (9),BIG (16),d2  Dust2,IEM Cologne 2021 Play-In
6/7/21,Renegades (16),MIBR (14),mrg  Mirage,IEM Cologne 2021 Play-In
6/7/21,MIBR (15),Renegades (19),vtg  Vertigo,IEM Cologne 2021 Play-In
6/7/21,Izako Boars (16),KOVA (6),nuke  Nuke,Domination League Season 2
6/7/21,Izako Boars (8),KOVA (16),ovp  Overpass,Domination League Season 2
6/7/21,KOVA (9),Izako Boars (16),d2  Dust2,Domination League Season 2
6/7/21,FaZe (16),Complexity (6),nuke  Nuke,IEM Cologne 2021 Play-In
6/7/21,Complexity (13),FaZe (16),d2  Dust2,IEM Cologne 2021 Play-In
6/7/21,Quantum Bellator Fire (13),AaB (16),inf  Inferno,POWER Ligaen Season 17
6/7/21,Quantum Bellator Fire (19),AaB (17),d2  Dust2,POWER Ligaen Season 17
6/7/21,Quantum Bellator Fire (17),AaB (19),trn  Train,POWER Ligaen Season 17
6/7/21,bankaPEPSI (6),Akuma (16),mrg  Mirage,ESEA Advanced Season 37 Europe
6/7/21,Akuma (16),bankaPEPSI (12),d2  Dust2,ESEA Advanced Season 37 Europe
