Date,Team1,Team2,Map,Event
28/5/22,BLUEJAYS (16),Illyrians (12),inf  Inferno,XP Game Fest 2022
28/5/22,Illyrians (4),BLUEJAYS (16),vtg  Vertigo,XP Game Fest 2022
28/5/22,paiN (7),GODSENT (16),inf  Inferno,ESL Challenger Valencia 2022 North America Closed Qualifier
28/5/22,GODSENT (16),paiN (9),vtg  Vertigo,ESL Challenger Valencia 2022 North America Closed Qualifier
28/5/22,paiN (16),GODSENT (6),anc  Ancient,ESL Challenger Valencia 2022 North America Closed Qualifier
27/5/22,ATK (8),GODSENT (16),ovp  Overpass,ESL Challenger Valencia 2022 North America Closed Qualifier
27/5/22,GODSENT (16),ATK (14),mrg  Mirage,ESL Challenger Valencia 2022 North America Closed Qualifier
27/5/22,OG Academy (9),PROSPECTS (16),mrg  Mirage,WePlay Academy League Season 4
27/5/22,Finest (16),Eternal Fire (14),d2  Dust2,Pinnacle Cup IV
27/5/22,Finest (16),Eternal Fire (6),vtg  Vertigo,Pinnacle Cup IV
27/5/22,Eternal Fire (16),Finest (9),ovp  Overpass,Pinnacle Cup IV
27/5/22,OG (16),MIBR (11),ovp  Overpass,Showmatch CS:GO
27/5/22,MIBR (5),OG (16),d2  Dust2,Showmatch CS:GO
27/5/22,fnatic Rising (20),MOUZ NXT (22),mrg  Mirage,WePlay Academy League Season 4
27/5/22,Sprout (16),MOUZ (12),inf  Inferno,ESL Challenger Valencia 2022 Europe Closed Qualifier
27/5/22,MOUZ (14),Sprout (16),vtg  Vertigo,ESL Challenger Valencia 2022 Europe Closed Qualifier
27/5/22,Spirit Academy (10),Young Gods (16),mrg  Mirage,WePlay Academy League Season 4
27/5/22,Apeks Rebels (5),BIG Academy (16),mrg  Mirage,WePlay Academy League Season 4
27/5/22,TMVG (4),Bob (16),nuke  Nuke,Elisa Open Finland Season 2
27/5/22,Bob (16),TMVG (3),inf  Inferno,Elisa Open Finland Season 2
27/5/22,Young Ninjas (12),Astralis Talent (16),anc  Ancient,WePlay Academy League Season 4
27/5/22,ESK (13),BLINK (16),mrg  Mirage,XP Game Fest 2022
27/5/22,ESK (16),BLINK (12),inf  Inferno,XP Game Fest 2022
27/5/22,BLINK (16),ESK (1),d2  Dust2,XP Game Fest 2022
27/5/22,Perspektiva (14),Illyrians (16),anc  Ancient,XP Game Fest 2022
27/5/22,Illyrians (16),Perspektiva (4),inf  Inferno,XP Game Fest 2022
27/5/22,Movistar Riders (12),Finest (16),mrg  Mirage,Pinnacle Cup IV
27/5/22,Movistar Riders (19),Finest (17),vtg  Vertigo,Pinnacle Cup IV
27/5/22,Finest (16),Movistar Riders (12),inf  Inferno,Pinnacle Cup IV
27/5/22,FORZE (12),MOUZ (16),anc  Ancient,ESL Challenger Valencia 2022 Europe Closed Qualifier
27/5/22,MOUZ (19),FORZE (16),ovp  Overpass,ESL Challenger Valencia 2022 Europe Closed Qualifier
27/5/22,COWABUNGA (11),Conquer (16),inf  Inferno,Elisa Open Finland Season 2
27/5/22,Conquer (16),COWABUNGA (13),nuke  Nuke,Elisa Open Finland Season 2
27/5/22,BLUEJAYS (16),uNiQUE (10),d2  Dust2,XP Game Fest 2022
27/5/22,uNiQUE (8),BLUEJAYS (16),inf  Inferno,XP Game Fest 2022
27/5/22,Sakrifica (8),X (16),inf  Inferno,XP Game Fest 2022
27/5/22,X (16),Sakrifica (3),nuke  Nuke,XP Game Fest 2022
27/5/22,Enterprise (16),Wolsung (9),inf  Inferno,CEE Champions 2022
27/5/22,Wolsung (16),Enterprise (14),mrg  Mirage,CEE Champions 2022
27/5/22,Enterprise (25),Wolsung (23),ovp  Overpass,CEE Champions 2022
27/5/22,Eternal Fire (16),ECSTATIC (12),inf  Inferno,Pinnacle Cup IV
27/5/22,ECSTATIC (17),Eternal Fire (19),nuke  Nuke,Pinnacle Cup IV
27/5/22,ATK (10),paiN (16),inf  Inferno,ESL Challenger Valencia 2022 North America Closed Qualifier
27/5/22,ATK (16),paiN (13),vtg  Vertigo,ESL Challenger Valencia 2022 North America Closed Qualifier
27/5/22,paiN (16),ATK (13),d2  Dust2,ESL Challenger Valencia 2022 North America Closed Qualifier
27/5/22,TeamOne (6),GODSENT (16),anc  Ancient,ESL Challenger Valencia 2022 North America Closed Qualifier
27/5/22,GODSENT (16),TeamOne (13),nuke  Nuke,ESL Challenger Valencia 2022 North America Closed Qualifier
26/5/22,ATK (16),GODSENT (7),vtg  Vertigo,ESL Challenger Valencia 2022 North America Closed Qualifier
26/5/22,GODSENT (20),ATK (22),mrg  Mirage,ESL Challenger Valencia 2022 North America Closed Qualifier
26/5/22,TeamOne (7),paiN (16),anc  Ancient,ESL Challenger Valencia 2022 North America Closed Qualifier
