Date,Team1,Team2,Map,Event
30/6/21,Akuma (11),Nemiga (16),nuke  Nuke,StarLadder CIS RMR 2021
30/6/21,Nemiga (16),Akuma (5),vtg  Vertigo,StarLadder CIS RMR 2021
30/6/21,Akuma (19),Nemiga (15),inf  Inferno,StarLadder CIS RMR 2021
30/6/21,Spirit (16),100PG (4),d2  Dust2,StarLadder CIS RMR 2021
30/6/21,100PG (8),Spirit (16),nuke  Nuke,StarLadder CIS RMR 2021
30/6/21,Spirit (7),100PG (16),inf  Inferno,StarLadder CIS RMR 2021
30/6/21,ONYX (20),Enterprise (22),mrg  Mirage,ESEA Advanced Season 37 Europe
30/6/21,Enterprise (11),ONYX (16),anc  Ancient,ESEA Advanced Season 37 Europe
30/6/21,ONYX (14),Enterprise (16),inf  Inferno,ESEA Advanced Season 37 Europe
30/6/21,1WIN (13),Complexity (16),ovp  Overpass,Spring Sweet Spring 3
30/6/21,1WIN (16),Complexity (2),mrg  Mirage,Spring Sweet Spring 3
30/6/21,Complexity (16),1WIN (10),nuke  Nuke,Spring Sweet Spring 3
30/6/21,Checkmate (16),D13 (13),anc  Ancient,DreamHack Open June 2021 Asia
30/6/21,D13 (11),Checkmate (16),inf  Inferno,DreamHack Open June 2021 Asia
30/6/21,Entropiq (16),AGO (7),nuke  Nuke,Spring Sweet Spring 3
30/6/21,AGO (11),Entropiq (16),d2  Dust2,Spring Sweet Spring 3
30/6/21,Entropiq (10),AGO (16),anc  Ancient,Spring Sweet Spring 3
30/6/21,Lynn Vision (8),Renewal (16),d2  Dust2,DreamHack Open June 2021 Asia
30/6/21,Lynn Vision (2),Renewal (16),nuke  Nuke,DreamHack Open June 2021 Asia
30/6/21,INTZ (3),Bravos (16),inf  Inferno,Liga Gamers Club 2021 Serie A June Cup
30/6/21,INTZ (4),Bravos (16),ovp  Overpass,Liga Gamers Club 2021 Serie A June Cup
30/6/21,Bravos (8),INTZ (16),d2  Dust2,Liga Gamers Club 2021 Serie A June Cup
30/6/21,Party Astronauts (16),RBG (5),inf  Inferno,DreamHack Open June 2021 North America
30/6/21,RBG (7),Party Astronauts (16),d2  Dust2,DreamHack Open June 2021 North America
30/6/21,Party Astronauts (12),RBG (16),ovp  Overpass,DreamHack Open June 2021 North America
30/6/21,O PLANO (5),GODSENT (16),vtg  Vertigo,DreamHack Open June 2021 North America
30/6/21,O PLANO (11),GODSENT (16),d2  Dust2,DreamHack Open June 2021 North America
29/6/21,SWS (9),Cruzeiro (16),inf  Inferno,Liga Gamers Club 2021 Serie A June Cup
29/6/21,Cruzeiro (16),SWS (14),d2  Dust2,Liga Gamers Club 2021 Serie A June Cup
29/6/21,1WIN (10),100PG (16),ovp  Overpass,Pinnacle Cup II
29/6/21,1WIN (17),100PG (19),d2  Dust2,Pinnacle Cup II
29/6/21,100PG (9),1WIN (16),mrg  Mirage,Pinnacle Cup II
29/6/21,NLG (7),Good Game (16),inf  Inferno,ESEA Advanced Season 37 Europe
29/6/21,Good Game (16),NLG (14),anc  Ancient,ESEA Advanced Season 37 Europe
29/6/21,Extra Salt (16),Triumph (6),vtg  Vertigo,DreamHack Open June 2021 North America
29/6/21,Extra Salt (16),Triumph (14),d2  Dust2,DreamHack Open June 2021 North America
29/6/21,Third Impact (4),paiN (16),nuke  Nuke,DreamHack Open June 2021 North America
29/6/21,paiN (16),Third Impact (11),mrg  Mirage,DreamHack Open June 2021 North America
29/6/21,EC Kyiv (16),Tricked (10),ovp  Overpass,ESEA Advanced Season 37 Europe
29/6/21,Tricked (6),EC Kyiv (16),d2  Dust2,ESEA Advanced Season 37 Europe
29/6/21,MAD Lions (16),Young Ninjas (13),inf  Inferno,GameGune 23
29/6/21,RVNS (6),Case (16),nuke  Nuke,GameGune 23
29/6/21,DBL PONEY (12),PACT (16),vtg  Vertigo,ESEA Advanced Season 37 Europe
29/6/21,DBL PONEY (12),PACT (16),inf  Inferno,ESEA Advanced Season 37 Europe
29/6/21,PACT (13),DBL PONEY (16),nuke  Nuke,ESEA Advanced Season 37 Europe
29/6/21,Spirit (16),Virtus.pro (7),ovp  Overpass,StarLadder CIS RMR 2021
29/6/21,Spirit (16),Virtus.pro (13),d2  Dust2,StarLadder CIS RMR 2021
29/6/21,Spirit (11),Virtus.pro (16),inf  Inferno,StarLadder CIS RMR 2021
29/6/21,FORZE (6),Gambit (16),d2  Dust2,StarLadder CIS RMR 2021
29/6/21,Gambit (16),FORZE (12),anc  Ancient,StarLadder CIS RMR 2021
