Date,Team1,Team2,Map,Event
31/1/22,SAW (3),SKADE (16),ovp  Overpass,Thunderpick Bitcoin Series 1
31/1/22,SAW (12),SKADE (16),anc  Ancient,Thunderpick Bitcoin Series 1
31/1/22,Dignitas (3),Eternal Fire (16),inf  Inferno,Pinnacle Winter Series 1
31/1/22,Dignitas (12),Eternal Fire (16),mrg  Mirage,Pinnacle Winter Series 1
31/1/22,Eternal Fire (12),Dignitas (16),anc  Ancient,Pinnacle Winter Series 1
31/1/22,Enterprise (13),777 (16),anc  Ancient,Elisa Invitational Winter 2021
31/1/22,Enterprise (16),777 (10),vtg  Vertigo,Elisa Invitational Winter 2021
31/1/22,777 (16),Enterprise (3),ovp  Overpass,Elisa Invitational Winter 2021
31/1/22,FORZE (16),Finest (4),ovp  Overpass,Thunderpick Bitcoin Series 1
31/1/22,Finest (13),FORZE (16),inf  Inferno,Thunderpick Bitcoin Series 1
31/1/22,Endpoint (12),Apeks (16),anc  Ancient,Pinnacle Winter Series 1
31/1/22,Apeks (16),Endpoint (4),mrg  Mirage,Pinnacle Winter Series 1
31/1/22,Dignitas (16),BLINK (7),inf  Inferno,Thunderpick Bitcoin Series 1
31/1/22,Dignitas (16),BLINK (11),vtg  Vertigo,Thunderpick Bitcoin Series 1
31/1/22,Dignitas (12),BLINK (16),mrg  Mirage,Thunderpick Bitcoin Series 1
31/1/22,K23 (16),Sprout (1),anc  Ancient,Pinnacle Winter Series 1
31/1/22,Sprout (7),K23 (16),nuke  Nuke,Pinnacle Winter Series 1
31/1/22,Orgless (16),ChocoCheck (13),inf  Inferno,ESEA Winter 2021 Cash Cup 3 North America
31/1/22,ChocoCheck (5),Orgless (16),anc  Ancient,ESEA Winter 2021 Cash Cup 3 North America
30/1/22,FaZe (16),Vitality (10),ovp  Overpass,BLAST Premier Spring Groups 2022
30/1/22,Strife (18),Orgless (22),vtg  Vertigo,ESEA Winter 2021 Cash Cup 3 North America
30/1/22,Orgless (16),Strife (7),ovp  Overpass,ESEA Winter 2021 Cash Cup 3 North America
30/1/22,RBG (10),ChocoCheck (16),mrg  Mirage,ESEA Winter 2021 Cash Cup 3 North America
30/1/22,ChocoCheck (16),RBG (9),vtg  Vertigo,ESEA Winter 2021 Cash Cup 3 North America
30/1/22,FaZe (19),Liquid (17),inf  Inferno,BLAST Premier Spring Groups 2022
30/1/22,Enterprise (9),AVANGAR (16),vtg  Vertigo,ESEA Winter 2021 Cash Cup 3 Europe
30/1/22,AVANGAR (16),Enterprise (19),ovp  Overpass,ESEA Winter 2021 Cash Cup 3 Europe
30/1/22,Enterprise (14),AVANGAR (16),mrg  Mirage,ESEA Winter 2021 Cash Cup 3 Europe
30/1/22,Little Bocks (8),CLG Red (16),mrg  Mirage,ESEA Winter 2021 Women Cash Cup 2 North America
30/1/22,CLG Red (16),Little Bocks (9),ovp  Overpass,ESEA Winter 2021 Women Cash Cup 2 North America
30/1/22,Cruzeiro fe (7),Liberty fe (16),anc  Ancient,ESEA Winter 2021 Women Cash Cup 2 South America
30/1/22,Liberty fe (16),Cruzeiro fe (8),vtg  Vertigo,ESEA Winter 2021 Women Cash Cup 2 South America
30/1/22,4750mix (3),Galaxy Racer fe (16),anc  Ancient,ESEA Winter 2021 Women Cash Cup 2 Europe
30/1/22,Galaxy Racer fe (16),4750mix (2),mrg  Mirage,ESEA Winter 2021 Women Cash Cup 2 Europe
30/1/22,Liquid (19),Evil Geniuses (17),inf  Inferno,BLAST Premier Spring Groups 2022
30/1/22,FaZe (15),Vitality (19),inf  Inferno,BLAST Premier Spring Groups 2022
30/1/22,Enterprise (16),NLG (6),ovp  Overpass,ESEA Winter 2021 Cash Cup 3 Europe
30/1/22,NLG (16),Enterprise (7),anc  Ancient,ESEA Winter 2021 Cash Cup 3 Europe
30/1/22,Enterprise (16),NLG (6),mrg  Mirage,ESEA Winter 2021 Cash Cup 3 Europe
30/1/22,AVANGAR (16),Tricked (14),vtg  Vertigo,ESEA Winter 2021 Cash Cup 3 Europe
30/1/22,Tricked (9),AVANGAR (16),mrg  Mirage,ESEA Winter 2021 Cash Cup 3 Europe
30/1/22,Liquid (15),FaZe (19),inf  Inferno,BLAST Premier Spring Groups 2022
30/1/22,Vitality (16),Evil Geniuses (3),inf  Inferno,BLAST Premier Spring Groups 2022
30/1/22,Nemiga (16),HEET (1),inf  Inferno,Thunderpick Bitcoin Series 1
30/1/22,Nemiga (16),HEET (13),nuke  Nuke,Thunderpick Bitcoin Series 1
30/1/22,ATK (9),ChocoCheck (16),inf  Inferno,ESEA Winter 2021 Cash Cup 3 North America
30/1/22,ONET4P (9),RBG (16),vtg  Vertigo,ESEA Winter 2021 Cash Cup 3 North America
30/1/22,Orgless (16),Third Impact (9),ovp  Overpass,ESEA Winter 2021 Cash Cup 3 North America
30/1/22,Strife (16),Party Astronauts (5),ovp  Overpass,ESEA Winter 2021 Cash Cup 3 North America
29/1/22,OG (16),Astralis (8),inf  Inferno,BLAST Premier Spring Groups 2022
