Date,Team1,Team2,Map,Event
25/8/22,ARCTIC (22),Redragon (19),ovp  Overpass,CCT South America Series 1
25/8/22,Redragon (5),ARCTIC (16),anc  Ancient,CCT South America Series 1
25/8/22,Into the Breach (16),B8 (6),vtg  Vertigo,Elisa Invitational Fall 2022 Contenders
25/8/22,B8 (8),Into the Breach (16),mrg  Mirage,Elisa Invitational Fall 2022 Contenders
25/8/22,OG (16),Complexity (4),ovp  Overpass,BLAST Premier Fall Groups 2022
25/8/22,Complexity (13),OG (16),anc  Ancient,BLAST Premier Fall Groups 2022
25/8/22,PALOMA (9),SKADE (16),d2  Dust2,CCT Central Europe Series 1
25/8/22,SKADE (16),PALOMA (7),anc  Ancient,CCT Central Europe Series 1
25/8/22,JANO (15),EYEBALLERS (19),anc  Ancient,Elisa Invitational Fall 2022 Contenders
25/8/22,EYEBALLERS (16),JANO (3),d2  Dust2,Elisa Invitational Fall 2022 Contenders
25/8/22,Illuminar (4),ECLOT (16),mrg  Mirage,CCT Central Europe Series 1
25/8/22,ECLOT (19),Illuminar (17),d2  Dust2,CCT Central Europe Series 1
25/8/22,TeamOne (16),Mythic (12),inf  Inferno,ESL Challenger League Season 42 North America
25/8/22,Mythic (7),TeamOne (16),mrg  Mirage,ESL Challenger League Season 42 North America
25/8/22,timbermen (10),Squirtle Squad (16),anc  Ancient,ESL Challenger League Season 42 North America
25/8/22,Squirtle Squad (16),timbermen (3),vtg  Vertigo,ESL Challenger League Season 42 North America
24/8/22,KOVA (3),MASONIC (16),inf  Inferno,CCT Central Europe Series 1
24/8/22,MASONIC (16),KOVA (8),anc  Ancient,CCT Central Europe Series 1
24/8/22,ECSTATIC (16),HEET (11),d2  Dust2,IEM Road to Rio 2022 Europe Open Qualifier 3
24/8/22,HEET (10),ECSTATIC (16),ovp  Overpass,IEM Road to Rio 2022 Europe Open Qualifier 3
24/8/22,Eternal Fire (16),Sangal (10),vtg  Vertigo,IEM Road to Rio 2022 Europe Open Qualifier 3
24/8/22,EC Kyiv (28),X (26),inf  Inferno,CCT Central Europe Series 1
24/8/22,X (14),EC Kyiv (16),d2  Dust2,CCT Central Europe Series 1
24/8/22,Entropiq (9),HEET (16),nuke  Nuke,IEM Road to Rio 2022 Europe Open Qualifier 3
24/8/22,ECSTATIC (16),los kogutos (9),d2  Dust2,IEM Road to Rio 2022 Europe Open Qualifier 3
24/8/22,B8 (2),Sangal (16),inf  Inferno,IEM Road to Rio 2022 Europe Open Qualifier 3
24/8/22,Tricked (8),MASONIC (16),ovp  Overpass,Elisa Invitational Fall 2022 Contenders
24/8/22,MASONIC (7),Tricked (16),mrg  Mirage,Elisa Invitational Fall 2022 Contenders
24/8/22,Tricked (7),MASONIC (16),inf  Inferno,Elisa Invitational Fall 2022 Contenders
24/8/22,Sampi (14),Beyond Possible (16),d2  Dust2,CCT Central Europe Series 1
24/8/22,Beyond Possible (9),Sampi (16),ovp  Overpass,CCT Central Europe Series 1
24/8/22,Sampi (20),Beyond Possible (22),inf  Inferno,CCT Central Europe Series 1
24/8/22,ECLOT (11),EC Kyiv (16),ovp  Overpass,Elisa Invitational Fall 2022 Contenders
24/8/22,EC Kyiv (16),ECLOT (10),mrg  Mirage,Elisa Invitational Fall 2022 Contenders
24/8/22,SC (16),EYEBALLERS (12),mrg  Mirage,CCT Central Europe Series 1
24/8/22,SC (16),EYEBALLERS (9),inf  Inferno,CCT Central Europe Series 1
24/8/22,EYEBALLERS (16),SC (11),d2  Dust2,CCT Central Europe Series 1
24/8/22,timbermen (16),Strife (14),inf  Inferno,ESL Challenger League Season 42 North America
24/8/22,Strife (16),timbermen (19),vtg  Vertigo,ESL Challenger League Season 42 North America
24/8/22,SWS (16),River Plate (10),d2  Dust2,CCT South America Series 1
24/8/22,River Plate (8),SWS (16),inf  Inferno,CCT South America Series 1
23/8/22,MIBR Academy (8),Isurus (16),inf  Inferno,CCT South America Series 1
23/8/22,Isurus (7),MIBR Academy (16),mrg  Mirage,CCT South America Series 1
23/8/22,MIBR Academy (5),Isurus (16),d2  Dust2,CCT South America Series 1
23/8/22,los kogutos (9),FANTASY (16),ovp  Overpass,IEM Road to Rio 2022 Europe Open Qualifier 3
23/8/22,FANTASY (16),los kogutos (13),nuke  Nuke,IEM Road to Rio 2022 Europe Open Qualifier 3
23/8/22,los kogutos (16),FANTASY (6),mrg  Mirage,IEM Road to Rio 2022 Europe Open Qualifier 3
23/8/22,Eternal Fire (16),ECSTATIC (3),nuke  Nuke,IEM Road to Rio 2022 Europe Open Qualifier 3
23/8/22,ECSTATIC (11),Eternal Fire (16),d2  Dust2,IEM Road to Rio 2022 Europe Open Qualifier 3
23/8/22,Eternal Fire (19),ECSTATIC (22),vtg  Vertigo,IEM Road to Rio 2022 Europe Open Qualifier 3
