Date,Team1,Team2,Map,Event
21/10/21,GamerLegion (9),SINNERS (16),inf  Inferno,DreamHack Open November 2021 Closed Qualifier
21/10/21,INTZ (16),ex-PR Stars (11),vtg  Vertigo,Liga Gamers Club 2021 Serie A October Cup
21/10/21,INTZ (3),ex-PR Stars (16),nuke  Nuke,Liga Gamers Club 2021 Serie A October Cup
21/10/21,ex-PR Stars (6),INTZ (16),inf  Inferno,Liga Gamers Club 2021 Serie A October Cup
20/10/21,ex-Ceará (8),SWS (16),nuke  Nuke,Liga Gamers Club 2021 Serie A October Cup
20/10/21,SWS (16),ex-Ceará (11),inf  Inferno,Liga Gamers Club 2021 Serie A October Cup
20/10/21,G2 (16),MIBR (13),cbl  Cobblestone,Battle of Betway 2021
20/10/21,MIBR (13),FURIA (0),inf  Inferno,Battle of Betway 2021
20/10/21,G2 (13),MIBR (11),tcn  Tuscan,Battle of Betway 2021
20/10/21,FURIA (13),Ninjas in Pyjamas (2),inf  Inferno,Battle of Betway 2021
20/10/21,G2 (13),Ninjas in Pyjamas (1),trn  Train,Battle of Betway 2021
20/10/21,FURIA (12),BIG (12),tcn  Tuscan,Battle of Betway 2021
20/10/21,GamerLegion (5),fnatic (16),ovp  Overpass,DreamHack Open November 2021 Closed Qualifier
20/10/21,GamerLegion (16),fnatic (14),mrg  Mirage,DreamHack Open November 2021 Closed Qualifier
20/10/21,fnatic (16),GamerLegion (6),inf  Inferno,DreamHack Open November 2021 Closed Qualifier
20/10/21,Eternal Fire (13),FORZE (16),mrg  Mirage,DreamHack Open November 2021 Closed Qualifier
20/10/21,FORZE (16),Eternal Fire (14),nuke  Nuke,DreamHack Open November 2021 Closed Qualifier
20/10/21,Entropiq (12),SINNERS (16),nuke  Nuke,DreamHack Open November 2021 Closed Qualifier
20/10/21,SINNERS (16),Entropiq (11),ovp  Overpass,DreamHack Open November 2021 Closed Qualifier
20/10/21,MAD Lions (16),SKADE (8),ovp  Overpass,DreamHack Open November 2021 Closed Qualifier
20/10/21,SKADE (10),MAD Lions (16),d2  Dust2,DreamHack Open November 2021 Closed Qualifier
20/10/21,BIG (9),G2 (13),cbl  Cobblestone,Battle of Betway 2021
20/10/21,Ninjas in Pyjamas (13),MIBR (4),cbl  Cobblestone,Battle of Betway 2021
20/10/21,FURIA (5),MIBR (13),cbl  Cobblestone,Battle of Betway 2021
20/10/21,Ninjas in Pyjamas (12),BIG (12),cch  Cache,Battle of Betway 2021
20/10/21,Wisla Krakow (16),Fiend (11),anc  Ancient,V4 Future Sports Festival 2021 International Cup
20/10/21,Fiend (16),Wisla Krakow (13),ovp  Overpass,V4 Future Sports Festival 2021 International Cup
20/10/21,Wisla Krakow (16),Fiend (14),inf  Inferno,V4 Future Sports Festival 2021 International Cup
20/10/21,MOUZ NXT (11),1WIN (16),nuke  Nuke,Malta Vibes Knockout Series 3
20/10/21,1WIN (16),MOUZ NXT (9),mrg  Mirage,Malta Vibes Knockout Series 3
20/10/21,MOUZ NXT (16),1WIN (10),vtg  Vertigo,Malta Vibes Knockout Series 3
20/10/21,MIBR (13),BIG (8),tcn  Tuscan,Battle of Betway 2021
20/10/21,FURIA (13),G2 (11),cch  Cache,Battle of Betway 2021
20/10/21,Eternal Fire (8),fnatic (16),inf  Inferno,DreamHack Open November 2021 Closed Qualifier
20/10/21,Eternal Fire (16),fnatic (13),ovp  Overpass,DreamHack Open November 2021 Closed Qualifier
20/10/21,fnatic (16),Eternal Fire (9),vtg  Vertigo,DreamHack Open November 2021 Closed Qualifier
20/10/21,GamerLegion (16),FORZE (4),mrg  Mirage,DreamHack Open November 2021 Closed Qualifier
20/10/21,GamerLegion (16),FORZE (13),ovp  Overpass,DreamHack Open November 2021 Closed Qualifier
20/10/21,FORZE (16),GamerLegion (11),inf  Inferno,DreamHack Open November 2021 Closed Qualifier
20/10/21,MAD Lions (16),Entropiq (12),ovp  Overpass,DreamHack Open November 2021 Closed Qualifier
20/10/21,Entropiq (8),MAD Lions (16),nuke  Nuke,DreamHack Open November 2021 Closed Qualifier
20/10/21,SKADE (16),SINNERS (6),vtg  Vertigo,DreamHack Open November 2021 Closed Qualifier
20/10/21,SINNERS (10),SKADE (16),ovp  Overpass,DreamHack Open November 2021 Closed Qualifier
20/10/21,Lyngby Vikings (16),AVE (13),anc  Ancient,Malta Vibes Knockout Series 3
20/10/21,Lyngby Vikings (16),AVE (11),inf  Inferno,Malta Vibes Knockout Series 3
20/10/21,FURY (16),8Ballers (9),d2  Dust2,LPL Pro League Season 9
20/10/21,8Ballers (12),FURY (16),anc  Ancient,LPL Pro League Season 9
20/10/21,VERTEX (16),Alke (10),vtg  Vertigo,LPL Pro League Season 9
20/10/21,Alke (6),VERTEX (16),ovp  Overpass,LPL Pro League Season 9
20/10/21,INTZ (16),DETONA (10),nuke  Nuke,Liga Gamers Club 2021 Serie A October Cup
