Date,Team1,Team2,Map,Event
24/7/21,Meta Academy (16),Furious (13),nuke  Nuke,La Liga Pro DIRECTV 2021 Apertura South
24/7/21,Sharks (16),Bravos (14),inf  Inferno,CBCS Elite League 2021 Season 2
24/7/21,INTZ (16),Santos (7),inf  Inferno,CBCS Elite League 2021 Season 2
24/7/21,INTZ (16),Santos (14),mrg  Mirage,CBCS Elite League 2021 Season 2
24/7/21,Liberty (16),GKC (8),ovp  Overpass,CBCS Elite League 2021 Season 2
24/7/21,MOUZ NXT (19),Astralis Talent (16),inf  Inferno,WePlay Academy League Season 1
24/7/21,VP.Prodigy (11),BIG Academy (16),ovp  Overpass,WePlay Academy League Season 1
24/7/21,Young Ninjas (16),FURIA Academy (6),ovp  Overpass,WePlay Academy League Season 1
24/7/21,NAVI Junior (16),fnatic Rising (9),vtg  Vertigo,WePlay Academy League Season 1
24/7/21,River Plate (19),Boca Juniors (17),inf  Inferno,La Liga Pro DIRECTV 2021 Apertura South
24/7/21,ex-Durany (10),Furious (16),nuke  Nuke,Redragon Latam Series 2021 Season 1 Southern Cone
24/7/21,Furious (16),ex-Durany (8),inf  Inferno,Redragon Latam Series 2021 Season 1 Southern Cone
24/7/21,Supremacy (16),ADAGIO (8),inf  Inferno,Flow FiReLEAGUE 2021 Andean
24/7/21,Supremacy (16),ADAGIO (2),mrg  Mirage,Flow FiReLEAGUE 2021 Andean
24/7/21,Isurus (16),Leviatan (19),inf  Inferno,La Liga Pro DIRECTV 2021 Apertura South
24/7/21,SevenIZI (1),STMN (16),ovp  Overpass,Flow FiReLEAGUE 2021 Andean
24/7/21,STMN (16),SevenIZI (2),inf  Inferno,Flow FiReLEAGUE 2021 Andean
24/7/21,Meta Academy (10),INTZ (16),vtg  Vertigo,CBCS Elite League 2021 Season 2
24/7/21,Meta Academy (12),INTZ (16),mrg  Mirage,CBCS Elite League 2021 Season 2
24/7/21,INTZ (14),Meta Academy (16),anc  Ancient,CBCS Elite League 2021 Season 2
24/7/21,Keyd (16),Furious (10),mrg  Mirage,CBCS Elite League 2021 Season 2
24/7/21,Keyd (16),Furious (14),nuke  Nuke,CBCS Elite League 2021 Season 2
24/7/21,Stone (10),River Plate (16),d2  Dust2,Redragon Latam Series 2021 Season 1 Southern Cone
24/7/21,Stone (8),River Plate (16),inf  Inferno,Redragon Latam Series 2021 Season 1 Southern Cone
24/7/21,River Plate (9),Stone (16),vtg  Vertigo,Redragon Latam Series 2021 Season 1 Southern Cone
23/7/21,Paquetá (16),Sharks (12),anc  Ancient,CBCS Elite League 2021 Season 2
23/7/21,MIBR (16),Liberty (7),vtg  Vertigo,CBCS Elite League 2021 Season 2
23/7/21,New Pampas (16),Nocturns (12),mrg  Mirage,La Liga Pro DIRECTV 2021 Apertura South
23/7/21,New Pampas (16),Nocturns (7),ovp  Overpass,La Liga Pro DIRECTV 2021 Apertura South
23/7/21,Nocturns (16),New Pampas (13),inf  Inferno,La Liga Pro DIRECTV 2021 Apertura South
23/7/21,SWS (16),DETONA (5),d2  Dust2,CBCS Elite League 2021 Season 2
23/7/21,Santos (7),Bravos (16),nuke  Nuke,CBCS Elite League 2021 Season 2
23/7/21,GKC (16),Patins da Ferrari (14),mrg  Mirage,CBCS Elite League 2021 Season 2
23/7/21,Black Dragons (16),KG Network (13),d2  Dust2,CBCS Elite League 2021 Season 2
23/7/21,VP.Prodigy (5),Astralis Talent (16),vtg  Vertigo,WePlay Academy League Season 1
23/7/21,Young Ninjas (12),fnatic Rising (16),ovp  Overpass,WePlay Academy League Season 1
23/7/21,MOUZ NXT (16),NAVI Junior (9),vtg  Vertigo,WePlay Academy League Season 1
23/7/21,BIG Academy (16),FURIA Academy (14),ovp  Overpass,WePlay Academy League Season 1
23/7/21,Skullcracker (9),Mad Kings (16),inf  Inferno,Flow FiReLEAGUE 2021 Andean
23/7/21,Skullcracker (14),Mad Kings (16),anc  Ancient,Flow FiReLEAGUE 2021 Andean
23/7/21,Skullcracker (16),Mad Kings (7),vtg  Vertigo,Flow FiReLEAGUE 2021 Andean
23/7/21,Liberty (16),Bravos (5),ovp  Overpass,CBCS Elite League 2021 Season 2
23/7/21,Furious (14),KG Network (16),d2  Dust2,CBCS Elite League 2021 Season 2
23/7/21,Infinity (16),Loto (12),ovp  Overpass,Flow FiReLEAGUE 2021 Andean
23/7/21,Infinity (16),Loto (10),d2  Dust2,Flow FiReLEAGUE 2021 Andean
23/7/21,SWS (11),Paquetá (16),anc  Ancient,CBCS Elite League 2021 Season 2
23/7/21,INTZ (10),GKC (16),d2  Dust2,CBCS Elite League 2021 Season 2
22/7/21,Sharks (16),Black Dragons (9),nuke  Nuke,CBCS Elite League 2021 Season 2
22/7/21,Meta Academy (8),Patins da Ferrari (16),inf  Inferno,CBCS Elite League 2021 Season 2
22/7/21,MIBR (16),DETONA (11),inf  Inferno,CBCS Elite League 2021 Season 2
