Date,Team1,Team2,Map,Event
14/4/22,BLUEJAYS (8),BIG (16),anc  Ancient,IEM Dallas 2022 Europe Open Qualifier 2
14/4/22,Copenhagen Flames (16),1WIN (11),nuke  Nuke,IEM Dallas 2022 Europe Open Qualifier 2
14/4/22,SAW (16),OFFSET (8),inf  Inferno,ESL Masters Spain Season 11
14/4/22,OFFSET (16),SAW (11),d2  Dust2,ESL Masters Spain Season 11
14/4/22,SAW (16),OFFSET (14),vtg  Vertigo,ESL Masters Spain Season 11
14/4/22,Evil Geniuses (16),Party Astronauts (9),inf  Inferno,PGL Major Antwerp 2022 Americas RMR
14/4/22,Party Astronauts (16),Evil Geniuses (14),mrg  Mirage,PGL Major Antwerp 2022 Americas RMR
14/4/22,Evil Geniuses (16),Party Astronauts (12),ovp  Overpass,PGL Major Antwerp 2022 Americas RMR
14/4/22,Hellslayers (13),KOVA (16),mrg  Mirage,Elisa Invitational Spring 2022 Contenders
14/4/22,KOVA (14),Hellslayers (16),inf  Inferno,Elisa Invitational Spring 2022 Contenders
14/4/22,Hellslayers (10),KOVA (16),nuke  Nuke,Elisa Invitational Spring 2022 Contenders
14/4/22,Case (6),paiN (16),nuke  Nuke,PGL Major Antwerp 2022 Americas RMR
14/4/22,paiN (16),Case (14),mrg  Mirage,PGL Major Antwerp 2022 Americas RMR
14/4/22,MAD Lions (16),PROSPECTS (4),d2  Dust2,Elisa Invitational Spring 2022 Contenders
14/4/22,PROSPECTS (16),MAD Lions (9),nuke  Nuke,Elisa Invitational Spring 2022 Contenders
14/4/22,MAD Lions (16),PROSPECTS (4),ovp  Overpass,Elisa Invitational Spring 2022 Contenders
14/4/22,9z (16),São Caetano (9),anc  Ancient,PGL Major Antwerp 2022 Americas RMR
14/4/22,São Caetano (13),9z (16),mrg  Mirage,PGL Major Antwerp 2022 Americas RMR
14/4/22,FURIA (16),MIBR (4),ovp  Overpass,PGL Major Antwerp 2022 Americas RMR
14/4/22,MIBR (9),FURIA (16),nuke  Nuke,PGL Major Antwerp 2022 Americas RMR
14/4/22,Antic (16),ex-FURY (13),mrg  Mirage,ESL Australia & NZ Championship Season 14
14/4/22,Antic (8),ex-FURY (16),nuke  Nuke,ESL Australia & NZ Championship Season 14
14/4/22,ex-FURY (11),Antic (16),inf  Inferno,ESL Australia & NZ Championship Season 14
13/4/22,Looking For Org (9),Copenhagen Flames (16),ovp  Overpass,IEM Dallas 2022 Europe Open Qualifier 2
13/4/22,CloudRunners (12),Nexus (16),inf  Inferno,IEM Dallas 2022 Europe Open Qualifier 2
13/4/22,BIG (19),Tricked (17),nuke  Nuke,IEM Dallas 2022 Europe Open Qualifier 2
13/4/22,Endpoint (16),ECSTATIC (9),vtg  Vertigo,IEM Dallas 2022 Europe Open Qualifier 2
13/4/22,cowana (10),BLUEJAYS (16),d2  Dust2,IEM Dallas 2022 Europe Open Qualifier 2
13/4/22,Eternal Fire (16),SKADE (2),ovp  Overpass,IEM Dallas 2022 Europe Open Qualifier 2
13/4/22,1WIN (16),INDE IRAE (8),d2  Dust2,IEM Dallas 2022 Europe Open Qualifier 2
13/4/22,Apeks (16),4glory (10),mrg  Mirage,IEM Dallas 2022 Europe Open Qualifier 2
13/4/22,BIG Academy (16),KOVA (14),mrg  Mirage,Elisa Invitational Spring 2022 Contenders
13/4/22,KOVA (6),BIG Academy (16),ovp  Overpass,Elisa Invitational Spring 2022 Contenders
13/4/22,BIG Academy (11),KOVA (16),nuke  Nuke,Elisa Invitational Spring 2022 Contenders
13/4/22,Case (16),Isurus (9),ovp  Overpass,PGL Major Antwerp 2022 Americas RMR
13/4/22,Isurus (8),Case (16),mrg  Mirage,PGL Major Antwerp 2022 Americas RMR
13/4/22,Liquid (16),Evil Geniuses (10),inf  Inferno,PGL Major Antwerp 2022 Americas RMR
13/4/22,Evil Geniuses (9),Liquid (16),vtg  Vertigo,PGL Major Antwerp 2022 Americas RMR
13/4/22,Into the Breach (16),Hellslayers (11),mrg  Mirage,Elisa Invitational Spring 2022 Contenders
13/4/22,Hellslayers (16),Into the Breach (19),nuke  Nuke,Elisa Invitational Spring 2022 Contenders
13/4/22,Into the Breach (10),Hellslayers (16),ovp  Overpass,Elisa Invitational Spring 2022 Contenders
13/4/22,São Caetano (5),Complexity (16),ovp  Overpass,PGL Major Antwerp 2022 Americas RMR
13/4/22,Complexity (16),São Caetano (5),inf  Inferno,PGL Major Antwerp 2022 Americas RMR
13/4/22,TeamOne (10),paiN (16),nuke  Nuke,PGL Major Antwerp 2022 Americas RMR
13/4/22,paiN (16),TeamOne (13),ovp  Overpass,PGL Major Antwerp 2022 Americas RMR
13/4/22,Imperial (16),Party Astronauts (12),inf  Inferno,PGL Major Antwerp 2022 Americas RMR
13/4/22,Party Astronauts (11),Imperial (16),d2  Dust2,PGL Major Antwerp 2022 Americas RMR
13/4/22,Imperial (9),Party Astronauts (16),nuke  Nuke,PGL Major Antwerp 2022 Americas RMR
13/4/22,00NATION (10),9z (16),ovp  Overpass,PGL Major Antwerp 2022 Americas RMR
13/4/22,9z (14),00NATION (16),inf  Inferno,PGL Major Antwerp 2022 Americas RMR
