Date,Team1,Team2,Map,Event
27/2/22,EKO (12),DUSTY (16),inf  Inferno,Intel epic35
27/2/22,Coalesce (11),Hellslayers (16),ovp  Overpass,Pelaajat Nordic Masters Spring 2022 Sweden Open Qualifier
27/2/22,Coalesce (7),Hellslayers (16),mrg  Mirage,Pelaajat Nordic Masters Spring 2022 Sweden Open Qualifier
27/2/22,Hellslayers (13),Coalesce (16),d2  Dust2,Pelaajat Nordic Masters Spring 2022 Sweden Open Qualifier
27/2/22,Lilmix (16),Kappa Bar (10),anc  Ancient,Pelaajat Nordic Masters Spring 2022 Sweden Open Qualifier
27/2/22,Kappa Bar (17),Lilmix (19),mrg  Mirage,Pelaajat Nordic Masters Spring 2022 Sweden Open Qualifier
27/2/22,CEPTER (7),Los Reyes (16),inf  Inferno,Pelaajat Nordic Masters Spring 2022 Denmark Open Qualifier
27/2/22,Los Reyes (16),CEPTER (10),vtg  Vertigo,Pelaajat Nordic Masters Spring 2022 Denmark Open Qualifier
27/2/22,REPRESENT (2),DREAM (16),d2  Dust2,Pelaajat Nordic Masters Spring 2022 Denmark Open Qualifier
27/2/22,REPRESENT (13),DREAM (16),nuke  Nuke,Pelaajat Nordic Masters Spring 2022 Denmark Open Qualifier
27/2/22,HAVU (13),KOVA (16),nuke  Nuke,Elisa Open Finland Season 1
27/2/22,KOVA (16),HAVU (11),mrg  Mirage,Elisa Open Finland Season 1
27/2/22,Steel Helmet (14),TYLOO (16),ovp  Overpass,PGL Major Antwerp 2022 Asia RMR China Open Qualifier
27/2/22,TYLOO (16),Steel Helmet (2),mrg  Mirage,PGL Major Antwerp 2022 Asia RMR China Open Qualifier
27/2/22,Nexus (16),CYBER (4),nuke  Nuke,ROPL Stars 2022
27/2/22,CYBER (10),Nexus (16),anc  Ancient,ROPL Stars 2022
27/2/22,Steel Helmet (16),Invictus (12),inf  Inferno,PGL Major Antwerp 2022 Asia RMR China Open Qualifier
27/2/22,Checkmate (16),Rare Atom (8),ovp  Overpass,PGL Major Antwerp 2022 Asia RMR Asia Open Qualifier
27/2/22,Rare Atom (9),Checkmate (16),inf  Inferno,PGL Major Antwerp 2022 Asia RMR Asia Open Qualifier
27/2/22,Steel Helmet (16),After (12),d2  Dust2,PGL Major Antwerp 2022 Asia RMR China Open Qualifier
27/2/22,DUSTY (16),Lucent (6),nuke  Nuke,Intel epic35
27/2/22,Lucent (9),DUSTY (16),inf  Inferno,Intel epic35
27/2/22,Wings Up (9),Rare Atom (16),ovp  Overpass,PGL Major Antwerp 2022 Asia RMR Asia Open Qualifier
27/2/22,Rare Atom (16),ARAVT (7),ovp  Overpass,PGL Major Antwerp 2022 Asia RMR Asia Open Qualifier
27/2/22,WDNMD (14),Steel Helmet (16),d2  Dust2,PGL Major Antwerp 2022 Asia RMR China Open Qualifier
27/2/22,YK (8),After (16),inf  Inferno,PGL Major Antwerp 2022 Asia RMR China Open Qualifier
27/2/22,Invictus (6),TYLOO (16),anc  Ancient,PGL Major Antwerp 2022 Asia RMR China Open Qualifier
27/2/22,Northwest (9),ARAVT (16),vtg  Vertigo,PGL Major Antwerp 2022 Asia RMR Asia Open Qualifier
27/2/22,Rare Atom (16),D13 (6),inf  Inferno,PGL Major Antwerp 2022 Asia RMR Asia Open Qualifier
27/2/22,Wings Up (11),Checkmate (16),inf  Inferno,PGL Major Antwerp 2022 Asia RMR Asia Open Qualifier
27/2/22,Cloud (17),Steel Helmet (19),mrg  Mirage,PGL Major Antwerp 2022 Asia RMR China Open Qualifier
27/2/22,Invictus (16),YK (5),inf  Inferno,PGL Major Antwerp 2022 Asia RMR China Open Qualifier
27/2/22,WDNMD (6),TYLOO (16),vtg  Vertigo,PGL Major Antwerp 2022 Asia RMR China Open Qualifier
27/2/22,After (16),SHPL (8),ovp  Overpass,PGL Major Antwerp 2022 Asia RMR China Open Qualifier
27/2/22,NKT (8),D13 (16),inf  Inferno,PGL Major Antwerp 2022 Asia RMR Asia Open Qualifier
27/2/22,Checkmate (16),ARAVT (6),mrg  Mirage,PGL Major Antwerp 2022 Asia RMR Asia Open Qualifier
27/2/22,Born in Mongolia (20),Northwest (22),mrg  Mirage,PGL Major Antwerp 2022 Asia RMR Asia Open Qualifier
27/2/22,Rare Atom (12),Wings Up (16),anc  Ancient,PGL Major Antwerp 2022 Asia RMR Asia Open Qualifier
27/2/22,Rare Atom (16),Northwest (5),anc  Ancient,PGL Major Antwerp 2022 Asia RMR Asia Open Qualifier
27/2/22,Invictus (16),Cloud (4),anc  Ancient,PGL Major Antwerp 2022 Asia RMR China Open Qualifier
27/2/22,After (13),TYLOO (16),inf  Inferno,PGL Major Antwerp 2022 Asia RMR China Open Qualifier
27/2/22,Steel Helmet (11),YK (16),ovp  Overpass,PGL Major Antwerp 2022 Asia RMR China Open Qualifier
27/2/22,WDNMD (16),SHPL (9),nuke  Nuke,PGL Major Antwerp 2022 Asia RMR China Open Qualifier
27/2/22,Wings Up (16),Born in Mongolia (9),mrg  Mirage,PGL Major Antwerp 2022 Asia RMR Asia Open Qualifier
27/2/22,Checkmate (16),D13 (10),inf  Inferno,PGL Major Antwerp 2022 Asia RMR Asia Open Qualifier
27/2/22,NKT (7),ARAVT (16),nuke  Nuke,PGL Major Antwerp 2022 Asia RMR Asia Open Qualifier
27/2/22,Carpe Diem (6),Vireo.pro (16),inf  Inferno,ESEA Winter 2021 Cash Cup 5 North America
27/2/22,Big Chillin (12),Strife (16),mrg  Mirage,ESEA Winter 2021 Cash Cup 5 North America
27/2/22,ATK (16),fl0m's Money Crew (13),ovp  Overpass,ESEA Winter 2021 Cash Cup 5 North America
27/2/22,Party Astronauts (16),Eros (8),inf  Inferno,ESEA Winter 2021 Cash Cup 5 North America
