Date,Team1,Team2,Map,Event
27/1/23,Zero Tenacity (9),Orgless Heroes (16),vtg  Vertigo,CCT West Europe Series 1 Closed Qualifier
27/1/23,Orgless Heroes (16),Zero Tenacity (2),mrg  Mirage,CCT West Europe Series 1 Closed Qualifier
27/1/23,Complexity (16),Evil Geniuses (8),ovp  Overpass,BLAST Premier Spring Groups 2023
27/1/23,Complexity (12),Evil Geniuses (16),inf  Inferno,BLAST Premier Spring Groups 2023
27/1/23,Evil Geniuses (7),Complexity (16),anb  Anubis,BLAST Premier Spring Groups 2023
27/1/23,Corinthians (16),Flamengo (10),mrg  Mirage,CCT South America Series 4
27/1/23,Corinthians (16),Flamengo (9),nuke  Nuke,CCT South America Series 4
27/1/23,Flamengo (16),Corinthians (10),inf  Inferno,CCT South America Series 4
27/1/23,IHC (16),Lynn Vision (13),anb  Anubis,IEM Rio 2023 Asia Closed Qualifier
27/1/23,Lynn Vision (9),IHC (16),nuke  Nuke,IEM Rio 2023 Asia Closed Qualifier
27/1/23,Tricked (19),Sangal (17),ovp  Overpass,CCT North Europe Series 3
27/1/23,Tricked (16),Sangal (12),mrg  Mirage,CCT North Europe Series 3
27/1/23,Sangal (25),Tricked (23),vtg  Vertigo,CCT North Europe Series 3
27/1/23,EC Brugge (4),EPIC DUDES (16),inf  Inferno,CCT West Europe Series 1 Closed Qualifier
27/1/23,EPIC DUDES (16),EC Brugge (1),mrg  Mirage,CCT West Europe Series 1 Closed Qualifier
27/1/23,undefined (6),ALTERNATE aTTaX (16),inf  Inferno,CCT West Europe Series 1 Closed Qualifier
27/1/23,undefined (16),ALTERNATE aTTaX (9),vtg  Vertigo,CCT West Europe Series 1 Closed Qualifier
27/1/23,ALTERNATE aTTaX (19),undefined (15),mrg  Mirage,CCT West Europe Series 1 Closed Qualifier
27/1/23,BLUEJAYS (16),HONORIS (7),inf  Inferno,CCT North Europe Series 3
27/1/23,BLUEJAYS (11),HONORIS (16),ovp  Overpass,CCT North Europe Series 3
27/1/23,HONORIS (16),BLUEJAYS (19),mrg  Mirage,CCT North Europe Series 3
27/1/23,Eruption (13),IHC (16),inf  Inferno,IEM Rio 2023 Asia Closed Qualifier
27/1/23,IHC (16),Eruption (13),anc  Ancient,IEM Rio 2023 Asia Closed Qualifier
27/1/23,NOISEOTREM (7),O PLANO (16),mrg  Mirage,IEM Rio 2023 South America Open Qualifier 1
27/1/23,RED Canids (8),Imperial (16),nuke  Nuke,IEM Rio 2023 South America Open Qualifier 1
27/1/23,TropiCaos (16),Furious (9),nuke  Nuke,IEM Rio 2023 South America Open Qualifier 1
27/1/23,INTZ (4),Sharks (16),mrg  Mirage,IEM Rio 2023 South America Open Qualifier 1
27/1/23,FUSION (16),Boca Juniors (4),inf  Inferno,IEM Rio 2023 South America Open Qualifier 1
27/1/23,Fluxo (16),NO ORG (10),nuke  Nuke,IEM Rio 2023 South America Open Qualifier 1
27/1/23,WINDINGO (16),MIBR Academy (10),mrg  Mirage,CCT South America Series 4
27/1/23,MIBR Academy (9),WINDINGO (16),anb  Anubis,CCT South America Series 4
26/1/23,Coalesce (16),NtK (8),ovp  Overpass,CCT West Europe Series 1 Closed Qualifier
26/1/23,Coalesce (16),NtK (14),mrg  Mirage,CCT West Europe Series 1 Closed Qualifier
26/1/23,NtK (16),Coalesce (13),inf  Inferno,CCT West Europe Series 1 Closed Qualifier
26/1/23,Aurora (16),Bad News Eagles (6),anb  Anubis,CCT South Europe Series 2
26/1/23,Aurora (10),Bad News Eagles (16),mrg  Mirage,CCT South Europe Series 2
26/1/23,Bad News Eagles (12),Aurora (16),ovp  Overpass,CCT South Europe Series 2
26/1/23,HAVU (16),Young Ninjas (11),mrg  Mirage,CCT North Europe Series 3
26/1/23,Young Ninjas (14),HAVU (16),anc  Ancient,CCT North Europe Series 3
26/1/23,9INE (16),Rapid Ninjas (7),mrg  Mirage,OMEN WGR Challenge 2023
26/1/23,Rapid Ninjas (14),9INE (16),ovp  Overpass,OMEN WGR Challenge 2023
26/1/23,Boca Juniors (16),W7M fe (2),mrg  Mirage,CCT South America Series 4
26/1/23,W7M fe (6),Boca Juniors (16),inf  Inferno,CCT South America Series 4
26/1/23,Natus Vincere (10),G2 (16),nuke  Nuke,BLAST Premier Spring Groups 2023
26/1/23,G2 (16),Natus Vincere (6),inf  Inferno,BLAST Premier Spring Groups 2023
26/1/23,Viperio (16),Dripmen (5),nuke  Nuke,CCT West Europe Series 1 Closed Qualifier
26/1/23,Dripmen (16),Viperio (14),vtg  Vertigo,CCT West Europe Series 1 Closed Qualifier
26/1/23,Viperio (16),Dripmen (14),inf  Inferno,CCT West Europe Series 1 Closed Qualifier
26/1/23,SINNERS (16),HONORIS (8),nuke  Nuke,CCT North Europe Series 3
26/1/23,HONORIS (10),SINNERS (16),vtg  Vertigo,CCT North Europe Series 3
