Date,Team1,Team2,Map,Event
23/6/22,Outsiders (16),FORZE (6),d2  Dust2,Roobet Cup 2022
23/6/22,BIG Academy (16),FTW (5),vtg  Vertigo,ESEA Advanced Season 41 Europe
23/6/22,FTW (3),BIG Academy (16),d2  Dust2,ESEA Advanced Season 41 Europe
23/6/22,BIG Academy (14),FTW (16),nuke  Nuke,ESEA Advanced Season 41 Europe
23/6/22,NEXGA (11),NKT (16),inf  Inferno,ESL Challenger League Season 41 Asia-Pacific
23/6/22,NKT (16),NEXGA (12),nuke  Nuke,ESL Challenger League Season 41 Asia-Pacific
23/6/22,ARAVT (16),OS (10),inf  Inferno,ESL Challenger League Season 41 Asia-Pacific
23/6/22,OS (13),ARAVT (16),anc  Ancient,ESL Challenger League Season 41 Asia-Pacific
23/6/22,CatEvil (9),IHC (16),d2  Dust2,ESL Challenger League Season 41 Asia-Pacific
23/6/22,IHC (16),CatEvil (12),inf  Inferno,ESL Challenger League Season 41 Asia-Pacific
23/6/22,Born in Mongolia (4),Rare Atom (16),nuke  Nuke,ESL Challenger League Season 41 Asia-Pacific
23/6/22,Rare Atom (16),Born in Mongolia (8),vtg  Vertigo,ESL Challenger League Season 41 Asia-Pacific
23/6/22,MASONIC (16),Wolsung (4),anc  Ancient,ESEA Advanced Season 41 Europe
23/6/22,Wolsung (5),MASONIC (16),nuke  Nuke,ESEA Advanced Season 41 Europe
23/6/22,MASONIC (17),Wolsung (19),d2  Dust2,ESEA Advanced Season 41 Europe
23/6/22,777 (17),BLUEJAYS (19),mrg  Mirage,Esport Tour 2022 Series 2
23/6/22,BLUEJAYS (16),777 (9),ovp  Overpass,Esport Tour 2022 Series 2
23/6/22,Movistar Riders (8),Astralis (16),ovp  Overpass,Roobet Cup 2022
23/6/22,Astralis (16),Movistar Riders (14),mrg  Mirage,Roobet Cup 2022
23/6/22,Luxe (16),Northern Forces (14),ovp  Overpass,ESEA Advanced Season 41 North America
23/6/22,Northern Forces (16),Luxe (12),mrg  Mirage,ESEA Advanced Season 41 North America
23/6/22,Luxe (16),Northern Forces (14),nuke  Nuke,ESEA Advanced Season 41 North America
23/6/22,Victorum (16),Vexo Purple (9),inf  Inferno,ESEA Advanced Season 41 North America
23/6/22,Vexo Purple (6),Victorum (16),nuke  Nuke,ESEA Advanced Season 41 North America
23/6/22,Gaimin Gladiators (16),Strife (13),inf  Inferno,ESL Challenger League Season 41 North America
23/6/22,Gaimin Gladiators (16),Strife (19),mrg  Mirage,ESL Challenger League Season 41 North America
23/6/22,Strife (13),Gaimin Gladiators (16),nuke  Nuke,ESL Challenger League Season 41 North America
23/6/22,Brazen (4),EG Black (16),d2  Dust2,ESL Challenger League Season 41 North America
23/6/22,Brazen (7),EG Black (16),ovp  Overpass,ESL Challenger League Season 41 North America
23/6/22,EG Black (10),Brazen (16),mrg  Mirage,ESL Challenger League Season 41 North America
23/6/22,BHOP (6),ATK (16),d2  Dust2,ESL Challenger League Season 41 North America
23/6/22,ATK (16),BHOP (7),vtg  Vertigo,ESL Challenger League Season 41 North America
23/6/22,Mythic (4),paiN (16),d2  Dust2,ESL Challenger League Season 41 North America
23/6/22,paiN (16),Mythic (8),vtg  Vertigo,ESL Challenger League Season 41 North America
23/6/22,Redragon (11),ARCTIC (16),d2  Dust2,CBCS Elite League 2022 Season 1
23/6/22,Rehl (16),Boca Juniors (3),mrg  Mirage,CBCS Elite League 2022 Season 1
23/6/22,B4 (8),Stars Horizon (16),ovp  Overpass,CBCS Elite League 2022 Season 1
22/6/22,Los Grandes (14),SWS (16),d2  Dust2,CBCS Elite League 2022 Season 1
22/6/22,Meta (12),MIBR Academy (16),mrg  Mirage,CBCS Elite League 2022 Season 1
22/6/22,Stone (13),The Union (16),d2  Dust2,CBCS Elite League 2022 Season 1
22/6/22,UNO MILLE (16),Players (13),ovp  Overpass,CBCS Elite League 2022 Season 1
22/6/22,Daotsu (16),Isurus (10),d2  Dust2,CBCS Elite League 2022 Season 1
22/6/22,ECLOT (16),Budapest Five (1),mrg  Mirage,Y-Games Pro Series 2022
22/6/22,Budapest Five (5),ECLOT (16),inf  Inferno,Y-Games Pro Series 2022
22/6/22,1WIN (16),Entropiq (5),vtg  Vertigo,ESL Challenger League Season 41 Europe
22/6/22,SAW (19),HEET (17),nuke  Nuke,ESL Challenger League Season 41 Europe
22/6/22,Complexity (7),Cloud9 (16),d2  Dust2,Roobet Cup 2022
22/6/22,FORZE (16),Imperial (7),mrg  Mirage,REPUBLEAGUE Season 3
22/6/22,OG (14),FaZe (16),ovp  Overpass,Roobet Cup 2022
22/6/22,Sprout (9),Movistar Riders (16),nuke  Nuke,ESL Challenger League Season 41 Europe
