Date,Team1,Team2,Map,Event
30/9/21,Imperial (14),Bravos (16),anc  Ancient,IEM Fall 2021 South America
30/9/21,Furious (19),Boca Juniors (16),vtg  Vertigo,La Liga Pro 2021 Clausura South
29/9/21,SKADE (15),DBL PONEY (19),anc  Ancient,IEM Fall 2021 Europe
29/9/21,fnatic (5),FaZe (16),mrg  Mirage,IEM Fall 2021 Europe
29/9/21,Ninjas in Pyjamas (16),Fiend (4),nuke  Nuke,IEM Fall 2021 Europe
29/9/21,ONET4P (3),Party Astronauts (16),nuke  Nuke,ESEA Premier Season 38 North America
29/9/21,Party Astronauts (16),ONET4P (5),d2  Dust2,ESEA Premier Season 38 North America
29/9/21,ENCE (16),Dignitas (14),ovp  Overpass,IEM Fall 2021 Europe
29/9/21,MAD Lions (2),Vitality (16),inf  Inferno,IEM Fall 2021 Europe
29/9/21,OG (16),Sprout (7),d2  Dust2,IEM Fall 2021 Europe
29/9/21,SINNERS (16),Complexity (13),nuke  Nuke,IEM Fall 2021 Europe
29/9/21,Movistar Riders (10),Heroic (16),d2  Dust2,IEM Fall 2021 Europe
29/9/21,Endpoint (7),Astralis (16),ovp  Overpass,IEM Fall 2021 Europe
29/9/21,fnatic Rising (7),VP.Prodigy (16),vtg  Vertigo,WePlay Academy League Season 2
29/9/21,fnatic Rising (16),VP.Prodigy (8),ovp  Overpass,WePlay Academy League Season 2
29/9/21,VP.Prodigy (16),fnatic Rising (11),anc  Ancient,WePlay Academy League Season 2
29/9/21,BIG (10),MOUZ (16),mrg  Mirage,IEM Fall 2021 Europe
29/9/21,G2 (16),AURA (1),mrg  Mirage,IEM Fall 2021 Europe
29/9/21,Copenhagen Flames (16),FunPlus Phoenix (12),vtg  Vertigo,IEM Fall 2021 Europe
29/9/21,FORZE (11),INDE IRAE (16),inf  Inferno,IEM Fall 2021 CIS
29/9/21,Gambit (16),K23 (13),ovp  Overpass,IEM Fall 2021 CIS
29/9/21,Unique (6),Virtus.pro (16),ovp  Overpass,IEM Fall 2021 CIS
29/9/21,MOUZ NXT (16),FURIA Academy (7),inf  Inferno,WePlay Academy League Season 2
29/9/21,FURIA Academy (10),MOUZ NXT (16),mrg  Mirage,WePlay Academy League Season 2
29/9/21,AVE (13),Entropiq (16),nuke  Nuke,IEM Fall 2021 CIS
29/9/21,Akuma (4),Spirit (16),mrg  Mirage,IEM Fall 2021 CIS
29/9/21,Natus Vincere (16),Nemiga (14),nuke  Nuke,IEM Fall 2021 CIS
29/9/21,INDE IRAE (13),Gambit (16),anc  Ancient,IEM Fall 2021 CIS
29/9/21,Unique (16),FORZE (12),anc  Ancient,IEM Fall 2021 CIS
29/9/21,K23 (11),Virtus.pro (16),ovp  Overpass,IEM Fall 2021 CIS
29/9/21,Alke (8),The Big Dogs (16),nuke  Nuke,LPL Pro League Season 9
29/9/21,Alke (15),The Big Dogs (19),vtg  Vertigo,LPL Pro League Season 9
29/9/21,Akuma (13),Entropiq (16),nuke  Nuke,IEM Fall 2021 CIS
29/9/21,Natus Vincere (16),AVE (12),anc  Ancient,IEM Fall 2021 CIS
29/9/21,Spirit (16),Nemiga (4),nuke  Nuke,IEM Fall 2021 CIS
29/9/21,GORILLAZ (16),Fiend (13),d2  Dust2,Elisa Invitational Fall 2021
29/9/21,Fiend (11),GORILLAZ (16),mrg  Mirage,Elisa Invitational Fall 2021
29/9/21,Hazard (10),Bandits (16),vtg  Vertigo,LPL Pro League Season 9
29/9/21,Bandits (8),Hazard (16),d2  Dust2,LPL Pro League Season 9
29/9/21,Hazard (17),Bandits (19),inf  Inferno,LPL Pro League Season 9
29/9/21,Lyngby Vikings (16),Finest (6),ovp  Overpass,Elisa Invitational Fall 2021
29/9/21,Lyngby Vikings (16),Finest (8),vtg  Vertigo,Elisa Invitational Fall 2021
29/9/21,Looking For Org (16),ORDER (13),nuke  Nuke,IEM Fall 2021 Oceania
29/9/21,ORDER (16),Looking For Org (4),anc  Ancient,IEM Fall 2021 Oceania
29/9/21,ORDER (10),Looking For Org (16),vtg  Vertigo,IEM Fall 2021 Oceania
29/9/21,Renegades (16),VERTEX (8),vtg  Vertigo,IEM Fall 2021 Oceania
29/9/21,VERTEX (6),Renegades (16),inf  Inferno,IEM Fall 2021 Oceania
29/9/21,Synergy Reborn (19),Eros Black (16),nuke  Nuke,ESEA Advanced Season 38 North America
29/9/21,Eros Black (11),Synergy Reborn (16),vtg  Vertigo,ESEA Advanced Season 38 North America
29/9/21,Synergy Reborn (7),Eros Black (16),mrg  Mirage,ESEA Advanced Season 38 North America
