Date,Team1,Team2,Map,Event
15/7/21,Wings Up (16),Camel Riders (5),d2  Dust2,Funspark ULTI 2021 Asia Regional Series 2
15/7/21,Camel Riders (7),Wings Up (16),mrg  Mirage,Funspark ULTI 2021 Asia Regional Series 2
15/7/21,Coldest Riders (8),Villainous (16),nuke  Nuke,ESEA Premier Season 37 North America Relegation
15/7/21,Coldest Riders (8),Villainous (16),inf  Inferno,ESEA Premier Season 37 North America Relegation
15/7/21,Villainous (10),Coldest Riders (16),mrg  Mirage,ESEA Premier Season 37 North America Relegation
15/7/21,X13 (11),Mythic (16),anc  Ancient,ESEA Premier Season 37 North America Relegation
15/7/21,Mythic (16),X13 (14),ovp  Overpass,ESEA Premier Season 37 North America Relegation
14/7/21,FORZE (16),Young Ninjas (13),inf  Inferno,Domination League Season 2
14/7/21,FORZE (19),Young Ninjas (15),mrg  Mirage,Domination League Season 2
14/7/21,ENCE (13),HAVU (16),ovp  Overpass,Pinnacle Cup II
14/7/21,HAVU (2),ENCE (16),nuke  Nuke,Pinnacle Cup II
14/7/21,ENCE (12),HAVU (16),d2  Dust2,Pinnacle Cup II
14/7/21,Sprout (16),Anonymo (7),nuke  Nuke,ESEA Premier Season 37 Europe Relegation
14/7/21,Anonymo (14),Sprout (16),d2  Dust2,ESEA Premier Season 37 Europe Relegation
14/7/21,Sprout (4),Anonymo (16),mrg  Mirage,ESEA Premier Season 37 Europe Relegation
14/7/21,DBL PONEY (16),Apeks (10),ovp  Overpass,ESEA Premier Season 37 Europe Relegation
14/7/21,Apeks (12),DBL PONEY (16),nuke  Nuke,ESEA Premier Season 37 Europe Relegation
14/7/21,GamerLegion (16),Copenhagen Flames (13),vtg  Vertigo,Domination League Season 2
14/7/21,Copenhagen Flames (14),GamerLegion (16),nuke  Nuke,Domination League Season 2
14/7/21,Entropiq (13),SKADE (16),d2  Dust2,Pinnacle Cup II
14/7/21,SKADE (5),Entropiq (16),ovp  Overpass,Pinnacle Cup II
14/7/21,Entropiq (7),SKADE (16),vtg  Vertigo,Pinnacle Cup II
14/7/21,MAD Lions (16),Izako Boars (7),nuke  Nuke,Domination League Season 2
14/7/21,Izako Boars (8),MAD Lions (16),inf  Inferno,Domination League Season 2
14/7/21,Copenhagen Flames (16),MOUZ NXT (10),anc  Ancient,Pinnacle Cup II
14/7/21,MOUZ NXT (12),Copenhagen Flames (16),vtg  Vertigo,Pinnacle Cup II
14/7/21,Copenhagen Flames (13),MOUZ NXT (16),mrg  Mirage,Pinnacle Cup II
14/7/21,Dynasty (10),Animal Squad (16),inf  Inferno,ESEA Premier Season 37 Australia Relegation
14/7/21,Dynasty (16),Animal Squad (19),vtg  Vertigo,ESEA Premier Season 37 Australia Relegation
14/7/21,Warriors (11),Chiefs (16),mrg  Mirage,LPL Pro League Season 8
14/7/21,Chiefs (16),Warriors (9),nuke  Nuke,LPL Pro League Season 8
14/7/21,domilk (8),Lese (16),nuke  Nuke,ESEA Premier Season 37 Australia Relegation
14/7/21,Lese (16),domilk (13),anc  Ancient,ESEA Premier Season 37 Australia Relegation
14/7/21,NKT (16),After (5),mrg  Mirage,Funspark ULTI 2021 Asia Regional Series 2
14/7/21,After (14),NKT (16),ovp  Overpass,Funspark ULTI 2021 Asia Regional Series 2
14/7/21,Wisla Krakow (16),PACT (19),nuke  Nuke,Domination League Season 2
14/7/21,PACT (6),Wisla Krakow (16),ovp  Overpass,Domination League Season 2
14/7/21,PACT (16),Wisla Krakow (14),vtg  Vertigo,Domination League Season 2
14/7/21,Rooster (16),ex-Bizarre (14),mrg  Mirage,LPL Pro League Season 8
14/7/21,Rooster (16),ex-Bizarre (5),nuke  Nuke,LPL Pro League Season 8
14/7/21,ex-Bizarre (16),Rooster (10),inf  Inferno,LPL Pro League Season 8
14/7/21,Fiend (16),Young Ninjas (13),inf  Inferno,Pinnacle Cup II
14/7/21,Fiend (16),Young Ninjas (12),mrg  Mirage,Pinnacle Cup II
14/7/21,Renewal (19),Checkmate (16),mrg  Mirage,Funspark ULTI 2021 Asia Regional Series 2
14/7/21,Checkmate (4),Renewal (16),d2  Dust2,Funspark ULTI 2021 Asia Regional Series 2
14/7/21,Renewal (9),Checkmate (16),nuke  Nuke,Funspark ULTI 2021 Asia Regional Series 2
14/7/21,CENSRD (12),X13 (16),ovp  Overpass,ESEA Premier Season 37 North America Relegation
14/7/21,X13 (25),CENSRD (23),nuke  Nuke,ESEA Premier Season 37 North America Relegation
14/7/21,Triton (16),Mythic (13),vtg  Vertigo,ESEA Premier Season 37 North America Relegation
14/7/21,Villainous (12),Big Chillin (16),anc  Ancient,ESEA Premier Season 37 North America Relegation
