Date,Team1,Team2,Map,Event
28/1/23,Renewal (11),Eruption (16),anc  Ancient,MESA League Season 3
28/1/23,Eruption (16),Renewal (8),inf  Inferno,MESA League Season 3
28/1/23,Mystic (16),DNA (4),vtg  Vertigo,CCT North America Series 3
28/1/23,DNA (4),Mystic (16),mrg  Mirage,CCT North America Series 3
28/1/23,Vendetta (19),Nouns (17),vtg  Vertigo,IEM Rio 2023 North America Open Qualifier 1
28/1/23,Nouns (10),Vendetta (16),ovp  Overpass,IEM Rio 2023 North America Open Qualifier 1
28/1/23,Strife (11),Nouns (16),inf  Inferno,IEM Rio 2023 North America Open Qualifier 1
28/1/23,Vendetta (16),ATK (9),inf  Inferno,IEM Rio 2023 North America Open Qualifier 1
28/1/23,Furious (8),Paquetá (16),ovp  Overpass,CCT South America Series 4
28/1/23,Paquetá (14),Furious (16),inf  Inferno,CCT South America Series 4
28/1/23,Furious (6),Paquetá (16),vtg  Vertigo,CCT South America Series 4
28/1/23,Eros (16),Noxious (11),nuke  Nuke,CCT North America Series 3
28/1/23,Noxious (6),Eros (16),anc  Ancient,CCT North America Series 3
28/1/23,Eros (10),Noxious (16),mrg  Mirage,CCT North America Series 3
28/1/23,O PLANO (16),Flamengo (10),nuke  Nuke,IEM Rio 2023 South America Open Qualifier 1
28/1/23,Flamengo (16),O PLANO (6),mrg  Mirage,IEM Rio 2023 South America Open Qualifier 1
28/1/23,O PLANO (16),Flamengo (5),inf  Inferno,IEM Rio 2023 South America Open Qualifier 1
28/1/23,Davenport University (11),Take Flyte (16),inf  Inferno,CCT North America Series 3
28/1/23,Davenport University (16),Take Flyte (10),anb  Anubis,CCT North America Series 3
28/1/23,Take Flyte (16),Davenport University (11),nuke  Nuke,CCT North America Series 3
28/1/23,Strife (16),Disconnected (11),mrg  Mirage,IEM Rio 2023 North America Open Qualifier 1
28/1/23,Detonate (9),ATK (16),inf  Inferno,IEM Rio 2023 North America Open Qualifier 1
28/1/23,timbermen (6),Vendetta (16),ovp  Overpass,IEM Rio 2023 North America Open Qualifier 1
27/1/23,Sharks (6),O PLANO (16),nuke  Nuke,IEM Rio 2023 South America Open Qualifier 1
27/1/23,Fluxo (13),Flamengo (16),anc  Ancient,IEM Rio 2023 South America Open Qualifier 1
27/1/23,Meta (14),Sharks (16),mrg  Mirage,IEM Rio 2023 South America Open Qualifier 1
27/1/23,TropiCaos (5),Flamengo (16),inf  Inferno,IEM Rio 2023 South America Open Qualifier 1
27/1/23,Fluxo (16),FUSION (12),mrg  Mirage,IEM Rio 2023 South America Open Qualifier 1
27/1/23,Imperial (8),O PLANO (16),vtg  Vertigo,IEM Rio 2023 South America Open Qualifier 1
27/1/23,RED Canids (16),INTZ (11),inf  Inferno,CCT South America Series 4
27/1/23,RED Canids (19),INTZ (16),anb  Anubis,CCT South America Series 4
27/1/23,INTZ (16),RED Canids (14),mrg  Mirage,CCT South America Series 4
27/1/23,MOUZ NXT (16),Young Ninjas (9),nuke  Nuke,CCT North Europe Series 3
27/1/23,MOUZ NXT (10),Young Ninjas (16),mrg  Mirage,CCT North Europe Series 3
27/1/23,Young Ninjas (11),MOUZ NXT (16),vtg  Vertigo,CCT North Europe Series 3
27/1/23,ARCTIC (10),Meta (16),nuke  Nuke,IEM Rio 2023 South America Open Qualifier 1
27/1/23,Isurus (17),Flamengo (19),inf  Inferno,IEM Rio 2023 South America Open Qualifier 1
27/1/23,BIG (16),Liquid (8),anb  Anubis,BLAST Premier Spring Groups 2023
27/1/23,Liquid (2),BIG (16),nuke  Nuke,BLAST Premier Spring Groups 2023
27/1/23,NOORG (6),Sharks (16),mrg  Mirage,CCT South America Series 4
27/1/23,Sharks (16),NOORG (2),anc  Ancient,CCT South America Series 4
27/1/23,EPIC DUDES (16),JANO (10),inf  Inferno,CCT West Europe Series 1 Closed Qualifier
27/1/23,JANO (14),EPIC DUDES (16),ovp  Overpass,CCT West Europe Series 1 Closed Qualifier
27/1/23,EPIC DUDES (12),JANO (16),nuke  Nuke,CCT West Europe Series 1 Closed Qualifier
27/1/23,FORZE (16),GenOne (10),anb  Anubis,CCT North Europe Series 3
27/1/23,GenOne (13),FORZE (16),ovp  Overpass,CCT North Europe Series 3
27/1/23,Orgless Heroes (16),ALTERNATE aTTaX (11),anb  Anubis,CCT West Europe Series 1 Closed Qualifier
27/1/23,ALTERNATE aTTaX (10),Orgless Heroes (16),inf  Inferno,CCT West Europe Series 1 Closed Qualifier
27/1/23,GTZ (13),JANO (16),mrg  Mirage,CCT West Europe Series 1 Closed Qualifier
27/1/23,JANO (19),GTZ (17),anb  Anubis,CCT West Europe Series 1 Closed Qualifier
