Date,Team1,Team2,Map,Event
1/12/22,Encore (1),Grayhound (16),vtg  Vertigo,ESL Australia & NZ Championship Season 15
1/12/22,Encore (3),Grayhound (16),d2  Dust2,ESL Australia & NZ Championship Season 15
1/12/22,Grayhound (16),Encore (19),nuke  Nuke,ESL Australia & NZ Championship Season 15
1/12/22,God's Work (9),e-LEMON-ators (16),nuke  Nuke,ESL Australia & NZ Championship Season 15
1/12/22,e-LEMON-ators (16),God's Work (14),d2  Dust2,ESL Australia & NZ Championship Season 15
1/12/22,TeamOne (16),Detonate (11),inf  Inferno,CCT North America Series 2
1/12/22,Detonate (13),TeamOne (16),mrg  Mirage,CCT North America Series 2
1/12/22,EG White (16),Eclipse (5),mrg  Mirage,CCT North America Series 2
1/12/22,Eclipse (5),EG White (16),ovp  Overpass,CCT North America Series 2
1/12/22,Iron Blood (16),7AM NA (6),anc  Ancient,ESL Challenger League Season 43 North America
1/12/22,7AM NA (9),Iron Blood (16),mrg  Mirage,ESL Challenger League Season 43 North America
1/12/22,Iron Blood (16),7AM NA (19),nuke  Nuke,ESL Challenger League Season 43 North America
1/12/22,Strife (8),MIBR (16),nuke  Nuke,ESL Challenger League Season 43 North America
1/12/22,MIBR (16),Strife (11),vtg  Vertigo,ESL Challenger League Season 43 North America
1/12/22,Mythic (5),ATK (16),mrg  Mirage,ESL Challenger League Season 43 North America
1/12/22,ATK (16),Mythic (4),vtg  Vertigo,ESL Challenger League Season 43 North America
1/12/22,Red Wolves (16),Orion (13),inf  Inferno,CCT North America Series 2
1/12/22,Orion (16),Red Wolves (8),anc  Ancient,CCT North America Series 2
1/12/22,Red Wolves (16),Orion (7),mrg  Mirage,CCT North America Series 2
1/12/22,Take Flyte (6),Take Charge (16),ovp  Overpass,CCT North America Series 2
1/12/22,Take Charge (16),Take Flyte (13),anc  Ancient,CCT North America Series 2
30/11/22,Rehl (19),Hype (17),ovp  Overpass,CCT South America Series 3
30/11/22,Hype (14),Rehl (16),mrg  Mirage,CCT South America Series 3
30/11/22,Conquer (14),JANO (16),mrg  Mirage,Finnish Esports League Season 10
30/11/22,JANO (16),Conquer (9),inf  Inferno,Finnish Esports League Season 10
30/11/22,Spirit (16),HEET (3),anc  Ancient,ESL Challenger League Season 43 Europe
30/11/22,HEET (16),Spirit (6),nuke  Nuke,ESL Challenger League Season 43 Europe
30/11/22,HEET (28),Spirit (31),d2  Dust2,ESL Challenger League Season 43 Europe
30/11/22,FORZE (11),SAW (16),inf  Inferno,ESL Challenger League Season 43 Europe
30/11/22,FORZE (17),SAW (19),anc  Ancient,ESL Challenger League Season 43 Europe
30/11/22,EC Brugge (19),ALTERNATE aTTaX (17),anc  Ancient,CCT Central Europe Series 4 Closed Qualifier
30/11/22,ALTERNATE aTTaX (12),EC Brugge (16),mrg  Mirage,CCT Central Europe Series 4 Closed Qualifier
30/11/22,Anonymo (13),Tricked (16),anc  Ancient,CCT North Europe Series 2
30/11/22,Tricked (16),Anonymo (10),vtg  Vertigo,CCT North Europe Series 2
30/11/22,Anonymo (16),Tricked (12),nuke  Nuke,CCT North Europe Series 2
30/11/22,EXEN (8),ENCE Academy (16),ovp  Overpass,Finnish Esports League Season 10
30/11/22,ENCE Academy (16),EXEN (7),nuke  Nuke,Finnish Esports League Season 10
30/11/22,PROSPECTS (16),Invictus International (14),nuke  Nuke,Epic GOCL Season 2
30/11/22,Invictus International (7),PROSPECTS (16),ovp  Overpass,Epic GOCL Season 2
30/11/22,Apeks (16),Nexus (4),d2  Dust2,CCT Central Europe Series 4 Closed Qualifier
30/11/22,Nexus (6),Apeks (16),inf  Inferno,CCT Central Europe Series 4 Closed Qualifier
30/11/22,Los Grandes Academy (9),WINDINGO (16),ovp  Overpass,CCT South America Series 3
30/11/22,WINDINGO (16),Los Grandes Academy (8),mrg  Mirage,CCT South America Series 3
30/11/22,ECLOT (16),ECSTATIC (12),vtg  Vertigo,CCT North Europe Series 2
30/11/22,ECSTATIC (11),ECLOT (16),mrg  Mirage,CCT North Europe Series 2
30/11/22,Astralis Talent (12),ESTOWNIA (16),mrg  Mirage,CCT Central Europe Series 4 Closed Qualifier
30/11/22,ESTOWNIA (16),Astralis Talent (9),inf  Inferno,CCT Central Europe Series 4 Closed Qualifier
30/11/22,HONORIS (16),Sangal (12),inf  Inferno,Epic GOCL Season 2
30/11/22,Sangal (13),HONORIS (16),anc  Ancient,Epic GOCL Season 2
30/11/22,MASONIC (12),Illuminar (16),nuke  Nuke,CCT North Europe Series 2
