Date,Team1,Team2,Map,Event
26/6/22,Illuminar (16),Sangal (4),vtg  Vertigo,Esport Tour 2022 Series 2
26/6/22,Sangal (16),Illuminar (9),mrg  Mirage,Esport Tour 2022 Series 2
26/6/22,Illuminar (16),Sangal (5),anc  Ancient,Esport Tour 2022 Series 2
26/6/22,NKT (14),ARAVT (16),inf  Inferno,ESL Challenger League Season 41 Asia-Pacific
26/6/22,NKT (9),ARAVT (16),vtg  Vertigo,ESL Challenger League Season 41 Asia-Pacific
26/6/22,Gaimin Gladiators (13),ATK (16),ovp  Overpass,ESL Challenger League Season 41 North America
26/6/22,ATK (16),Gaimin Gladiators (3),inf  Inferno,ESL Challenger League Season 41 North America
25/6/22,Gaimin Gladiators (16),EG Black (11),inf  Inferno,ESL Challenger League Season 41 North America
25/6/22,EG Black (10),Gaimin Gladiators (16),mrg  Mirage,ESL Challenger League Season 41 North America
25/6/22,SWS (14),MIBR Academy (16),nuke  Nuke,CBCS Elite League 2022 Season 1
25/6/22,SWS (16),MIBR Academy (7),mrg  Mirage,CBCS Elite League 2022 Season 1
25/6/22,MIBR Academy (16),SWS (14),inf  Inferno,CBCS Elite League 2022 Season 1
25/6/22,Boca Juniors (14),Daotsu (16),mrg  Mirage,CBCS Elite League 2022 Season 1
25/6/22,Daotsu (19),Boca Juniors (15),nuke  Nuke,CBCS Elite League 2022 Season 1
25/6/22,B4 (16),Stone (0),anc  Ancient,CBCS Elite League 2022 Season 1
25/6/22,Stone (6),B4 (16),nuke  Nuke,CBCS Elite League 2022 Season 1
25/6/22,Los Grandes (17),Meta (19),inf  Inferno,CBCS Elite League 2022 Season 1
25/6/22,Rehl (5),Redragon (16),ovp  Overpass,CBCS Elite League 2022 Season 1
25/6/22,Stars Horizon (6),The Union (16),vtg  Vertigo,CBCS Elite League 2022 Season 1
25/6/22,Imperial (13),Eternal Fire (16),vtg  Vertigo,Roobet Cup 2022
25/6/22,Eternal Fire (25),Imperial (23),mrg  Mirage,Roobet Cup 2022
25/6/22,Imperial (16),Eternal Fire (7),nuke  Nuke,Roobet Cup 2022
25/6/22,MOUZ NXT (14),fnatic (16),nuke  Nuke,REPUBLEAGUE Season 3
25/6/22,MOUZ NXT (11),fnatic (16),inf  Inferno,REPUBLEAGUE Season 3
25/6/22,fnatic (10),MOUZ NXT (16),mrg  Mirage,REPUBLEAGUE Season 3
25/6/22,Movistar Riders (11),1WIN (16),mrg  Mirage,ESL Challenger League Season 41 Europe
25/6/22,Movistar Riders (14),1WIN (16),vtg  Vertigo,ESL Challenger League Season 41 Europe
25/6/22,Outsiders (10),FURIA (16),vtg  Vertigo,Roobet Cup 2022
25/6/22,FURIA (16),Outsiders (6),inf  Inferno,Roobet Cup 2022
25/6/22,BIG Academy (16),FURIA Academy (1),ovp  Overpass,WePlay Academy League Season 4
25/6/22,FURIA Academy (3),BIG Academy (16),d2  Dust2,WePlay Academy League Season 4
25/6/22,FORZE (16),Enterprise (14),inf  Inferno,REPUBLEAGUE Season 3
25/6/22,Enterprise (11),FORZE (16),nuke  Nuke,REPUBLEAGUE Season 3
25/6/22,Anonymo (9),B8 (16),nuke  Nuke,Esport Tour 2022 Series 2
25/6/22,B8 (19),Anonymo (16),d2  Dust2,Esport Tour 2022 Series 2
25/6/22,fnatic Rising (16),MOUZ NXT (19),d2  Dust2,WePlay Academy League Season 4
25/6/22,MOUZ NXT (16),fnatic Rising (13),inf  Inferno,WePlay Academy League Season 4
25/6/22,OG (16),Entropiq (12),d2  Dust2,Roobet Cup 2022
25/6/22,Entropiq (7),OG (16),anc  Ancient,Roobet Cup 2022
25/6/22,SAW (8),Movistar Riders (16),ovp  Overpass,ESL Challenger League Season 41 Europe
25/6/22,Movistar Riders (16),SAW (9),anc  Ancient,ESL Challenger League Season 41 Europe
25/6/22,Rare Atom (25),IHC (23),inf  Inferno,ESL Challenger League Season 41 Asia-Pacific
25/6/22,IHC (8),Rare Atom (16),ovp  Overpass,ESL Challenger League Season 41 Asia-Pacific
25/6/22,CatEvil (12),ARAVT (16),nuke  Nuke,ESL Challenger League Season 41 Asia-Pacific
25/6/22,ARAVT (16),CatEvil (11),inf  Inferno,ESL Challenger League Season 41 Asia-Pacific
25/6/22,OS (10),NKT (16),vtg  Vertigo,ESL Challenger League Season 41 Asia-Pacific
25/6/22,NKT (16),OS (8),inf  Inferno,ESL Challenger League Season 41 Asia-Pacific
25/6/22,B8 (16),Nexus (6),vtg  Vertigo,Esport Tour 2022 Series 2
25/6/22,Nexus (8),B8 (16),nuke  Nuke,Esport Tour 2022 Series 2
25/6/22,B8 (11),Nexus (16),inf  Inferno,Esport Tour 2022 Series 2
