Date,Team1,Team2,Map,Event
20/3/22,MOUZ NXT (12),BLUEJAYS (16),inf  Inferno,Pinnacle Cup III
20/3/22,Dignitas (5),Copenhagen Flames (16),ovp  Overpass,Pelaajat Nordic Masters Spring 2022 - BLAST Premier Qualifier
20/3/22,Copenhagen Flames (16),Dignitas (1),nuke  Nuke,Pelaajat Nordic Masters Spring 2022 - BLAST Premier Qualifier
20/3/22,Anonymo (16),KOVA (14),anc  Ancient,Pinnacle Cup III
20/3/22,KOVA (11),Anonymo (16),inf  Inferno,Pinnacle Cup III
20/3/22,TeamOne (12),paiN (16),nuke  Nuke,ESEA Winter 2021 Cash Cup 6 North America
20/3/22,Orgless (16),Strife (8),ovp  Overpass,ESEA Winter 2021 Cash Cup 6 North America
20/3/22,Valors2 (16),Third Impact (8),mrg  Mirage,ESEA Winter 2021 Cash Cup 6 North America
20/3/22,ATK (13),MIBR (16),ovp  Overpass,ESEA Winter 2021 Cash Cup 6 North America
19/3/22,Nexus (14),Bad News Eagles (16),mrg  Mirage,TWR Eastern European Masters Spring 2022 - BLAST Premier Qualifier
19/3/22,Nexus (13),SKADE (16),d2  Dust2,TWR Eastern European Masters Spring 2022 - BLAST Premier Qualifier
19/3/22,FaZe (16),Vitality (2),d2  Dust2,ESL Pro League Season 15
19/3/22,Vitality (10),FaZe (16),mrg  Mirage,ESL Pro League Season 15
19/3/22,Bad News Eagles (16),BLUEJAYS (4),d2  Dust2,TWR Eastern European Masters Spring 2022 - BLAST Premier Qualifier
19/3/22,Endpoint (11),Copenhagen Flames (16),ovp  Overpass,Pinnacle Cup III
19/3/22,Copenhagen Flames (16),Endpoint (5),vtg  Vertigo,Pinnacle Cup III
19/3/22,00NATION (13),Into the Breach (16),nuke  Nuke,Pinnacle Cup III
19/3/22,Into the Breach (16),00NATION (8),mrg  Mirage,Pinnacle Cup III
19/3/22,Nexus (16),BLUEJAYS (11),mrg  Mirage,TWR Eastern European Masters Spring 2022 - BLAST Premier Qualifier
19/3/22,ECSTATIC (12),Dignitas (16),vtg  Vertigo,Pelaajat Nordic Masters Spring 2022 - BLAST Premier Qualifier
19/3/22,SAW (19),Movistar Riders (22),inf  Inferno,RTP Arena Spring Cup 2022 - BLAST Premier Qualifier
19/3/22,Movistar Riders (12),SAW (16),nuke  Nuke,RTP Arena Spring Cup 2022 - BLAST Premier Qualifier
19/3/22,SAW (2),Movistar Riders (16),ovp  Overpass,RTP Arena Spring Cup 2022 - BLAST Premier Qualifier
19/3/22,SKADE (19),Bad News Eagles (16),inf  Inferno,TWR Eastern European Masters Spring 2022 - BLAST Premier Qualifier
19/3/22,Sprout (4),Outsiders (16),d2  Dust2,ESL Pro League Season 15
19/3/22,Sprout (8),Outsiders (16),inf  Inferno,ESL Pro League Season 15
19/3/22,Outsiders (17),Sprout (19),vtg  Vertigo,ESL Pro League Season 15
19/3/22,Dignitas (16),DUSTY (8),ovp  Overpass,Pelaajat Nordic Masters Spring 2022 - BLAST Premier Qualifier
19/3/22,MAD Lions (16),ROYALS (7),inf  Inferno,FantasyExpo EU Champions Spring 2022 Europe Closed Qualifier
19/3/22,ROYALS (9),MAD Lions (16),ovp  Overpass,FantasyExpo EU Champions Spring 2022 Europe Closed Qualifier
19/3/22,SINNERS (13),GamerLegion (16),mrg  Mirage,Pinnacle Cup III
19/3/22,GamerLegion (16),SINNERS (13),nuke  Nuke,Pinnacle Cup III
19/3/22,OFFSET (10),00NATION (16),ovp  Overpass,RTP Arena Spring Cup 2022 - BLAST Premier Qualifier
19/3/22,00NATION (16),OFFSET (14),inf  Inferno,RTP Arena Spring Cup 2022 - BLAST Premier Qualifier
19/3/22,ECSTATIC (16),Hellslayers (19),inf  Inferno,Pelaajat Nordic Masters Spring 2022 - BLAST Premier Qualifier
19/3/22,SACRAMENTO (10),MAD Lions (16),d2  Dust2,FantasyExpo EU Champions Spring 2022 Europe Closed Qualifier
19/3/22,MAD Lions (16),SACRAMENTO (7),mrg  Mirage,FantasyExpo EU Champions Spring 2022 Europe Closed Qualifier
19/3/22,Tricked (11),SKADE (16),mrg  Mirage,Pinnacle Cup III
19/3/22,SKADE (16),Tricked (4),nuke  Nuke,Pinnacle Cup III
19/3/22,ECSTATIC (16),DUSTY (12),inf  Inferno,Pelaajat Nordic Masters Spring 2022 - BLAST Premier Qualifier
19/3/22,ENCE (13),FURIA (16),mrg  Mirage,ESL Pro League Season 15
19/3/22,ENCE (11),FURIA (16),vtg  Vertigo,ESL Pro League Season 15
19/3/22,FURIA (11),ENCE (16),nuke  Nuke,ESL Pro League Season 15
19/3/22,Hellslayers (16),Dignitas (12),inf  Inferno,Pelaajat Nordic Masters Spring 2022 - BLAST Premier Qualifier
19/3/22,MAD Lions (22),Young Ninjas (20),mrg  Mirage,Pinnacle Cup III
19/3/22,MAD Lions (16),Young Ninjas (9),inf  Inferno,Pinnacle Cup III
19/3/22,Young Ninjas (16),MAD Lions (14),anc  Ancient,Pinnacle Cup III
19/3/22,MIBR (16),TeamOne (13),ovp  Overpass,ESL Challenger League Season 40 North America
19/3/22,X13 (13),BHOP (16),nuke  Nuke,ESL Challenger League Season 40 North America
19/3/22,BHOP (16),X13 (8),inf  Inferno,ESL Challenger League Season 40 North America
