Date,Team1,Team2,Map,Event
29/6/22,OneTap (16),KTRL (14),mrg  Mirage,Superbattles 2022 Finals
29/6/22,OneTap (14),KTRL (16),inf  Inferno,Superbattles 2022 Finals
29/6/22,KTRL (12),OneTap (16),vtg  Vertigo,Superbattles 2022 Finals
29/6/22,PACT (8),EC Kyiv (16),d2  Dust2,Esport Tour 2022 Series 2
29/6/22,EC Kyiv (16),PACT (14),anc  Ancient,Esport Tour 2022 Series 2
29/6/22,MASONIC (16),UNGENTIUM (8),anc  Ancient,Esport Tour 2022 Series 2
29/6/22,UNGENTIUM (16),MASONIC (3),d2  Dust2,Esport Tour 2022 Series 2
29/6/22,MASONIC (19),UNGENTIUM (16),vtg  Vertigo,Esport Tour 2022 Series 2
29/6/22,Philadelphia Liberty (10),Northern Forces (16),nuke  Nuke,ESEA Advanced Season 41 North America
29/6/22,Northern Forces (16),Philadelphia Liberty (4),inf  Inferno,ESEA Advanced Season 41 North America
29/6/22,Detonate (16),Snakes Den (7),d2  Dust2,ESEA Advanced Season 41 North America
29/6/22,Snakes Den (9),Detonate (16),mrg  Mirage,ESEA Advanced Season 41 North America
28/6/22,Nexus (16),allStars (12),nuke  Nuke,Superbattles 2022 Finals
28/6/22,UNGENTIUM (16),Into the Breach (14),mrg  Mirage,ESEA Advanced Season 41 Europe
28/6/22,Into the Breach (14),UNGENTIUM (16),vtg  Vertigo,ESEA Advanced Season 41 Europe
28/6/22,FORZE (19),Astralis (22),nuke  Nuke,Roobet Cup 2022
28/6/22,Astralis (16),FORZE (8),mrg  Mirage,Roobet Cup 2022
28/6/22,Nexus (18),KTRL (22),inf  Inferno,Superbattles 2022 Finals
28/6/22,KTRL (22),Nexus (18),mrg  Mirage,Superbattles 2022 Finals
28/6/22,ECSTATIC (10),ex-MAD Lions (16),nuke  Nuke,REPUBLEAGUE Season 3
28/6/22,ECSTATIC (9),ex-MAD Lions (16),d2  Dust2,REPUBLEAGUE Season 3
28/6/22,ex-MAD Lions (8),ECSTATIC (16),anc  Ancient,REPUBLEAGUE Season 3
28/6/22,MASONIC (25),SKADE (22),d2  Dust2,Elisa Invitational Spring 2022
28/6/22,MASONIC (11),SKADE (16),inf  Inferno,Elisa Invitational Spring 2022
28/6/22,SKADE (13),MASONIC (16),nuke  Nuke,Elisa Invitational Spring 2022
28/6/22,Apeks (16),VP.Prodigy (11),anc  Ancient,ESEA Advanced Season 41 Europe
28/6/22,VP.Prodigy (2),Apeks (16),d2  Dust2,ESEA Advanced Season 41 Europe
28/6/22,BIG Academy (9),FLET (16),mrg  Mirage,ESEA Advanced Season 41 Europe
28/6/22,BIG Academy (7),FLET (16),nuke  Nuke,ESEA Advanced Season 41 Europe
28/6/22,FLET (1),BIG Academy (16),ovp  Overpass,ESEA Advanced Season 41 Europe
28/6/22,ENCE (12),FaZe (16),ovp  Overpass,Roobet Cup 2022
28/6/22,FaZe (16),ENCE (10),anc  Ancient,Roobet Cup 2022
28/6/22,fnatic (16),Bad News Eagles (12),anc  Ancient,REPUBLEAGUE Season 3
28/6/22,Bad News Eagles (8),fnatic (16),nuke  Nuke,REPUBLEAGUE Season 3
28/6/22,SINNERS (16),ECSTATIC (14),vtg  Vertigo,Elisa Invitational Spring 2022
28/6/22,ECSTATIC (20),SINNERS (22),ovp  Overpass,Elisa Invitational Spring 2022
28/6/22,OneTap (16),allStars (12),d2  Dust2,Superbattles 2022 Finals
28/6/22,OneTap (12),allStars (16),anc  Ancient,Superbattles 2022 Finals
28/6/22,allStars (8),OneTap (16),ovp  Overpass,Superbattles 2022 Finals
28/6/22,UNGENTIUM (16),EC Kyiv (12),mrg  Mirage,Esport Tour 2022 Series 2
28/6/22,UNGENTIUM (10),EC Kyiv (16),inf  Inferno,Esport Tour 2022 Series 2
28/6/22,EC Kyiv (17),UNGENTIUM (19),vtg  Vertigo,Esport Tour 2022 Series 2
28/6/22,PACT (16),MASONIC (19),anc  Ancient,Esport Tour 2022 Series 2
28/6/22,MASONIC (16),PACT (14),vtg  Vertigo,Esport Tour 2022 Series 2
28/6/22,Luxe (8),Davenport University (16),nuke  Nuke,ESEA Advanced Season 41 North America
28/6/22,Davenport University (16),Luxe (14),ovp  Overpass,ESEA Advanced Season 41 North America
28/6/22,Luxe (16),Davenport University (7),vtg  Vertigo,ESEA Advanced Season 41 North America
28/6/22,Victorum (10),ONET4P (16),inf  Inferno,ESEA Advanced Season 41 North America
28/6/22,ONET4P (16),Victorum (4),ovp  Overpass,ESEA Advanced Season 41 North America
27/6/22,ECLOT (16),eSuba (13),vtg  Vertigo,Y-Games Pro Series 2022
