Date,Team1,Team2,Map,Event
25/1/22,Nemiga (4),1WIN (16),d2  Dust2,ESL Challenger League Season 40 Europe
25/1/22,1WIN (12),Nemiga (16),vtg  Vertigo,ESL Challenger League Season 40 Europe
25/1/22,Into the Breach (7),Entropiq (16),ovp  Overpass,ESL Challenger League Season 40 Europe
25/1/22,Entropiq (16),Into the Breach (13),anc  Ancient,ESL Challenger League Season 40 Europe
25/1/22,MOUZ NXT (13),Tricked (16),vtg  Vertigo,Pinnacle Winter Series 1
25/1/22,Tricked (10),MOUZ NXT (16),mrg  Mirage,Pinnacle Winter Series 1
25/1/22,MOUZ NXT (14),Tricked (16),nuke  Nuke,Pinnacle Winter Series 1
25/1/22,Dignitas (16),Unique (14),ovp  Overpass,Pinnacle Winter Series 1
25/1/22,Unique (6),Dignitas (16),vtg  Vertigo,Pinnacle Winter Series 1
25/1/22,Sprout (23),BLINK (25),inf  Inferno,Thunderpick Bitcoin Series 1
25/1/22,BLINK (16),Sprout (13),d2  Dust2,Thunderpick Bitcoin Series 1
25/1/22,Sprout (16),BLINK (5),anc  Ancient,Thunderpick Bitcoin Series 1
25/1/22,SINNERS (16),Wisla Krakow (7),mrg  Mirage,Malta Vibes Knockout Series 5
25/1/22,Wisla Krakow (13),SINNERS (16),anc  Ancient,Malta Vibes Knockout Series 5
25/1/22,SINNERS (12),Wisla Krakow (16),nuke  Nuke,Malta Vibes Knockout Series 5
25/1/22,K23 (9),Endpoint (16),mrg  Mirage,Pinnacle Winter Series 1
25/1/22,Endpoint (16),K23 (9),anc  Ancient,Pinnacle Winter Series 1
25/1/22,fnatic Rising (16),AGO (19),mrg  Mirage,Elisa Invitational Winter 2021
25/1/22,fnatic Rising (14),AGO (16),vtg  Vertigo,Elisa Invitational Winter 2021
25/1/22,AGO (14),fnatic Rising (16),anc  Ancient,Elisa Invitational Winter 2021
25/1/22,Apeks (16),SKADE (12),ovp  Overpass,Pinnacle Winter Series 1
25/1/22,Apeks (10),SKADE (16),inf  Inferno,Pinnacle Winter Series 1
25/1/22,SKADE (14),Apeks (16),anc  Ancient,Pinnacle Winter Series 1
25/1/22,BIG Academy (4),Dignitas (16),nuke  Nuke,Thunderpick Bitcoin Series 1
25/1/22,Dignitas (16),BIG Academy (11),vtg  Vertigo,Thunderpick Bitcoin Series 1
25/1/22,HEET (16),1WIN (10),nuke  Nuke,Malta Vibes Knockout Series 5
25/1/22,1WIN (10),HEET (16),vtg  Vertigo,Malta Vibes Knockout Series 5
25/1/22,Sprout (16),Savage (10),ovp  Overpass,Pinnacle Winter Series 1
25/1/22,Savage (9),Sprout (16),d2  Dust2,Pinnacle Winter Series 1
25/1/22,Sprout (6),Savage (16),anc  Ancient,Pinnacle Winter Series 1
25/1/22,Eternal Fire (12),GamerLegion (16),ovp  Overpass,Pinnacle Winter Series 1
25/1/22,GamerLegion (16),Eternal Fire (14),vtg  Vertigo,Pinnacle Winter Series 1
25/1/22,ECSTATIC (6),K23 (16),nuke  Nuke,Malta Vibes Knockout Series 5
25/1/22,K23 (16),ECSTATIC (14),inf  Inferno,Malta Vibes Knockout Series 5
25/1/22,ECSTATIC (16),K23 (11),anc  Ancient,Malta Vibes Knockout Series 5
25/1/22,1WIN (16),SAW (9),nuke  Nuke,Pinnacle Winter Series 1
25/1/22,1WIN (4),SAW (16),anc  Ancient,Pinnacle Winter Series 1
25/1/22,SAW (8),1WIN (16),d2  Dust2,Pinnacle Winter Series 1
25/1/22,BLINK (3),Wisla Krakow (16),nuke  Nuke,Pinnacle Winter Series 1
25/1/22,Wisla Krakow (16),BLINK (6),mrg  Mirage,Pinnacle Winter Series 1
24/1/22,Wisla Krakow (16),AGO (4),d2  Dust2,Malta Vibes Knockout Series 5
24/1/22,AGO (4),Wisla Krakow (16),nuke  Nuke,Malta Vibes Knockout Series 5
24/1/22,SAW (5),Dignitas (16),inf  Inferno,Pinnacle Winter Series 1
24/1/22,Dignitas (13),SAW (16),anc  Ancient,Pinnacle Winter Series 1
24/1/22,SAW (12),Dignitas (16),nuke  Nuke,Pinnacle Winter Series 1
24/1/22,Endpoint (16),1WIN (11),vtg  Vertigo,Pinnacle Winter Series 1
24/1/22,Endpoint (8),1WIN (16),d2  Dust2,Pinnacle Winter Series 1
24/1/22,1WIN (7),Endpoint (16),mrg  Mirage,Pinnacle Winter Series 1
24/1/22,Entropiq (12),Gambit (16),d2  Dust2,Funspark ULTI 2021 Finals
24/1/22,Entropiq (7),Gambit (16),mrg  Mirage,Funspark ULTI 2021 Finals
