Date,Team1,Team2,Map,Event
1/9/21,Galaxy Racer (16),GamerLegion (1),inf  Inferno,Pinnacle Fall Series 1
1/9/21,Galaxy Racer (16),GamerLegion (14),anc  Ancient,Pinnacle Fall Series 1
1/9/21,Sprout (14),FunPlus Phoenix (16),inf  Inferno,Pinnacle Fall Series 1
1/9/21,FunPlus Phoenix (16),Sprout (14),d2  Dust2,Pinnacle Fall Series 1
1/9/21,Feenix (10),NAVI Junior (16),inf  Inferno,Gjirafa50 Masters League Season 2
1/9/21,Feenix (7),NAVI Junior (16),vtg  Vertigo,Gjirafa50 Masters League Season 2
1/9/21,TeamOne (6),Gambit (16),anc  Ancient,ESL Pro League Season 14
1/9/21,TeamOne (14),Gambit (16),mrg  Mirage,ESL Pro League Season 14
1/9/21,Copenhagen Flames (13),Fiend (16),ovp  Overpass,Pinnacle Fall Series 1
1/9/21,Fiend (10),Copenhagen Flames (16),nuke  Nuke,Pinnacle Fall Series 1
1/9/21,Copenhagen Flames (14),Fiend (16),mrg  Mirage,Pinnacle Fall Series 1
1/9/21,LDLC (12),Dignitas (16),vtg  Vertigo,Pinnacle Fall Series 1
1/9/21,LDLC (19),Dignitas (17),nuke  Nuke,Pinnacle Fall Series 1
1/9/21,Dignitas (16),LDLC (7),inf  Inferno,Pinnacle Fall Series 1
1/9/21,Warriors (16),Caught off Guard (12),d2  Dust2,ESEA Premier Season 38 Australia
1/9/21,Caught off Guard (10),Warriors (16),mrg  Mirage,ESEA Premier Season 38 Australia
1/9/21,Chiefs (16),Looking For Org (19),d2  Dust2,ESEA Premier Season 38 Australia
1/9/21,Looking For Org (16),Chiefs (10),nuke  Nuke,ESEA Premier Season 38 Australia
1/9/21,Renegades (16),Paradox (4),mrg  Mirage,ESEA Premier Season 38 Australia
1/9/21,Paradox (8),Renegades (16),inf  Inferno,ESEA Premier Season 38 Australia
1/9/21,domilk (3),VERTEX (16),vtg  Vertigo,ESEA Premier Season 38 Australia
1/9/21,VERTEX (16),domilk (7),mrg  Mirage,ESEA Premier Season 38 Australia
1/9/21,Rooster (16),FURY (4),ovp  Overpass,ESEA Premier Season 38 Australia
1/9/21,FURY (1),Rooster (16),vtg  Vertigo,ESEA Premier Season 38 Australia
1/9/21,K23 (11),Movistar Riders (16),nuke  Nuke,Pinnacle Fall Series 1
1/9/21,Movistar Riders (16),K23 (12),inf  Inferno,Pinnacle Fall Series 1
1/9/21,Apeks (6),SAW (16),vtg  Vertigo,Pinnacle Fall Series 1
1/9/21,SAW (16),Apeks (11),ovp  Overpass,Pinnacle Fall Series 1
1/9/21,Third Impact (10),Extra Salt (16),anc  Ancient,ESEA Premier Season 38 North America
1/9/21,Extra Salt (16),Third Impact (12),inf  Inferno,ESEA Premier Season 38 North America
1/9/21,Coldest Riders (6),Triumph (16),nuke  Nuke,ESEA Premier Season 38 North America
1/9/21,Paquetá (16),INTZ (6),vtg  Vertigo,CBCS Retake Series 2021 Season 2
1/9/21,INTZ (11),Paquetá (16),nuke  Nuke,CBCS Retake Series 2021 Season 2
1/9/21,Paquetá (8),INTZ (16),d2  Dust2,CBCS Retake Series 2021 Season 2
31/8/21,ex-KG Network (3),Bravos (16),inf  Inferno,CBCS Retake Series 2021 Season 2
31/8/21,Bravos (16),ex-KG Network (10),d2  Dust2,CBCS Retake Series 2021 Season 2
31/8/21,GORILLAZ (14),Tricked (16),mrg  Mirage,Elisa Invitational Fall 2021 Regionals
31/8/21,GORILLAZ (6),Tricked (16),ovp  Overpass,Elisa Invitational Fall 2021 Regionals
31/8/21,Tricked (13),GORILLAZ (16),inf  Inferno,Elisa Invitational Fall 2021 Regionals
31/8/21,MOUZ (16),BIG (12),mrg  Mirage,ESL Pro League Season 14
31/8/21,MOUZ (7),BIG (16),d2  Dust2,ESL Pro League Season 14
31/8/21,BIG (12),MOUZ (16),nuke  Nuke,ESL Pro League Season 14
31/8/21,FaZe (17),Natus Vincere (19),nuke  Nuke,ESL Pro League Season 14
31/8/21,Natus Vincere (16),FaZe (7),inf  Inferno,ESL Pro League Season 14
31/8/21,fnatic (16),Evil Geniuses (14),inf  Inferno,ESL Pro League Season 14
31/8/21,Evil Geniuses (11),fnatic (16),nuke  Nuke,ESL Pro League Season 14
31/8/21,AGO (16),SKADE (9),d2  Dust2,ESEA Premier Season 38 Europe
31/8/21,AGO (9),SKADE (16),mrg  Mirage,ESEA Premier Season 38 Europe
31/8/21,SKADE (14),AGO (16),nuke  Nuke,ESEA Premier Season 38 Europe
31/8/21,Copenhagen Flames (9),Endpoint (16),inf  Inferno,Pinnacle Fall Series 1
