Date,Team1,Team2,Map,Event
10/9/21,INDINDA (6),Checkmate (16),nuke  Nuke,IEM Fall 2021 Asia Open Qualifier 1
10/9/21,Checkmate (16),INDINDA (1),d2  Dust2,IEM Fall 2021 Asia Open Qualifier 1
10/9/21,INDINDA (19),TBC (16),d2  Dust2,IEM Fall 2021 Asia Open Qualifier 1
10/9/21,Lynn Vision (7),Checkmate (16),inf  Inferno,IEM Fall 2021 Asia Open Qualifier 1
10/9/21,Caught off Guard (5),8Ballers (16),vtg  Vertigo,IEM Fall 2021 Oceania Open Qualifier 1
10/9/21,8Ballers (16),Caught off Guard (12),d2  Dust2,IEM Fall 2021 Oceania Open Qualifier 1
10/9/21,Ground Zero (11),8Ballers (16),inf  Inferno,IEM Fall 2021 Oceania Open Qualifier 1
10/9/21,lol123 (11),Caught off Guard (16),mrg  Mirage,IEM Fall 2021 Oceania Open Qualifier 1
10/9/21,DETONA (24),Leviatan (28),ovp  Overpass,IEM Fall 2021 South America Open Qualifier 1
10/9/21,INTZ (16),Meta (11),mrg  Mirage,IEM Fall 2021 South America Open Qualifier 1
10/9/21,Redragon (6),Meta (16),vtg  Vertigo,IEM Fall 2021 South America Open Qualifier 1
10/9/21,Imperial (8),SWS (16),mrg  Mirage,IEM Fall 2021 South America Open Qualifier 1
10/9/21,PR Stars (9),Liberty (16),d2  Dust2,IEM Fall 2021 South America Open Qualifier 1
10/9/21,DETONA (16),Santos (12),d2  Dust2,IEM Fall 2021 South America Open Qualifier 1
10/9/21,INTZ (16),ozbonz (9),mrg  Mirage,IEM Fall 2021 South America Open Qualifier 1
10/9/21,Imperial (16),Jaguares (12),anc  Ancient,IEM Fall 2021 South America Open Qualifier 1
10/9/21,Rehl (7),Liberty (16),ovp  Overpass,IEM Fall 2021 South America Open Qualifier 1
10/9/21,Leviatan (16),Furious (6),ovp  Overpass,IEM Fall 2021 South America Open Qualifier 1
10/9/21,Black Dragons (15),SWS (19),inf  Inferno,IEM Fall 2021 South America Open Qualifier 1
10/9/21,Ceará (10),PR Stars (16),nuke  Nuke,IEM Fall 2021 South America Open Qualifier 1
10/9/21,GORILLAZ (10),OPAA (16),inf  Inferno,IEM Fall 2021 Europe Open Qualifier 4
9/9/21,AaB (25),MIXALA (23),inf  Inferno,IEM Fall 2021 Europe Open Qualifier 4
9/9/21,Finest (19),HAVU (22),inf  Inferno,IEM Fall 2021 Europe Open Qualifier 4
9/9/21,Singularity (16),AVE (3),nuke  Nuke,IEM Fall 2021 CIS Open Qualifier 1
9/9/21,Websterz (16),QUAZAR (4),nuke  Nuke,IEM Fall 2021 CIS Open Qualifier 1
9/9/21,EC Kyiv (16),VRTX (5),inf  Inferno,IEM Fall 2021 CIS Open Qualifier 1
9/9/21,Infinite (14),MASONIC (16),inf  Inferno,IEM Fall 2021 Europe Open Qualifier 4
9/9/21,OPAA (19),Lyngby Vikings (15),inf  Inferno,IEM Fall 2021 Europe Open Qualifier 4
9/9/21,NASR (22),OFFSET (18),nuke  Nuke,IEM Fall 2021 Europe Open Qualifier 4
9/9/21,Wisla Krakow (10),GORILLAZ (16),d2  Dust2,IEM Fall 2021 Europe Open Qualifier 4
9/9/21,AGF (11),SAW (16),vtg  Vertigo,IEM Fall 2021 Europe Open Qualifier 4
9/9/21,Nexus (8),South (16),inf  Inferno,IEM Fall 2021 Europe Open Qualifier 4
9/9/21,INDE IRAE (16),MayBe (11),nuke  Nuke,IEM Fall 2021 CIS Open Qualifier 1
9/9/21,FunPlus Phoenix (5),MAD Lions (16),anc  Ancient,Fantasyexpo EU Champions Fall 2021 - BLAST Premier Qualifier
9/9/21,MAD Lions (16),FunPlus Phoenix (12),inf  Inferno,Fantasyexpo EU Champions Fall 2021 - BLAST Premier Qualifier
9/9/21,SAW Youngsters (4),Young Ninjas (16),inf  Inferno,Elisa Invitational Fall 2021 Regionals
9/9/21,Young Ninjas (16),SAW Youngsters (10),nuke  Nuke,Elisa Invitational Fall 2021 Regionals
9/9/21,mYinsanity (9),Arctic (16),inf  Inferno,Swisscom Hero League Season 6
9/9/21,Arctic (16),mYinsanity (14),d2  Dust2,Swisscom Hero League Season 6
9/9/21,Arctic (12),mYinsanity (16),ovp  Overpass,Swisscom Hero League Season 6
9/9/21,Genk (5),EC Brugge (16),d2  Dust2,Elite Series Summer Split 2021
9/9/21,Genk (12),EC Brugge (16),mrg  Mirage,Elite Series Summer Split 2021
9/9/21,EC Brugge (17),Genk (19),nuke  Nuke,Elite Series Summer Split 2021
9/9/21,Vitality (16),Gambit (14),vtg  Vertigo,ESL Pro League Season 14
9/9/21,Gambit (11),Vitality (16),inf  Inferno,ESL Pro League Season 14
9/9/21,FunPlus Phoenix (16),DBL PONEY (13),nuke  Nuke,Fantasyexpo EU Champions Fall 2021 - BLAST Premier Qualifier
9/9/21,FunPlus Phoenix (13),DBL PONEY (16),d2  Dust2,Fantasyexpo EU Champions Fall 2021 - BLAST Premier Qualifier
9/9/21,DBL PONEY (6),FunPlus Phoenix (16),inf  Inferno,Fantasyexpo EU Champions Fall 2021 - BLAST Premier Qualifier
9/9/21,Tricked (12),Apeks (16),d2  Dust2,Elisa Invitational Fall 2021 Regionals
9/9/21,Apeks (19),Tricked (16),inf  Inferno,Elisa Invitational Fall 2021 Regionals
