Date,Team1,Team2,Map,Event
17/11/22,Astralis (19),Bad News Eagles (16),mrg  Mirage,Elisa Masters Espoo 2022
17/11/22,fnatic (6),Complexity (16),nuke  Nuke,Elisa Masters Espoo 2022
17/11/22,AGO (16),Conquer (9),anc  Ancient,CCT North Europe Series 2 Closed Qualifier
17/11/22,Conquer (14),AGO (16),mrg  Mirage,CCT North Europe Series 2 Closed Qualifier
17/11/22,AGO (10),Conquer (16),inf  Inferno,CCT North Europe Series 2 Closed Qualifier
17/11/22,500 (11),fnatic (16),ovp  Overpass,Elisa Masters Espoo 2022
17/11/22,SAW (11),Astralis (16),d2  Dust2,Elisa Masters Espoo 2022
17/11/22,Nemiga (16),Prosapia (10),ovp  Overpass,CCT North Europe Series 2 Closed Qualifier
17/11/22,Prosapia (5),Nemiga (16),nuke  Nuke,CCT North Europe Series 2 Closed Qualifier
17/11/22,Encore (16),Antic (10),vtg  Vertigo,ESL Australia & NZ Championship Season 15
17/11/22,Antic (20),Encore (22),mrg  Mirage,ESL Australia & NZ Championship Season 15
17/11/22,UNGENTIUM (10),K23 (16),d2  Dust2,CCT Central Europe Series 3
17/11/22,K23 (14),UNGENTIUM (16),anc  Ancient,CCT Central Europe Series 3
17/11/22,UNGENTIUM (13),K23 (16),ovp  Overpass,CCT Central Europe Series 3
17/11/22,500 (16),Complexity (14),ovp  Overpass,Elisa Masters Espoo 2022
17/11/22,Bad News Eagles (16),SAW (12),anc  Ancient,Elisa Masters Espoo 2022
17/11/22,Frontier (16),Arena (8),inf  Inferno,ESL Australia & NZ Championship Season 15
17/11/22,Villainous (10),Red Wolves (16),inf  Inferno,ESL Challenger League Season 43 North America
17/11/22,Red Wolves (14),Villainous (16),mrg  Mirage,ESL Challenger League Season 43 North America
17/11/22,Villainous (14),Red Wolves (16),anc  Ancient,ESL Challenger League Season 43 North America
17/11/22,Snakes Den (7),Strife (16),vtg  Vertigo,ESL Challenger League Season 43 North America
17/11/22,Strife (16),Snakes Den (2),inf  Inferno,ESL Challenger League Season 43 North America
16/11/22,HEET (16),HAVU (11),d2  Dust2,Elisa Masters Espoo 2022
16/11/22,Sprout (25),GamerLegion (23),ovp  Overpass,Elisa Masters Espoo 2022
16/11/22,ENCE (16),BIG (9),mrg  Mirage,Elisa Masters Espoo 2022
16/11/22,ex-Finest (16),SINNERS (13),ovp  Overpass,CCT Central Europe Series 3
16/11/22,SINNERS (14),ex-Finest (16),anc  Ancient,CCT Central Europe Series 3
16/11/22,LDLC (14),Falcons (16),ovp  Overpass,European Development Championship 6
16/11/22,Falcons (16),LDLC (14),vtg  Vertigo,European Development Championship 6
16/11/22,Permitta (10),BLUEJAYS (16),mrg  Mirage,ESL Challenger League Season 43 Europe
16/11/22,BLUEJAYS (16),Permitta (8),anc  Ancient,ESL Challenger League Season 43 Europe
16/11/22,HAVU (8),Sprout (16),inf  Inferno,Elisa Masters Espoo 2022
16/11/22,HEET (9),ENCE (16),anc  Ancient,Elisa Masters Espoo 2022
16/11/22,Sprout (19),ENCE (16),anc  Ancient,Elisa Masters Espoo 2022
16/11/22,GamerLegion (16),BIG (14),ovp  Overpass,Elisa Masters Espoo 2022
16/11/22,Eternal Fire (13),HONORIS (16),inf  Inferno,CCT Central Europe Series 3
16/11/22,HONORIS (1),Eternal Fire (16),d2  Dust2,CCT Central Europe Series 3
16/11/22,Eternal Fire (8),HONORIS (16),nuke  Nuke,CCT Central Europe Series 3
16/11/22,Endpoint (17),Illuminar (19),nuke  Nuke,European Development Championship 6
16/11/22,Illuminar (16),Endpoint (6),mrg  Mirage,European Development Championship 6
16/11/22,BIG (19),HAVU (15),mrg  Mirage,Elisa Masters Espoo 2022
16/11/22,HEET (16),GamerLegion (8),anc  Ancient,Elisa Masters Espoo 2022
16/11/22,BIG (16),Sprout (11),vtg  Vertigo,Elisa Masters Espoo 2022
16/11/22,GamerLegion (10),ENCE (16),vtg  Vertigo,Elisa Masters Espoo 2022
16/11/22,Young Ninjas (11),BLUEJAYS (16),mrg  Mirage,CCT Central Europe Series 3
16/11/22,Young Ninjas (16),BLUEJAYS (8),inf  Inferno,CCT Central Europe Series 3
16/11/22,BLUEJAYS (16),Young Ninjas (7),vtg  Vertigo,CCT Central Europe Series 3
16/11/22,SINNERS (16),PROSPECTS (12),anc  Ancient,European Development Championship 6
16/11/22,PROSPECTS (12),SINNERS (16),nuke  Nuke,European Development Championship 6
16/11/22,HEET (14),Sprout (16),anc  Ancient,Elisa Masters Espoo 2022
