Date,Team1,Team2,Map,Event
29/3/22,Rare Atom (16),Moon (5),inf  Inferno,ESL Challenger League Season 40 Asia-Pacific
29/3/22,Rare Atom (16),Moon (2),nuke  Nuke,ESL Challenger League Season 40 Asia-Pacific
29/3/22,TheMongolz (16),NKT (14),nuke  Nuke,ESL Challenger League Season 40 Asia-Pacific
29/3/22,NKT (13),TheMongolz (16),d2  Dust2,ESL Challenger League Season 40 Asia-Pacific
29/3/22,NSN (2),TYLOO (16),ovp  Overpass,ESL Challenger League Season 40 Asia-Pacific
29/3/22,TYLOO (16),NSN (1),inf  Inferno,ESL Challenger League Season 40 Asia-Pacific
29/3/22,CatEvil (1),IHC (16),nuke  Nuke,ESL Challenger League Season 40 Asia-Pacific
29/3/22,IHC (16),CatEvil (5),inf  Inferno,ESL Challenger League Season 40 Asia-Pacific
29/3/22,Copenhagen Flames (16),Dignitas (6),nuke  Nuke,Pinnacle Cup III
29/3/22,Dignitas (16),Copenhagen Flames (3),ovp  Overpass,Pinnacle Cup III
29/3/22,Copenhagen Flames (16),Dignitas (10),vtg  Vertigo,Pinnacle Cup III
29/3/22,Nut-E (16),ex-FURY (12),inf  Inferno,LPL Pro League Season 10
29/3/22,Nut-E (17),ex-FURY (19),ovp  Overpass,LPL Pro League Season 10
29/3/22,ex-FURY (14),Nut-E (16),d2  Dust2,LPL Pro League Season 10
29/3/22,K23 (16),ECSTATIC (10),nuke  Nuke,Thunderpick Bitcoin Series 1
29/3/22,K23 (13),ECSTATIC (16),inf  Inferno,Thunderpick Bitcoin Series 1
29/3/22,ECSTATIC (4),K23 (16),ovp  Overpass,Thunderpick Bitcoin Series 1
29/3/22,1620 Kings (16),Bandits (13),inf  Inferno,LPL Pro League Season 10
29/3/22,Bandits (11),1620 Kings (16),ovp  Overpass,LPL Pro League Season 10
29/3/22,Levitate (9),Big Chillin (16),vtg  Vertigo,ESEA Advanced Season 40 North America
29/3/22,Big Chillin (16),Levitate (10),ovp  Overpass,ESEA Advanced Season 40 North America
28/3/22,VELOX (13),FAMBIT (16),ovp  Overpass,ESEA Advanced Season 40 Europe
28/3/22,FAMBIT (13),VELOX (16),anc  Ancient,ESEA Advanced Season 40 Europe
28/3/22,VELOX (1),FAMBIT (16),nuke  Nuke,ESEA Advanced Season 40 Europe
28/3/22,MASONIC (12),MAD Lions (16),d2  Dust2,ESEA Advanced Season 40 Europe
28/3/22,MAD Lions (16),MASONIC (13),nuke  Nuke,ESEA Advanced Season 40 Europe
28/3/22,Anonymo (7),FORZE (16),ovp  Overpass,ESEA Advanced Season 40 Europe
28/3/22,Anonymo (16),FORZE (14),mrg  Mirage,ESEA Advanced Season 40 Europe
28/3/22,FORZE (16),Anonymo (12),anc  Ancient,ESEA Advanced Season 40 Europe
28/3/22,Singularity (16),INDE IRAE (2),mrg  Mirage,ESEA Advanced Season 40 Europe
28/3/22,INDE IRAE (14),Singularity (16),nuke  Nuke,ESEA Advanced Season 40 Europe
28/3/22,Singularity (12),INDE IRAE (16),anc  Ancient,ESEA Advanced Season 40 Europe
28/3/22,Dignitas (16),BLUEJAYS (6),inf  Inferno,Pinnacle Cup III
28/3/22,BLUEJAYS (14),Dignitas (16),vtg  Vertigo,Pinnacle Cup III
28/3/22,Enterprise (7),DREAM (16),ovp  Overpass,Elisa Invitational Spring 2022 Contenders
28/3/22,Enterprise (14),DREAM (16),vtg  Vertigo,Elisa Invitational Spring 2022 Contenders
28/3/22,DREAM (6),Enterprise (16),mrg  Mirage,Elisa Invitational Spring 2022 Contenders
28/3/22,K23 (16),AVE (14),d2  Dust2,ESEA Advanced Season 40 Europe
28/3/22,AVE (13),K23 (16),ovp  Overpass,ESEA Advanced Season 40 Europe
28/3/22,K23 (14),AVE (16),anc  Ancient,ESEA Advanced Season 40 Europe
28/3/22,SKADE (16),Vitality (10),nuke  Nuke,Pinnacle Cup III
28/3/22,Vitality (13),SKADE (16),ovp  Overpass,Pinnacle Cup III
28/3/22,ECLOT (8),Sangal (16),anc  Ancient,ESEA Advanced Season 40 Europe
28/3/22,Sangal (17),ECLOT (19),mrg  Mirage,ESEA Advanced Season 40 Europe
28/3/22,ECLOT (7),Sangal (16),inf  Inferno,ESEA Advanced Season 40 Europe
28/3/22,ALTERNATE aTTaX (16),EC Brugge (13),mrg  Mirage,ESEA Advanced Season 40 Europe
28/3/22,EC Brugge (9),ALTERNATE aTTaX (16),inf  Inferno,ESEA Advanced Season 40 Europe
28/3/22,Savage (7),PROSPECTS (16),ovp  Overpass,Elisa Invitational Spring 2022 Contenders
28/3/22,Savage (12),PROSPECTS (16),vtg  Vertigo,Elisa Invitational Spring 2022 Contenders
28/3/22,PROSPECTS (5),Savage (16),inf  Inferno,Elisa Invitational Spring 2022 Contenders
