Date,Team1,Team2,Map,Event
1/12/21,SAW (16),Nemiga (7),inf  Inferno,ESEA Premier Season 39 Europe
1/12/21,Nemiga (19),SAW (17),nuke  Nuke,ESEA Premier Season 39 Europe
1/12/21,AGO (16),FORZE (14),mrg  Mirage,ESEA Premier Season 39 Europe
1/12/21,FORZE (16),AGO (6),anc  Ancient,ESEA Premier Season 39 Europe
1/12/21,Finest (13),SINNERS (16),anc  Ancient,ESEA Premier Season 39 Europe
1/12/21,SINNERS (16),Finest (10),ovp  Overpass,ESEA Premier Season 39 Europe
1/12/21,eXploit (8),AVE (16),anc  Ancient,Malta Vibes Knockout Series 4
1/12/21,eXploit (10),AVE (16),inf  Inferno,Malta Vibes Knockout Series 4
1/12/21,Apeks Rebels (13),Enterprise (16),anc  Ancient,Elisa Invitational Winter 2021 Regionals
1/12/21,Enterprise (16),Apeks Rebels (13),inf  Inferno,Elisa Invitational Winter 2021 Regionals
1/12/21,Extra Salt (14),ECSTATIC (16),vtg  Vertigo,Pinnacle Fall Series 3
1/12/21,ECSTATIC (16),Extra Salt (13),anc  Ancient,Pinnacle Fall Series 3
1/12/21,LDLC (13),Movistar Riders (16),vtg  Vertigo,ESEA Premier Season 39 Europe
1/12/21,Movistar Riders (16),LDLC (7),nuke  Nuke,ESEA Premier Season 39 Europe
1/12/21,Coalesce (16),777 (8),ovp  Overpass,Malta Vibes Knockout Series 4
1/12/21,777 (11),Coalesce (16),vtg  Vertigo,Malta Vibes Knockout Series 4
1/12/21,1WIN (16),Sprout (8),vtg  Vertigo,ESEA Premier Season 39 Europe
1/12/21,1WIN (16),Sprout (11),anc  Ancient,ESEA Premier Season 39 Europe
1/12/21,Sprout (16),1WIN (12),nuke  Nuke,ESEA Premier Season 39 Europe
1/12/21,Dignitas (16),Lynn Vision (11),inf  Inferno,Funspark ULTI 2021 Europe Regional Series 4
1/12/21,Lynn Vision (14),Dignitas (16),nuke  Nuke,Funspark ULTI 2021 Europe Regional Series 4
1/12/21,Dignitas (12),Lynn Vision (16),ovp  Overpass,Funspark ULTI 2021 Europe Regional Series 4
1/12/21,INDE IRAE (12),AGF (16),inf  Inferno,Elisa Invitational Winter 2021 Regionals
1/12/21,AGF (6),INDE IRAE (16),anc  Ancient,Elisa Invitational Winter 2021 Regionals
1/12/21,INDE IRAE (11),AGF (16),nuke  Nuke,Elisa Invitational Winter 2021 Regionals
1/12/21,ECSTATIC (16),BLINK (10),inf  Inferno,Pinnacle Fall Series 3
1/12/21,ECSTATIC (16),BLINK (11),anc  Ancient,Pinnacle Fall Series 3
1/12/21,BLINK (16),ECSTATIC (10),vtg  Vertigo,Pinnacle Fall Series 3
1/12/21,GamerLegion (16),Anonymo (2),anc  Ancient,ESEA Premier Season 39 Europe
1/12/21,Anonymo (9),GamerLegion (16),mrg  Mirage,ESEA Premier Season 39 Europe
1/12/21,GamerLegion (11),Anonymo (16),inf  Inferno,ESEA Premier Season 39 Europe
1/12/21,Nemiga (16),Astralis Talent (4),ovp  Overpass,Malta Vibes Knockout Series 4
1/12/21,Astralis Talent (5),Nemiga (16),inf  Inferno,Malta Vibes Knockout Series 4
1/12/21,VERTEX (16),Dynasty (8),nuke  Nuke,ESL Challenger Anaheim 2022 Oceania Open Qualifier 2
1/12/21,ECSTATIC (16),Eternal Fire (12),inf  Inferno,Funspark ULTI 2021 Europe Regional Series 4
1/12/21,Eternal Fire (11),ECSTATIC (16),nuke  Nuke,Funspark ULTI 2021 Europe Regional Series 4
1/12/21,Extra Salt (19),DBL PONEY (17),nuke  Nuke,Pinnacle Fall Series 3
1/12/21,DBL PONEY (7),Extra Salt (16),anc  Ancient,Pinnacle Fall Series 3
1/12/21,ECLOT (16),Tricked (10),ovp  Overpass,Malta Vibes Knockout Series 4
1/12/21,Tricked (13),ECLOT (16),mrg  Mirage,Malta Vibes Knockout Series 4
1/12/21,TeamOne (16),Bad News Bears (14),anc  Ancient,ESL Challenger Anaheim 2022 North America Open Qualifier 1
1/12/21,Bad News Bears (16),TeamOne (19),inf  Inferno,ESL Challenger Anaheim 2022 North America Open Qualifier 1
1/12/21,Eros (7),ChocoCheck (16),mrg  Mirage,ESEA Premier Season 39 North America
1/12/21,ChocoCheck (16),Eros (3),vtg  Vertigo,ESEA Premier Season 39 North America
1/12/21,Keyd (7),9z (16),nuke  Nuke,BLAST Rising 2021 Latin America
1/12/21,9z (16),Keyd (5),ovp  Overpass,BLAST Rising 2021 Latin America
1/12/21,TeamOne (16),Party Astronauts (10),inf  Inferno,ESL Challenger Anaheim 2022 North America Open Qualifier 1
1/12/21,Bad News Bears (16),Strife (9),nuke  Nuke,ESL Challenger Anaheim 2022 North America Open Qualifier 1
1/12/21,Los Grandes (16),LSC (2),d2  Dust2,ESL Challenger Anaheim 2022 South America Open Qualifier 1
1/12/21,LSC (3),Los Grandes (16),inf  Inferno,ESL Challenger Anaheim 2022 South America Open Qualifier 1
