Date,Team1,Team2,Map,Event
9/7/22,BLVKHVND (19),Temperate (16),nuke  Nuke,Intel epic36
9/7/22,Temperate (14),BLVKHVND (16),vtg  Vertigo,Intel epic36
9/7/22,Sweden (9),Ukraine (16),mrg  Mirage,European Championship 2022
9/7/22,Ukraine (16),Sweden (7),inf  Inferno,European Championship 2022
9/7/22,G2 (12),Ninjas in Pyjamas (16),inf  Inferno,IEM Cologne 2022
9/7/22,Ninjas in Pyjamas (16),G2 (13),nuke  Nuke,IEM Cologne 2022
9/7/22,G2 (16),Ninjas in Pyjamas (11),anc  Ancient,IEM Cologne 2022
9/7/22,Vitality (12),MOUZ (16),nuke  Nuke,IEM Cologne 2022
9/7/22,MOUZ (16),Vitality (10),ovp  Overpass,IEM Cologne 2022
9/7/22,Vitality (16),MOUZ (12),inf  Inferno,IEM Cologne 2022
9/7/22,GTZ (12),OFFSET (16),vtg  Vertigo,OMEN WGR Retake Season 4
9/7/22,GTZ (10),OFFSET (16),inf  Inferno,OMEN WGR Retake Season 4
9/7/22,OFFSET (17),GTZ (19),d2  Dust2,OMEN WGR Retake Season 4
9/7/22,SINNERS (14),SKADE (16),inf  Inferno,PGE Polish Esports League Supercup 2022
9/7/22,SKADE (16),SINNERS (4),nuke  Nuke,PGE Polish Esports League Supercup 2022
9/7/22,Emps Kids (16),AVA (6),anc  Ancient,Intel epic36
9/7/22,AVA (4),Emps Kids (16),d2  Dust2,Intel epic36
9/7/22,Emps Kids (12),AVA (16),inf  Inferno,Intel epic36
9/7/22,Spirit (13),FaZe (16),nuke  Nuke,IEM Cologne 2022
9/7/22,FaZe (16),Spirit (10),anc  Ancient,IEM Cologne 2022
9/7/22,FTW (10),SAW (16),vtg  Vertigo,OMEN WGR Retake Season 4
9/7/22,FTW (16),OFFSET (3),anc  Ancient,OMEN WGR Retake Season 4
9/7/22,Astralis (16),Cloud9 (8),mrg  Mirage,IEM Cologne 2022
9/7/22,Cloud9 (11),Astralis (16),inf  Inferno,IEM Cologne 2022
9/7/22,NSN (7),TheMongolz (16),mrg  Mirage,ESL Challenger Melbourne 2022 Asia Open Qualifier 2
9/7/22,Invictus (6),Lynn Vision (16),inf  Inferno,ESL Challenger Melbourne 2022 Asia Open Qualifier 2
9/7/22,CatEvil (9),Wings Up (16),nuke  Nuke,ESL Challenger Melbourne 2022 Asia Open Qualifier 2
9/7/22,Renewal (5),ARAVT (16),inf  Inferno,ESL Challenger Melbourne 2022 Asia Open Qualifier 2
9/7/22,GTZ (10),SAW (16),inf  Inferno,OMEN WGR Retake Season 4
9/7/22,BLUEJAYS (16),iNation (5),vtg  Vertigo,European Championship 2022
9/7/22,iNation (8),BLUEJAYS (16),d2  Dust2,European Championship 2022
9/7/22,BLUEJAYS (8),iNation (16),inf  Inferno,European Championship 2022
9/7/22,Liquid (16),00NATION (8),anc  Ancient,IEM Cologne 2022
9/7/22,00NATION (17),Liquid (19),mrg  Mirage,IEM Cologne 2022
9/7/22,Liquid (22),00NATION (25),ovp  Overpass,IEM Cologne 2022
9/7/22,Outsiders (8),FURIA (16),vtg  Vertigo,IEM Cologne 2022
9/7/22,FURIA (16),Outsiders (13),inf  Inferno,IEM Cologne 2022
9/7/22,Endpoint (11),SINNERS (16),vtg  Vertigo,PGE Polish Esports League Supercup 2022
9/7/22,SINNERS (16),Endpoint (5),inf  Inferno,PGE Polish Esports League Supercup 2022
9/7/22,Endpoint (16),SINNERS (14),ovp  Overpass,PGE Polish Esports League Supercup 2022
9/7/22,Arena (16),Pharnap (14),nuke  Nuke,BrisVegas Winter 2022
9/7/22,Arena (7),Pharnap (16),mrg  Mirage,BrisVegas Winter 2022
9/7/22,Pharnap (14),Arena (16),d2  Dust2,BrisVegas Winter 2022
9/7/22,Lions (8),Generation of Miracles (16),mrg  Mirage,BrisVegas Winter 2022
9/7/22,Generation of Miracles (16),Lions (8),ovp  Overpass,BrisVegas Winter 2022
9/7/22,Generation of Miracles (13),Arena (16),mrg  Mirage,BrisVegas Winter 2022
9/7/22,Lions (13),Pharnap (16),mrg  Mirage,BrisVegas Winter 2022
9/7/22,Davenport University (13),Luxe (16),ovp  Overpass,ESEA Advanced Season 41 North America
9/7/22,Davenport University (13),Luxe (16),vtg  Vertigo,ESEA Advanced Season 41 North America
9/7/22,Luxe (13),Davenport University (16),inf  Inferno,ESEA Advanced Season 41 North America
