Date,Team1,Team2,Map,Event
24/3/22,JiJieHao (10),LV.NEW (16),d2  Dust2,Perfect World Arena Premier League Season 1
24/3/22,VERTEX (14),Paradox (16),mrg  Mirage,ESL Australia & NZ Championship Season 14
24/3/22,VERTEX (12),Paradox (16),d2  Dust2,ESL Australia & NZ Championship Season 14
24/3/22,Paradox (11),VERTEX (16),vtg  Vertigo,ESL Australia & NZ Championship Season 14
24/3/22,Orgless (9),ATK (16),anc  Ancient,ESL Challenger League Season 40 North America
24/3/22,ATK (16),Orgless (11),d2  Dust2,ESL Challenger League Season 40 North America
24/3/22,Orgless (16),ATK (14),inf  Inferno,ESL Challenger League Season 40 North America
24/3/22,Strife (16),TeamOne (10),nuke  Nuke,ESL Challenger League Season 40 North America
24/3/22,TeamOne (18),Strife (22),inf  Inferno,ESL Challenger League Season 40 North America
24/3/22,X13 (5),MIBR (16),nuke  Nuke,ESL Challenger League Season 40 North America
24/3/22,MIBR (16),X13 (12),inf  Inferno,ESL Challenger League Season 40 North America
23/3/22,Boca Juniors (7),Case (16),inf  Inferno,Aorus League 2022 Season 1 Regional Finals
23/3/22,Case (16),Boca Juniors (12),vtg  Vertigo,Aorus League 2022 Season 1 Regional Finals
23/3/22,BIG (12),Liquid (16),mrg  Mirage,ESL Pro League Season 15
23/3/22,Liquid (16),BIG (11),d2  Dust2,ESL Pro League Season 15
23/3/22,Conquer (16),NLG (10),ovp  Overpass,ESEA Advanced Season 40 Europe
23/3/22,NLG (15),Conquer (19),mrg  Mirage,ESEA Advanced Season 40 Europe
23/3/22,Enterprise (8),BIG Academy (16),ovp  Overpass,Elisa Invitational Spring 2022 Contenders
23/3/22,BIG Academy (17),Enterprise (19),mrg  Mirage,Elisa Invitational Spring 2022 Contenders
23/3/22,Enterprise (2),BIG Academy (16),d2  Dust2,Elisa Invitational Spring 2022 Contenders
23/3/22,Sangal (16),VELOX (12),inf  Inferno,ESEA Advanced Season 40 Europe
23/3/22,Sangal (10),VELOX (16),anc  Ancient,ESEA Advanced Season 40 Europe
23/3/22,VELOX (9),Sangal (16),d2  Dust2,ESEA Advanced Season 40 Europe
23/3/22,Entropiq Prague (6),ECLOT (16),mrg  Mirage,ESEA Advanced Season 40 Europe
23/3/22,ECLOT (16),Entropiq Prague (13),vtg  Vertigo,ESEA Advanced Season 40 Europe
23/3/22,MAD Lions (16),Wolsung (5),ovp  Overpass,FantasyExpo EU Champions Spring 2022 Europe Closed Qualifier
23/3/22,MAD Lions (5),Wolsung (16),inf  Inferno,FantasyExpo EU Champions Spring 2022 Europe Closed Qualifier
23/3/22,Wolsung (8),MAD Lions (16),anc  Ancient,FantasyExpo EU Champions Spring 2022 Europe Closed Qualifier
23/3/22,Endpoint (16),Young Ninjas (10),mrg  Mirage,Pinnacle Cup III
23/3/22,Young Ninjas (9),Endpoint (16),vtg  Vertigo,Pinnacle Cup III
23/3/22,Endpoint (10),Young Ninjas (16),ovp  Overpass,Pinnacle Cup III
23/3/22,Movistar Riders (16),GODSENT (12),mrg  Mirage,ESL Pro League Season 15
23/3/22,Movistar Riders (11),GODSENT (16),anc  Ancient,ESL Pro League Season 15
23/3/22,GODSENT (6),Movistar Riders (16),nuke  Nuke,ESL Pro League Season 15
23/3/22,KOVA (4),777 (16),ovp  Overpass,Elisa Invitational Spring 2022 Contenders
23/3/22,777 (16),KOVA (11),nuke  Nuke,Elisa Invitational Spring 2022 Contenders
23/3/22,GamerLegion (16),MAD Lions (10),ovp  Overpass,Pinnacle Cup III
23/3/22,MAD Lions (11),GamerLegion (16),mrg  Mirage,Pinnacle Cup III
23/3/22,GamerLegion (13),MAD Lions (16),anc  Ancient,Pinnacle Cup III
23/3/22,Party Astronauts (6),Players (16),anc  Ancient,ESL Pro League Season 15
23/3/22,Players (16),Party Astronauts (4),inf  Inferno,ESL Pro League Season 15
23/3/22,Rare Atom (16),DHLG (3),mrg  Mirage,Perfect World Arena Premier League Season 1
23/3/22,DHLG (2),Rare Atom (16),nuke  Nuke,Perfect World Arena Premier League Season 1
23/3/22,PoP (16),Bandits (13),d2  Dust2,LPL Pro League Season 10
23/3/22,Bandits (9),PoP (16),vtg  Vertigo,LPL Pro League Season 10
23/3/22,PoP (10),Bandits (16),inf  Inferno,LPL Pro League Season 10
23/3/22,KOVA (15),Tricked (19),ovp  Overpass,Pinnacle Cup III
23/3/22,Tricked (16),KOVA (7),nuke  Nuke,Pinnacle Cup III
23/3/22,ECSTATIC (25),Entropiq (22),nuke  Nuke,Thunderpick Bitcoin Series 1
23/3/22,Entropiq (9),ECSTATIC (16),vtg  Vertigo,Thunderpick Bitcoin Series 1
