Date,Team1,Team2,Map,Event
15/6/22,Tricked (13),Finest (16),mrg  Mirage,Elisa Invitational Spring 2022
15/6/22,Finest (16),Tricked (11),ovp  Overpass,Elisa Invitational Spring 2022
15/6/22,FTW (9),Iron Branch (16),d2  Dust2,ESEA Advanced Season 41 Europe
15/6/22,OG (16),Natus Vincere (13),anc  Ancient,BLAST Premier Spring Final 2022
15/6/22,OG (16),Natus Vincere (12),mrg  Mirage,BLAST Premier Spring Final 2022
15/6/22,Natus Vincere (16),OG (7),inf  Inferno,BLAST Premier Spring Final 2022
15/6/22,ex-MAD Lions (14),Enterprise (16),anc  Ancient,Elisa Invitational Spring 2022
15/6/22,Enterprise (16),ex-MAD Lions (11),mrg  Mirage,Elisa Invitational Spring 2022
15/6/22,G2 (16),Vitality (9),mrg  Mirage,BLAST Premier Spring Final 2022
15/6/22,Vitality (8),G2 (16),inf  Inferno,BLAST Premier Spring Final 2022
15/6/22,G2 (10),Vitality (16),d2  Dust2,BLAST Premier Spring Final 2022
15/6/22,paiN (6),FaZe (16),inf  Inferno,BLAST Premier Spring Final 2022
15/6/22,FaZe (16),paiN (7),anc  Ancient,BLAST Premier Spring Final 2022
14/6/22,BLUEJAYS (14),Apeks (16),inf  Inferno,Elisa Invitational Spring 2022
14/6/22,Apeks (16),BLUEJAYS (9),d2  Dust2,Elisa Invitational Spring 2022
14/6/22,SINNERS (16),KOVA (6),anc  Ancient,Elisa Invitational Spring 2022
14/6/22,KOVA (11),SINNERS (16),ovp  Overpass,Elisa Invitational Spring 2022
13/6/22,EC Kyiv (16),AGO (12),vtg  Vertigo,Elisa Invitational Spring 2022
13/6/22,AGO (10),EC Kyiv (16),d2  Dust2,Elisa Invitational Spring 2022
13/6/22,EC Kyiv (10),AGO (16),anc  Ancient,Elisa Invitational Spring 2022
13/6/22,777 (14),MASONIC (16),nuke  Nuke,Elisa Invitational Spring 2022
13/6/22,MASONIC (16),777 (5),ovp  Overpass,Elisa Invitational Spring 2022
13/6/22,Doing Fun (16),ATK (19),vtg  Vertigo,ESEA Summer 2022 Cash Cup 1 North America
13/6/22,ATK (16),Doing Fun (5),inf  Inferno,ESEA Summer 2022 Cash Cup 1 North America
12/6/22,Doing Fun (16),BHOP (8),inf  Inferno,ESEA Summer 2022 Cash Cup 1 North America
12/6/22,BHOP (12),Doing Fun (16),ovp  Overpass,ESEA Summer 2022 Cash Cup 1 North America
12/6/22,Brazen (6),ATK (16),ovp  Overpass,ESEA Summer 2022 Cash Cup 1 North America
12/6/22,ATK (16),Brazen (2),inf  Inferno,ESEA Summer 2022 Cash Cup 1 North America
12/6/22,Little Socks (4),CLG Red (16),mrg  Mirage,ESL Impact Spring 2022 Cash Cup 6 North America
12/6/22,CLG Red (16),Little Socks (4),ovp  Overpass,ESL Impact Spring 2022 Cash Cup 6 North America
12/6/22,Iron Branch (16),INDE IRAE (4),vtg  Vertigo,ESEA Spring 2022 Cash Cup 6 Europe
12/6/22,INDE IRAE (14),Iron Branch (16),inf  Inferno,ESEA Spring 2022 Cash Cup 6 Europe
12/6/22,NSC (8),NAVI Javelins (16),nuke  Nuke,ESL Impact Spring 2022 Cash Cup 6 Europe
12/6/22,NAVI Javelins (16),NSC (14),inf  Inferno,ESL Impact Spring 2022 Cash Cup 6 Europe
12/6/22,ECSTATIC (16),Bad News Eagles (8),nuke  Nuke,REPUBLEAGUE Season 3
12/6/22,Bad News Eagles (12),ECSTATIC (16),vtg  Vertigo,REPUBLEAGUE Season 3
12/6/22,ECSTATIC (15),Bad News Eagles (19),d2  Dust2,REPUBLEAGUE Season 3
12/6/22,Counter Nature (16),LGG Eclipse (5),inf  Inferno,Fragadelphia 17 North Brunswick
12/6/22,LGG Eclipse (14),Counter Nature (16),d2  Dust2,Fragadelphia 17 North Brunswick
12/6/22,Smile (7),Cookie Clowns (16),inf  Inferno,Fragadelphia 17 North Brunswick
12/6/22,Cookie Clowns (16),Smile (5),anc  Ancient,Fragadelphia 17 North Brunswick
12/6/22,los kogutos (16),M1 (11),d2  Dust2,Polish Pro League AMA PRO Season 2
12/6/22,M1 (7),los kogutos (16),anc  Ancient,Polish Pro League AMA PRO Season 2
12/6/22,FURIA Academy (16),Astralis Talent (6),vtg  Vertigo,WePlay Academy League Season 4
12/6/22,Astralis Talent (12),FURIA Academy (16),ovp  Overpass,WePlay Academy League Season 4
12/6/22,BLUEJAYS (16),iNation (11),vtg  Vertigo,Doritos Balkan League 2022
12/6/22,BLUEJAYS (14),iNation (16),anc  Ancient,Doritos Balkan League 2022
12/6/22,iNation (2),BLUEJAYS (16),d2  Dust2,Doritos Balkan League 2022
12/6/22,BLUEJAYS (13),iNation (16),inf  Inferno,Doritos Balkan League 2022
12/6/22,iNation (13),BLUEJAYS (16),mrg  Mirage,Doritos Balkan League 2022
