Date,Team1,Team2,Map,Event
5/10/22,Aurora (10),GamerLegion (16),anc  Ancient,IEM Road to Rio 2022 Europe RMR A
5/10/22,Eternal Fire (9),Astralis (16),inf  Inferno,IEM Road to Rio 2022 Europe RMR A
5/10/22,Elemental (12),Warriors (16),mrg  Mirage,LPL Pro League Season 11
5/10/22,Warriors (16),Elemental (5),d2  Dust2,LPL Pro League Season 11
5/10/22,Imperial (16),Isurus (2),ovp  Overpass,IEM Road to Rio 2022 Americas RMR
5/10/22,FURIA (16),Infinity (2),anc  Ancient,IEM Road to Rio 2022 Americas RMR
5/10/22,FORZE (14),1WIN (16),nuke  Nuke,IEM Road to Rio 2022 Europe RMR A
5/10/22,B8 (19),ECSTATIC (16),nuke  Nuke,IEM Road to Rio 2022 Europe RMR A
5/10/22,yellow (25),CAMO (21),inf  Inferno,LPL Pro League Season 11
5/10/22,CAMO (8),yellow (16),d2  Dust2,LPL Pro League Season 11
5/10/22,Villainous (16),Snakes Den (5),nuke  Nuke,ESEA Advanced Season 42 North America
5/10/22,Snakes Den (14),Villainous (16),anc  Ancient,ESEA Advanced Season 42 North America
4/10/22,Natus Vincere (16),Illuminar (5),d2  Dust2,IEM Road to Rio 2022 Europe RMR B
4/10/22,BIG (16),Sangal (3),mrg  Mirage,IEM Road to Rio 2022 Europe RMR B
4/10/22,MOUZ (16),OG (10),vtg  Vertigo,IEM Road to Rio 2022 Europe RMR B
4/10/22,ENCE (16),HEET (8),nuke  Nuke,IEM Road to Rio 2022 Europe RMR B
4/10/22,Heroic (16),SAW (5),nuke  Nuke,IEM Road to Rio 2022 Europe RMR B
4/10/22,Falcons (16),K23 (9),d2  Dust2,IEM Road to Rio 2022 Europe RMR B
4/10/22,Vitality (16),FANTASY (6),d2  Dust2,IEM Road to Rio 2022 Europe RMR B
4/10/22,Outsiders (16),Monte (9),d2  Dust2,IEM Road to Rio 2022 Europe RMR B
4/10/22,Ninjas in Pyjamas (16),Astralis (12),nuke  Nuke,IEM Road to Rio 2022 Europe RMR A
4/10/22,fnatic (16),Aurora (4),ovp  Overpass,IEM Road to Rio 2022 Europe RMR A
4/10/22,Spirit (16),1WIN (9),nuke  Nuke,IEM Road to Rio 2022 Europe RMR A
4/10/22,FaZe (28),GamerLegion (25),mrg  Mirage,IEM Road to Rio 2022 Europe RMR A
4/10/22,Elemental (5),DGG (16),inf  Inferno,LPL Pro League Season 11
4/10/22,DGG (16),Elemental (6),vtg  Vertigo,LPL Pro League Season 11
4/10/22,B8 (6),Cloud9 (16),anc  Ancient,IEM Road to Rio 2022 Europe RMR A
4/10/22,G2 (16),ECSTATIC (0),anc  Ancient,IEM Road to Rio 2022 Europe RMR A
4/10/22,Bad News Eagles (16),Eternal Fire (14),d2  Dust2,IEM Road to Rio 2022 Europe RMR A
4/10/22,Sprout (19),FORZE (17),inf  Inferno,IEM Road to Rio 2022 Europe RMR A
4/10/22,Antic (16),Warriors (7),d2  Dust2,LPL Pro League Season 11
4/10/22,Antic (14),Warriors (16),mrg  Mirage,LPL Pro League Season 11
4/10/22,Warriors (2),Antic (16),ovp  Overpass,LPL Pro League Season 11
3/10/22,TTC (16),SNOGARD Dragons (4),mrg  Mirage,Fragster League Season 2
3/10/22,SNOGARD Dragons (5),TTC (16),nuke  Nuke,Fragster League Season 2
3/10/22,fnatic Rising (14),Aurora (16),anc  Ancient,ESEA Advanced Season 42 Europe
3/10/22,Aurora (16),fnatic Rising (13),vtg  Vertigo,ESEA Advanced Season 42 Europe
3/10/22,fnatic Rising (16),Aurora (9),mrg  Mirage,ESEA Advanced Season 42 Europe
3/10/22,Party Daddlers (12),SNOGARD Dragons (16),mrg  Mirage,Fragster League Season 2
3/10/22,SNOGARD Dragons (9),Party Daddlers (16),inf  Inferno,Fragster League Season 2
3/10/22,BHOP (14),Sojoga (16),inf  Inferno,CCT North America Series 1
3/10/22,BHOP (14),Sojoga (16),d2  Dust2,CCT North America Series 1
3/10/22,Sojoga (11),BHOP (16),anc  Ancient,CCT North America Series 1
2/10/22,WetKillers (16),DUELISTS (6),vtg  Vertigo,NITRO Cup 2022
2/10/22,DUELISTS (16),WetKillers (12),nuke  Nuke,NITRO Cup 2022
2/10/22,DUELISTS (11),WetKillers (16),d2  Dust2,NITRO Cup 2022
2/10/22,Young Ninjas (14),TITANS (16),mrg  Mirage,CCT North Europe Series 1 Closed Qualifier
2/10/22,TITANS (16),Young Ninjas (12),ovp  Overpass,CCT North Europe Series 1 Closed Qualifier
2/10/22,NeedDOCTOR (16),Illyrians (14),inf  Inferno,CCT South Europe Series 1 Closed Qualifier
2/10/22,Illyrians (9),NeedDOCTOR (16),ovp  Overpass,CCT South Europe Series 1 Closed Qualifier
