Date,Team1,Team2,Map,Event
11/7/21,ENCE (16),Entropiq (11),ovp  Overpass,Pinnacle Cup II
11/7/21,Entropiq (15),ENCE (19),inf  Inferno,Pinnacle Cup II
11/7/21,OFFSET (4),Movistar Riders (16),ovp  Overpass,RTP Arena Cup 2021 - BLAST Premier Qualifier
11/7/21,Movistar Riders (16),OFFSET (5),anc  Ancient,RTP Arena Cup 2021 - BLAST Premier Qualifier
11/7/21,EC Kyiv (16),Sharks (11),mrg  Mirage,Domination League Season 2
11/7/21,Sharks (16),EC Kyiv (12),d2  Dust2,Domination League Season 2
11/7/21,EC Kyiv (16),Sharks (14),vtg  Vertigo,Domination League Season 2
11/7/21,FURIA (10),Heroic (16),nuke  Nuke,IEM Cologne 2021
11/7/21,Heroic (19),FURIA (17),anc  Ancient,IEM Cologne 2021
11/7/21,FaZe (16),Vitality (14),d2  Dust2,IEM Cologne 2021
11/7/21,Vitality (11),FaZe (16),mrg  Mirage,IEM Cologne 2021
11/7/21,MOUZ NXT (16),Young Ninjas (10),inf  Inferno,Pinnacle Cup II
11/7/21,MOUZ NXT (16),Young Ninjas (7),mrg  Mirage,Pinnacle Cup II
11/7/21,HAVU (7),SKADE (16),ovp  Overpass,Pinnacle Cup II
11/7/21,SKADE (16),HAVU (13),d2  Dust2,Pinnacle Cup II
11/7/21,Stone (16),Furious (13),nuke  Nuke,Redragon Latam Series 2021 Season 1 Southern Cone
11/7/21,Furious (5),Stone (16),vtg  Vertigo,Redragon Latam Series 2021 Season 1 Southern Cone
11/7/21,Verum (16),X13 (10),anc  Ancient,ESEA Advanced Season 37 North America
11/7/21,X13 (11),Verum (16),vtg  Vertigo,ESEA Advanced Season 37 North America
11/7/21,Boca Juniors (12),Isurus (16),mrg  Mirage,La Liga Pro DIRECTV 2021 Apertura South
11/7/21,Durany (14),River Plate (16),nuke  Nuke,Redragon Latam Series 2021 Season 1 Southern Cone
11/7/21,River Plate (16),Durany (3),d2  Dust2,Redragon Latam Series 2021 Season 1 Southern Cone
11/7/21,River Plate (14),Durany (16),inf  Inferno,Redragon Latam Series 2021 Season 1 Southern Cone
11/7/21,New Pampas (16),Coscu Army (13),ovp  Overpass,La Liga Pro DIRECTV 2021 Apertura South
10/7/21,River Plate (16),Meta Academy (12),nuke  Nuke,La Liga Pro DIRECTV 2021 Apertura South
10/7/21,Astralis (16),Heroic (12),ovp  Overpass,IEM Cologne 2021
10/7/21,Heroic (11),Astralis (16),inf  Inferno,IEM Cologne 2021
10/7/21,Enterprise (11),DBL PONEY (16),vtg  Vertigo,ESEA Advanced Season 37 Europe
10/7/21,DBL PONEY (16),Enterprise (11),ovp  Overpass,ESEA Advanced Season 37 Europe
10/7/21,Young Ninjas (16),KOVA (9),ovp  Overpass,Domination League Season 2
10/7/21,Young Ninjas (14),KOVA (16),nuke  Nuke,Domination League Season 2
10/7/21,KOVA (11),Young Ninjas (16),mrg  Mirage,Domination League Season 2
10/7/21,Ninjas in Pyjamas (11),Virtus.pro (16),inf  Inferno,IEM Cologne 2021
10/7/21,Virtus.pro (16),Ninjas in Pyjamas (9),anc  Ancient,IEM Cologne 2021
10/7/21,Izako Boars (16),Illuminar (4),vtg  Vertigo,PGE Polish Esports League Supercup 2021
10/7/21,Izako Boars (14),Illuminar (16),nuke  Nuke,PGE Polish Esports League Supercup 2021
10/7/21,Illuminar (4),Izako Boars (16),d2  Dust2,PGE Polish Esports League Supercup 2021
10/7/21,Iberian Family (10),OFFSET (16),nuke  Nuke,RTP Arena Cup 2021 - BLAST Premier Qualifier
10/7/21,OFFSET (3),Iberian Family (16),vtg  Vertigo,RTP Arena Cup 2021 - BLAST Premier Qualifier
10/7/21,Iberian Family (14),OFFSET (16),d2  Dust2,RTP Arena Cup 2021 - BLAST Premier Qualifier
10/7/21,Vitality (10),Natus Vincere (16),mrg  Mirage,IEM Cologne 2021
10/7/21,Vitality (5),Natus Vincere (16),nuke  Nuke,IEM Cologne 2021
10/7/21,Natus Vincere (14),Vitality (16),ovp  Overpass,IEM Cologne 2021
10/7/21,Sharks (16),Ambush (13),inf  Inferno,Domination League Season 2
10/7/21,Ambush (8),Sharks (16),anc  Ancient,Domination League Season 2
10/7/21,BIG (16),Liquid (13),nuke  Nuke,IEM Cologne 2021
10/7/21,BIG (16),Liquid (11),vtg  Vertigo,IEM Cologne 2021
10/7/21,Lyngby Vikings (14),MIBR (16),vtg  Vertigo,Pinnacle Cup II
10/7/21,MIBR (17),Lyngby Vikings (19),inf  Inferno,Pinnacle Cup II
10/7/21,Lyngby Vikings (11),MIBR (16),mrg  Mirage,Pinnacle Cup II
