Date,Team1,Team2,Map,Event
23/10/22,FURIA fe (16),MIBR fe (7),mrg  Mirage,ESL Impact League Season 2 South America
23/10/22,MIBR fe (7),FURIA fe (16),nuke  Nuke,ESL Impact League Season 2 South America
23/10/22,FURIA fe (14),MIBR fe (16),d2  Dust2,ESL Impact League Season 2 South America
23/10/22,MIBR (13),Fluxo (16),nuke  Nuke,BLAST Premier Fall Showdown 2022 Americas
23/10/22,Fluxo (5),MIBR (16),vtg  Vertigo,BLAST Premier Fall Showdown 2022 Americas
23/10/22,MIBR (12),Fluxo (16),d2  Dust2,BLAST Premier Fall Showdown 2022 Americas
23/10/22,Daotsu (13),ARCTIC (16),anc  Ancient,CBCS Elite League 2022 Season 2
23/10/22,ARCTIC (16),Daotsu (7),inf  Inferno,CBCS Elite League 2022 Season 2
23/10/22,SWS (14),Meta (16),anc  Ancient,CBCS Elite League 2022 Season 2
23/10/22,Meta (16),SWS (13),vtg  Vertigo,CBCS Elite League 2022 Season 2
23/10/22,SWS (16),Meta (9),mrg  Mirage,CBCS Elite League 2022 Season 2
23/10/22,NAVI Javelins (13),NOFEAR5 (16),mrg  Mirage,ESL Impact League Season 2 Europe
23/10/22,NOFEAR5 (16),NAVI Javelins (10),vtg  Vertigo,ESL Impact League Season 2 Europe
23/10/22,NAVI Javelins (16),NOFEAR5 (8),d2  Dust2,ESL Impact League Season 2 Europe
23/10/22,Astralis (10),Heroic (16),nuke  Nuke,BLAST Premier Fall Showdown 2022 Europe
23/10/22,Heroic (22),Astralis (20),anc  Ancient,BLAST Premier Fall Showdown 2022 Europe
23/10/22,Isurus (16),WINDINGO (14),ovp  Overpass,Aorus League 2022 Season 3
23/10/22,WINDINGO (16),Isurus (14),d2  Dust2,Aorus League 2022 Season 3
23/10/22,Isurus (16),WINDINGO (7),anc  Ancient,Aorus League 2022 Season 3
23/10/22,BLUEJAYS (8),9INE (16),ovp  Overpass,ESL Challenger League Season 42 Europe
23/10/22,9INE (16),BLUEJAYS (14),d2  Dust2,ESL Challenger League Season 42 Europe
23/10/22,BLUEJAYS (6),9INE (16),vtg  Vertigo,ESL Challenger League Season 42 Europe
23/10/22,9INE (17),BLUEJAYS (19),mrg  Mirage,ESL Challenger League Season 42 Europe
23/10/22,AGO (16),SINNERS (7),mrg  Mirage,CCT Central Europe Series 3
23/10/22,AGO (10),SINNERS (16),ovp  Overpass,CCT Central Europe Series 3
23/10/22,SINNERS (14),AGO (16),anc  Ancient,CCT Central Europe Series 3
23/10/22,IKLA (16),ECLOT (12),vtg  Vertigo,CCT North Europe Series 1
23/10/22,IKLA (9),ECLOT (16),inf  Inferno,CCT North Europe Series 1
23/10/22,ECLOT (5),IKLA (16),mrg  Mirage,CCT North Europe Series 1
23/10/22,IKLA (16),HONORIS (12),anc  Ancient,CCT Central Europe Series 3
23/10/22,HONORIS (9),IKLA (16),d2  Dust2,CCT Central Europe Series 3
23/10/22,Tricked (16),PROSPECTS (13),inf  Inferno,CCT North Europe Series 1
23/10/22,PROSPECTS (7),Tricked (16),vtg  Vertigo,CCT North Europe Series 1
23/10/22,Aloha (16),GamePub (5),d2  Dust2,Vibe Factory Novi Sad 2022
23/10/22,GamePub (4),Aloha (16),inf  Inferno,Vibe Factory Novi Sad 2022
23/10/22,SAW (14),1WIN (16),vtg  Vertigo,CCT North Europe Series 1
23/10/22,1WIN (16),SAW (4),nuke  Nuke,CCT North Europe Series 1
23/10/22,IHC (12),Lynn Vision (16),d2  Dust2,ESL Challenger League Season 42 Asia-Pacific
23/10/22,Lynn Vision (12),IHC (16),inf  Inferno,ESL Challenger League Season 42 Asia-Pacific
23/10/22,IHC (15),Lynn Vision (19),anc  Ancient,ESL Challenger League Season 42 Asia-Pacific
23/10/22,Young Ninjas (16),9INE (14),vtg  Vertigo,CCT Central Europe Series 3
23/10/22,9INE (16),Young Ninjas (7),nuke  Nuke,CCT Central Europe Series 3
23/10/22,Young Ninjas (16),9INE (13),d2  Dust2,CCT Central Europe Series 3
23/10/22,Entropiq (16),Copenhagen Flames (14),vtg  Vertigo,CCT North Europe Series 1
23/10/22,Entropiq (25),Copenhagen Flames (28),anc  Ancient,CCT North Europe Series 1
23/10/22,Copenhagen Flames (7),Entropiq (16),d2  Dust2,CCT North Europe Series 1
23/10/22,Tricked (16),ECLOT (7),anc  Ancient,CCT Central Europe Series 3
23/10/22,Tricked (16),ECLOT (9),inf  Inferno,CCT Central Europe Series 3
23/10/22,ECLOT (16),Tricked (6),ovp  Overpass,CCT Central Europe Series 3
23/10/22,Valkyries fe (9),EG Gold (16),d2  Dust2,ESL Impact League Season 2 North America
