Date,Team1,Team2,Map,Event
4/12/22,Spain (7),BIG Academy (16),d2  Dust2,IESF World Championship 2022 Play-In
4/12/22,BIG Academy (16),Spain (13),ovp  Overpass,IESF World Championship 2022 Play-In
4/12/22,Spain (16),BIG Academy (9),inf  Inferno,IESF World Championship 2022 Play-In
4/12/22,Netherlands (12),Norway (16),nuke  Nuke,IESF World Championship 2022 Play-In
4/12/22,Norway (14),Netherlands (16),vtg  Vertigo,IESF World Championship 2022 Play-In
4/12/22,Netherlands (11),Norway (16),mrg  Mirage,IESF World Championship 2022 Play-In
4/12/22,Austria (9),IESF (16),nuke  Nuke,IESF World Championship 2022 Play-In
4/12/22,IESF (16),Austria (5),ovp  Overpass,IESF World Championship 2022 Play-In
4/12/22,Wales (2),Bulgaria (16),mrg  Mirage,IESF World Championship 2022 Play-In
4/12/22,Bulgaria (16),Wales (2),ovp  Overpass,IESF World Championship 2022 Play-In
4/12/22,Orion (6),Villainous (16),nuke  Nuke,CCT North America Series 2
4/12/22,Orion (22),Villainous (19),mrg  Mirage,CCT North America Series 2
4/12/22,Villainous (16),Orion (13),inf  Inferno,CCT North America Series 2
4/12/22,paiN (16),00NATION (2),inf  Inferno,CBCS Invitational 2022
4/12/22,00NATION (17),paiN (19),nuke  Nuke,CBCS Invitational 2022
4/12/22,Take Charge (14),Eclipse (16),anc  Ancient,CCT North America Series 2
4/12/22,Take Charge (8),Eclipse (16),mrg  Mirage,CCT North America Series 2
4/12/22,Eclipse (8),Take Charge (16),ovp  Overpass,CCT North America Series 2
3/12/22,PROSPECTS (16),EYEBALLERS (14),mrg  Mirage,Thunderpick Bitcoin Series 2
3/12/22,FTW (12),SAW (16),inf  Inferno,Master League Portugal X Finals
3/12/22,SAW (9),FTW (16),d2  Dust2,Master League Portugal X Finals
3/12/22,FTW (13),SAW (16),ovp  Overpass,Master League Portugal X Finals
3/12/22,Falcons (16),Permitta (10),nuke  Nuke,Thunderpick Bitcoin Series 2
3/12/22,Tricked (16),ECLOT (14),anc  Ancient,Epic GOCL Season 2
3/12/22,ECLOT (13),Tricked (16),ovp  Overpass,Epic GOCL Season 2
3/12/22,Tricked (8),ECLOT (16),mrg  Mirage,Epic GOCL Season 2
3/12/22,Rombus (4),MASONIC (16),inf  Inferno,Energive Cup 2022
3/12/22,MASONIC (16),Rombus (4),anc  Ancient,Energive Cup 2022
3/12/22,Route8 (19),Catchii (17),ovp  Overpass,Road to Astralis Nexus 3
3/12/22,Catchii (16),Route8 (14),vtg  Vertigo,Road to Astralis Nexus 3
3/12/22,Route8 (16),Catchii (11),nuke  Nuke,Road to Astralis Nexus 3
3/12/22,ALTERNATE aTTaX (2),ECLOT (16),anc  Ancient,Thunderpick Bitcoin Series 2
3/12/22,UNGENTIUM (7),Illuminar (16),vtg  Vertigo,Polish Esport League Autumn 2022 Finals
3/12/22,Illuminar (16),UNGENTIUM (13),d2  Dust2,Polish Esport League Autumn 2022 Finals
3/12/22,UNGENTIUM (14),Illuminar (16),nuke  Nuke,Polish Esport League Autumn 2022 Finals
3/12/22,Endpoint (16),Into the Breach (11),mrg  Mirage,ESL Premiership Autumn 2022
3/12/22,Endpoint (13),Into the Breach (16),nuke  Nuke,ESL Premiership Autumn 2022
3/12/22,Into the Breach (9),Endpoint (16),anc  Ancient,ESL Premiership Autumn 2022
3/12/22,MASONIC (16),Nexus (10),nuke  Nuke,Thunderpick Bitcoin Series 2
3/12/22,Eternal Fire (16),The Chosen Few (4),d2  Dust2,ESL Turkey Championship Season 11
3/12/22,The Chosen Few (12),Eternal Fire (16),nuke  Nuke,ESL Turkey Championship Season 11
3/12/22,K23 (17),163ON (19),mrg  Mirage,PARI After Rio LAN 2022
3/12/22,K23 (16),163ON (11),anc  Ancient,PARI After Rio LAN 2022
3/12/22,163ON (22),K23 (19),inf  Inferno,PARI After Rio LAN 2022
3/12/22,Prosapia (16),ECSTATIC (19),vtg  Vertigo,Energive Cup 2022
3/12/22,ECSTATIC (16),Prosapia (9),ovp  Overpass,Energive Cup 2022
3/12/22,VELOX (16),GTZ (12),nuke  Nuke,Master League Portugal X Finals
3/12/22,VELOX (16),GTZ (6),inf  Inferno,Master League Portugal X Finals
3/12/22,Invictus International (16),Endpoint (9),nuke  Nuke,Thunderpick Bitcoin Series 2
3/12/22,ex-Finest (16),ESTOWNIA (6),anc  Ancient,CCT Central Europe Series 4
