Date,Team1,Team2,Map,Event
19/5/22,Los Reyes (12),PALOMA (16),anc  Ancient,ESL Challenger Valencia 2022 Europe Open Qualifier 1
19/5/22,Sprout (16),Anonymo (11),anc  Ancient,ESL Challenger Valencia 2022 Europe Open Qualifier 1
19/5/22,INDE IRAE (10),K23 (16),mrg  Mirage,ESL Challenger Valencia 2022 Europe Open Qualifier 1
19/5/22,FURIA (8),Spirit (16),anc  Ancient,PGL Major Antwerp 2022
19/5/22,FURIA (12),Spirit (16),vtg  Vertigo,PGL Major Antwerp 2022
19/5/22,Ninjas in Pyjamas (8),FaZe (16),inf  Inferno,PGL Major Antwerp 2022
19/5/22,FaZe (13),Ninjas in Pyjamas (16),ovp  Overpass,PGL Major Antwerp 2022
19/5/22,Ninjas in Pyjamas (10),FaZe (16),nuke  Nuke,PGL Major Antwerp 2022
19/5/22,CatEvil (19),NEXGA (17),d2  Dust2,ESL Challenger Valencia 2022 Asia Open Qualifier 1
19/5/22,NKT (12),Lynn Vision (16),nuke  Nuke,ESL Challenger Valencia 2022 Asia Open Qualifier 1
19/5/22,NSN (16),Wings Up (13),anc  Ancient,ESL Challenger Valencia 2022 Asia Open Qualifier 1
19/5/22,The Shine (8),YK (16),vtg  Vertigo,ESL Challenger Valencia 2022 Asia Open Qualifier 1
19/5/22,GODSENT (16),ATK (10),anc  Ancient,ESL Challenger League Season 41 North America
19/5/22,ATK (16),GODSENT (14),inf  Inferno,ESL Challenger League Season 41 North America
19/5/22,GODSENT (16),ATK (12),mrg  Mirage,ESL Challenger League Season 41 North America
19/5/22,Gaimin Gladiators (16),paiN (10),d2  Dust2,ESL Challenger League Season 41 North America
19/5/22,paiN (13),Gaimin Gladiators (16),inf  Inferno,ESL Challenger League Season 41 North America
18/5/22,Falcons (16),AGO (9),vtg  Vertigo,ESL Challenger League Season 41 Europe
18/5/22,AGO (10),Falcons (16),nuke  Nuke,ESL Challenger League Season 41 Europe
18/5/22,ATK (12),paiN (16),vtg  Vertigo,ESL Challenger League Season 41 North America
18/5/22,paiN (16),ATK (3),inf  Inferno,ESL Challenger League Season 41 North America
17/5/22,Imperial (18),Copenhagen Flames (22),vtg  Vertigo,PGL Major Antwerp 2022
17/5/22,Copenhagen Flames (16),Imperial (2),inf  Inferno,PGL Major Antwerp 2022
17/5/22,AGO (16),SAW (13),vtg  Vertigo,ESL Challenger League Season 41 Europe
17/5/22,SAW (10),AGO (16),anc  Ancient,ESL Challenger League Season 41 Europe
17/5/22,AGO (11),SAW (16),nuke  Nuke,ESL Challenger League Season 41 Europe
17/5/22,G2 (11),FURIA (16),anc  Ancient,PGL Major Antwerp 2022
17/5/22,FURIA (14),G2 (16),inf  Inferno,PGL Major Antwerp 2022
17/5/22,G2 (12),FURIA (16),vtg  Vertigo,PGL Major Antwerp 2022
17/5/22,Heroic (16),Vitality (12),inf  Inferno,PGL Major Antwerp 2022
17/5/22,Vitality (16),Heroic (14),ovp  Overpass,PGL Major Antwerp 2022
17/5/22,Heroic (16),Vitality (7),mrg  Mirage,PGL Major Antwerp 2022
16/5/22,Imperial (16),Cloud9 (3),mrg  Mirage,PGL Major Antwerp 2022
16/5/22,Imperial (9),Cloud9 (16),vtg  Vertigo,PGL Major Antwerp 2022
16/5/22,Cloud9 (23),Imperial (25),ovp  Overpass,PGL Major Antwerp 2022
16/5/22,ENCE (16),Heroic (6),nuke  Nuke,PGL Major Antwerp 2022
16/5/22,Heroic (12),ENCE (16),mrg  Mirage,PGL Major Antwerp 2022
16/5/22,ENCE (14),Heroic (16),ovp  Overpass,PGL Major Antwerp 2022
16/5/22,G2 (16),Outsiders (11),d2  Dust2,PGL Major Antwerp 2022
16/5/22,Outsiders (16),G2 (10),vtg  Vertigo,PGL Major Antwerp 2022
16/5/22,G2 (16),Outsiders (10),inf  Inferno,PGL Major Antwerp 2022
16/5/22,FURIA (10),Ninjas in Pyjamas (16),inf  Inferno,PGL Major Antwerp 2022
16/5/22,Ninjas in Pyjamas (16),FURIA (2),nuke  Nuke,PGL Major Antwerp 2022
16/5/22,BIG (17),Vitality (19),nuke  Nuke,PGL Major Antwerp 2022
16/5/22,Vitality (19),BIG (22),vtg  Vertigo,PGL Major Antwerp 2022
16/5/22,BIG (9),Vitality (16),mrg  Mirage,PGL Major Antwerp 2022
16/5/22,Copenhagen Flames (6),FaZe (16),nuke  Nuke,PGL Major Antwerp 2022
16/5/22,FaZe (16),Copenhagen Flames (13),anc  Ancient,PGL Major Antwerp 2022
16/5/22,Copenhagen Flames (16),FaZe (13),inf  Inferno,PGL Major Antwerp 2022
16/5/22,ARCTIC (9),B4 (16),d2  Dust2,Liga Gamers Club 2022 Serie A April Cup
