Date,Team1,Team2,Map,Event
10/12/21,ex-Ceará (16),9z Academy (14),vtg  Vertigo,Nissei Arena Cup 2021
10/12/21,Los Grandes (14),Isurus (16),anc  Ancient,ESL Challenger Anaheim 2022 South America Closed Qualifier
10/12/21,Isurus (16),Los Grandes (13),inf  Inferno,ESL Challenger Anaheim 2022 South America Closed Qualifier
10/12/21,HellRaisers (14),PACT (16),vtg  Vertigo,ESEA Advanced Season 39 Europe
10/12/21,HellRaisers (9),PACT (16),nuke  Nuke,ESEA Advanced Season 39 Europe
10/12/21,PACT (13),HellRaisers (16),ovp  Overpass,ESEA Advanced Season 39 Europe
10/12/21,fnatic Rising (10),Entropiq Prague (16),nuke  Nuke,ESEA Advanced Season 39 Europe
10/12/21,Entropiq Prague (16),fnatic Rising (13),inf  Inferno,ESEA Advanced Season 39 Europe
10/12/21,KOVA (3),1shot (16),mrg  Mirage,ESEA Advanced Season 39 Europe
10/12/21,1shot (16),KOVA (11),nuke  Nuke,ESEA Advanced Season 39 Europe
10/12/21,Furious (6),Leviatan (16),mrg  Mirage,TDJ LATAM Supercup 2021
10/12/21,Leviatan (16),Furious (4),vtg  Vertigo,TDJ LATAM Supercup 2021
10/12/21,FURIA Academy (5),9z (16),d2  Dust2,BLAST Rising 2021 Latin America
10/12/21,FURIA Academy (16),9z (12),nuke  Nuke,BLAST Rising 2021 Latin America
10/12/21,9z (16),FURIA Academy (11),mrg  Mirage,BLAST Rising 2021 Latin America
10/12/21,BLUEJAYS (12),HONORIS (16),anc  Ancient,ESEA Advanced Season 39 Europe
10/12/21,HONORIS (6),BLUEJAYS (16),mrg  Mirage,ESEA Advanced Season 39 Europe
10/12/21,BLUEJAYS (17),HONORIS (19),vtg  Vertigo,ESEA Advanced Season 39 Europe
10/12/21,SWS (16),LSC (11),d2  Dust2,Nissei Arena Cup 2021
10/12/21,LSC (11),SWS (16),anc  Ancient,Nissei Arena Cup 2021
10/12/21,SWS (14),LSC (16),vtg  Vertigo,Nissei Arena Cup 2021
10/12/21,ORDER (16),Looking For Org (7),nuke  Nuke,ESL Challenger Anaheim 2022 Oceania Closed Qualifier
10/12/21,Looking For Org (13),ORDER (16),d2  Dust2,ESL Challenger Anaheim 2022 Oceania Closed Qualifier
10/12/21,VERTEX (12),ORDER (16),anc  Ancient,ESL Challenger Anaheim 2022 Oceania Closed Qualifier
10/12/21,VERTEX (16),ORDER (13),mrg  Mirage,ESL Challenger Anaheim 2022 Oceania Closed Qualifier
10/12/21,ORDER (22),VERTEX (19),ovp  Overpass,ESL Challenger Anaheim 2022 Oceania Closed Qualifier
10/12/21,YeniCherry (19),Levitate (17),nuke  Nuke,ESEA Advanced Season 39 North America
10/12/21,Levitate (13),YeniCherry (16),inf  Inferno,ESEA Advanced Season 39 North America
10/12/21,YeniCherry (9),Levitate (16),vtg  Vertigo,ESEA Advanced Season 39 North America
10/12/21,Coldest Riders (16),Davenport University (5),nuke  Nuke,ESEA Advanced Season 39 North America
10/12/21,Coldest Riders (10),Davenport University (16),ovp  Overpass,ESEA Advanced Season 39 North America
10/12/21,Davenport University (12),Coldest Riders (16),anc  Ancient,ESEA Advanced Season 39 North America
10/12/21,Brazen (19),Touch Point (16),ovp  Overpass,ESEA Advanced Season 39 North America
10/12/21,Touch Point (11),Brazen (16),mrg  Mirage,ESEA Advanced Season 39 North America
10/12/21,Omega (8),Valors (16),d2  Dust2,ESEA Advanced Season 39 North America
10/12/21,Valors (16),Omega (7),mrg  Mirage,ESEA Advanced Season 39 North America
10/12/21,Los Grandes (16),Leviatan (14),ovp  Overpass,ESL Challenger Anaheim 2022 South America Closed Qualifier
10/12/21,Los Grandes (8),Leviatan (16),inf  Inferno,ESL Challenger Anaheim 2022 South America Closed Qualifier
10/12/21,Leviatan (10),Los Grandes (16),d2  Dust2,ESL Challenger Anaheim 2022 South America Closed Qualifier
10/12/21,Isurus (8),9z (16),nuke  Nuke,ESL Challenger Anaheim 2022 South America Closed Qualifier
10/12/21,9z (16),Isurus (10),anc  Ancient,ESL Challenger Anaheim 2022 South America Closed Qualifier
9/12/21,Imperial (11),River Plate (16),anc  Ancient,BLAST Rising 2021 Latin America
9/12/21,River Plate (16),Imperial (3),nuke  Nuke,BLAST Rising 2021 Latin America
9/12/21,Entropiq Prague (16),Run or Die (12),ovp  Overpass,ESEA Advanced Season 39 Europe
9/12/21,Run or Die (16),Entropiq Prague (14),nuke  Nuke,ESEA Advanced Season 39 Europe
9/12/21,Leviatan (9),Isurus (16),nuke  Nuke,ESL Challenger Anaheim 2022 South America Closed Qualifier
9/12/21,MAD Lions (13),BLUEJAYS (16),mrg  Mirage,ESEA Advanced Season 39 Europe
9/12/21,KOVA (31),Izako Boars (27),mrg  Mirage,ESEA Advanced Season 39 Europe
9/12/21,Tricked (16),1shot (14),nuke  Nuke,ESEA Advanced Season 39 Europe
9/12/21,HONORIS (17),Into the Breach (19),nuke  Nuke,ESEA Advanced Season 39 Europe
