Date,Team1,Team2,Map,Event
23/1/22,RIP Kobe (16),all aim no name (19),nuke  Nuke,Fragadelphia 16 Chicago
23/1/22,InControl (5),Alex Rider (16),mrg  Mirage,Fragadelphia 16 Chicago
23/1/22,Fourth Quarter (9),Kinship Black (16),anc  Ancient,Fragadelphia 16 Chicago
23/1/22,Fourth Quarter (9),Kinship Black (16),mrg  Mirage,Fragadelphia 16 Chicago
23/1/22,Kinship Black (12),Fourth Quarter (16),vtg  Vertigo,Fragadelphia 16 Chicago
23/1/22,Fragging for Jason (16),Omega (8),anc  Ancient,Fragadelphia 16 Chicago
23/1/22,Omega (11),Fragging for Jason (16),mrg  Mirage,Fragadelphia 16 Chicago
23/1/22,Fragging for Jason (13),Omega (16),vtg  Vertigo,Fragadelphia 16 Chicago
23/1/22,UNGENTIUM (13),K23 (16),d2  Dust2,Malta Vibes Knockout Series 5
23/1/22,K23 (16),UNGENTIUM (3),inf  Inferno,Malta Vibes Knockout Series 5
23/1/22,Gambit (16),BIG (10),d2  Dust2,Funspark ULTI 2021 Finals
23/1/22,BIG (5),Gambit (16),anc  Ancient,Funspark ULTI 2021 Finals
23/1/22,Copenhagen Flames (16),Young Ninjas (4),mrg  Mirage,Malta Vibes Knockout Series 5
23/1/22,Young Ninjas (7),Copenhagen Flames (16),d2  Dust2,Malta Vibes Knockout Series 5
23/1/22,ECSTATIC (17),Entropiq (19),anc  Ancient,Funspark ULTI 2021 Finals
23/1/22,Entropiq (6),ECSTATIC (16),vtg  Vertigo,Funspark ULTI 2021 Finals
23/1/22,ECSTATIC (11),Entropiq (16),ovp  Overpass,Funspark ULTI 2021 Finals
23/1/22,SINNERS (16),1shot (14),mrg  Mirage,Malta Vibes Knockout Series 5
23/1/22,SINNERS (14),1shot (16),nuke  Nuke,Malta Vibes Knockout Series 5
23/1/22,1shot (17),SINNERS (19),inf  Inferno,Malta Vibes Knockout Series 5
22/1/22,ATK (16),RBG (11),nuke  Nuke,Mythic Winter Series 2022 Cup 1
22/1/22,RBG (9),ATK (16),inf  Inferno,Mythic Winter Series 2022 Cup 1
22/1/22,ATK (11),RBG (16),ovp  Overpass,Mythic Winter Series 2022 Cup 1
22/1/22,Eros (12),Villainous (16),d2  Dust2,Mythic Winter Series 2022 Cup 1
22/1/22,Villainous (19),Eros (15),inf  Inferno,Mythic Winter Series 2022 Cup 1
22/1/22,RBG (16),X13 (13),ovp  Overpass,Mythic Winter Series 2022 Cup 1
22/1/22,Paying Myself (16),ATK (10),mrg  Mirage,Mythic Winter Series 2022 Cup 1
22/1/22,ChocoCheck (8),Villainous (16),mrg  Mirage,Mythic Winter Series 2022 Cup 1
22/1/22,Eros (9),Party Astronauts (16),nuke  Nuke,Mythic Winter Series 2022 Cup 1
22/1/22,Paying Myself (16),RBG (14),inf  Inferno,Mythic Winter Series 2022 Cup 1
22/1/22,Eros (16),ChocoCheck (10),mrg  Mirage,Mythic Winter Series 2022 Cup 1
22/1/22,X13 (7),ATK (16),inf  Inferno,Mythic Winter Series 2022 Cup 1
22/1/22,Party Astronauts (16),Villainous (6),d2  Dust2,Mythic Winter Series 2022 Cup 1
22/1/22,Wisla Krakow (16),777 (5),ovp  Overpass,Malta Vibes Knockout Series 5
22/1/22,Wisla Krakow (14),777 (16),anc  Ancient,Malta Vibes Knockout Series 5
22/1/22,777 (23),Wisla Krakow (25),mrg  Mirage,Malta Vibes Knockout Series 5
22/1/22,PACT (14),Los Reyes (16),anc  Ancient,Malta Vibes Knockout Series 5
22/1/22,Los Reyes (16),PACT (14),nuke  Nuke,Malta Vibes Knockout Series 5
22/1/22,Entropiq (16),Astralis (13),ovp  Overpass,Funspark ULTI 2021 Finals
22/1/22,Entropiq (16),Astralis (8),nuke  Nuke,Funspark ULTI 2021 Finals
22/1/22,Astralis (16),Entropiq (13),anc  Ancient,Funspark ULTI 2021 Finals
22/1/22,1shot (16),D13 (9),nuke  Nuke,Malta Vibes Knockout Series 5
22/1/22,D13 (10),1shot (16),mrg  Mirage,Malta Vibes Knockout Series 5
22/1/22,K23 (6),ECSTATIC (16),inf  Inferno,Funspark ULTI 2021 Finals
22/1/22,ECSTATIC (16),K23 (14),anc  Ancient,Funspark ULTI 2021 Finals
22/1/22,LPSP (7),Young Ninjas (16),inf  Inferno,Malta Vibes Knockout Series 5
22/1/22,LPSP (9),Young Ninjas (16),ovp  Overpass,Malta Vibes Knockout Series 5
22/1/22,Young Ninjas (10),LPSP (16),nuke  Nuke,Malta Vibes Knockout Series 5
21/1/22,ex-Coalesce (13),AVE (16),inf  Inferno,Malta Vibes Knockout Series 5
21/1/22,AVE (16),ex-Coalesce (12),nuke  Nuke,Malta Vibes Knockout Series 5
