Date,Team1,Team2,Map,Event
12/9/21,Redragon (13),MAXIMA (16),ovp  Overpass,IEM Fall 2021 South America Open Qualifier 2
12/9/21,DETONA (10),Cruzeiro (16),d2  Dust2,IEM Fall 2021 South America Open Qualifier 2
12/9/21,Paquetá (16),Leviatan (6),nuke  Nuke,FiReLEAGUE Latin Power Fall 2021 - BLAST Premier Qualifier
12/9/21,Coldest Riders (14),NA's Finest (16),d2  Dust2,Fragadelphia 15
12/9/21,Coldest Riders (16),NA's Finest (11),mrg  Mirage,Fragadelphia 15
12/9/21,NA's Finest (16),Coldest Riders (12),nuke  Nuke,Fragadelphia 15
12/9/21,Jaguares (16),Meta (9),inf  Inferno,IEM Fall 2021 South America Open Qualifier 2
12/9/21,Imperial (16),ozbonz (10),d2  Dust2,IEM Fall 2021 South America Open Qualifier 2
12/9/21,River Plate (13),9z (16),anc  Ancient,FiReLEAGUE Latin Power Fall 2021 - BLAST Premier Qualifier
12/9/21,DETONA (16),Rehl (13),ovp  Overpass,IEM Fall 2021 South America Open Qualifier 2
12/9/21,Cruzeiro (16),Ceará (6),mrg  Mirage,IEM Fall 2021 South America Open Qualifier 2
12/9/21,Black Dragons (7),Meta (16),mrg  Mirage,IEM Fall 2021 South America Open Qualifier 2
12/9/21,Stone (13),Jaguares (16),d2  Dust2,IEM Fall 2021 South America Open Qualifier 2
12/9/21,Imperial (16),Leviatan (9),nuke  Nuke,IEM Fall 2021 South America Open Qualifier 2
12/9/21,PR Stars (9),Redragon (16),mrg  Mirage,IEM Fall 2021 South America Open Qualifier 2
12/9/21,MAXIMA (16),Furious (7),inf  Inferno,IEM Fall 2021 South America Open Qualifier 2
12/9/21,SWS (8),ozbonz (16),mrg  Mirage,IEM Fall 2021 South America Open Qualifier 1
11/9/21,Party Astronauts (8),Bad News Bears (16),nuke  Nuke,Fragadelphia 15
11/9/21,Party Astronauts (13),Bad News Bears (16),inf  Inferno,Fragadelphia 15
11/9/21,AVE (16),2EASY (13),nuke  Nuke,IEM Fall 2021 CIS Open Qualifier 2
11/9/21,EC Kyiv (16),Devercy (12),d2  Dust2,IEM Fall 2021 CIS Open Qualifier 2
11/9/21,Paquetá (14),Liberty (16),d2  Dust2,FiReLEAGUE Latin Power Fall 2021 - BLAST Premier Qualifier
11/9/21,Trasko (16),MayBe (6),nuke  Nuke,IEM Fall 2021 CIS Open Qualifier 2
11/9/21,Third Impact (16),Levitate (8),mrg  Mirage,Fragadelphia 15
11/9/21,Levitate (13),Third Impact (16),ovp  Overpass,Fragadelphia 15
11/9/21,Third Impact (5),Levitate (16),vtg  Vertigo,Fragadelphia 15
11/9/21,Coldest Riders (16),Infinity Gauntlet (10),vtg  Vertigo,Fragadelphia 15
11/9/21,Infinity Gauntlet (14),Coldest Riders (16),nuke  Nuke,Fragadelphia 15
11/9/21,benched (16),The Incas (9),inf  Inferno,IEM Fall 2021 CIS Open Qualifier 2
11/9/21,BLUEJAYS (16),Eternal Fire (13),vtg  Vertigo,TWR Eastern European Masters Fall 2021 - BLAST Premier Qualifier
11/9/21,River Plate (16),Mad Kings (4),inf  Inferno,FiReLEAGUE Latin Power Fall 2021 - BLAST Premier Qualifier
11/9/21,Eternal Fire (13),Fiend (16),d2  Dust2,TWR Eastern European Masters Fall 2021 - BLAST Premier Qualifier
11/9/21,Bravos (22),9z (20),inf  Inferno,FiReLEAGUE Latin Power Fall 2021 - BLAST Premier Qualifier
11/9/21,NA's Finest (2),Party Astronauts (16),inf  Inferno,Fragadelphia 15
11/9/21,Party Astronauts (16),NA's Finest (10),d2  Dust2,Fragadelphia 15
11/9/21,Party Astronauts (8),NA's Finest (16),mrg  Mirage,Fragadelphia 15
11/9/21,YeniCherry (10),Infinity Gauntlet (16),nuke  Nuke,Fragadelphia 15
11/9/21,Infinity Gauntlet (16),YeniCherry (8),d2  Dust2,Fragadelphia 15
11/9/21,Big Chillin (12),Coldest Riders (16),d2  Dust2,Fragadelphia 15
11/9/21,Big Chillin (10),Coldest Riders (16),mrg  Mirage,Fragadelphia 15
11/9/21,Entropiq Prague (6),BLUEJAYS (16),mrg  Mirage,TWR Eastern European Masters Fall 2021 - BLAST Premier Qualifier
11/9/21,Natus Vincere (16),Heroic (14),nuke  Nuke,ESL Pro League Season 14
11/9/21,Natus Vincere (13),Heroic (16),ovp  Overpass,ESL Pro League Season 14
11/9/21,Heroic (14),Natus Vincere (16),mrg  Mirage,ESL Pro League Season 14
11/9/21,Levitate (16),Freedom Fighters (14),nuke  Nuke,Fragadelphia 15
11/9/21,Freedom Fighters (22),Levitate (25),ovp  Overpass,Fragadelphia 15
11/9/21,Detonate (14),Third Impact (16),ovp  Overpass,Fragadelphia 15
11/9/21,Detonate (16),Third Impact (11),inf  Inferno,Fragadelphia 15
11/9/21,Third Impact (16),Detonate (5),nuke  Nuke,Fragadelphia 15
11/9/21,BLUEJAYS (12),Eternal Fire (16),d2  Dust2,TWR Eastern European Masters Fall 2021 - BLAST Premier Qualifier
