Date,Team1,Team2,Map,Event
21/1/22,B8 (7),Entropiq Prague (16),d2  Dust2,Malta Vibes Knockout Series 5
21/1/22,Entropiq Prague (16),B8 (7),nuke  Nuke,Malta Vibes Knockout Series 5
21/1/22,BIG (16),K23 (4),ovp  Overpass,Funspark ULTI 2021 Finals
21/1/22,BIG (12),K23 (16),mrg  Mirage,Funspark ULTI 2021 Finals
21/1/22,K23 (6),BIG (16),d2  Dust2,Funspark ULTI 2021 Finals
21/1/22,GamerLegion (19),EC Kyiv (16),anc  Ancient,Pinnacle Winter Series 1 Regionals
21/1/22,GamerLegion (6),EC Kyiv (16),inf  Inferno,Pinnacle Winter Series 1 Regionals
21/1/22,EC Kyiv (9),GamerLegion (16),ovp  Overpass,Pinnacle Winter Series 1 Regionals
21/1/22,UNGENTIUM (16),KOVA (12),inf  Inferno,Malta Vibes Knockout Series 5
21/1/22,KOVA (6),UNGENTIUM (16),mrg  Mirage,Malta Vibes Knockout Series 5
21/1/22,UNGENTIUM (6),KOVA (16),anc  Ancient,Malta Vibes Knockout Series 5
21/1/22,GMT (9),Apeks (16),mrg  Mirage,Pinnacle Winter Series 1 Regionals
21/1/22,Apeks (16),GMT (8),inf  Inferno,Pinnacle Winter Series 1 Regionals
21/1/22,Gambit (16),Entropiq (6),ovp  Overpass,Funspark ULTI 2021 Finals
21/1/22,Entropiq (16),Gambit (14),mrg  Mirage,Funspark ULTI 2021 Finals
21/1/22,Entropiq (5),Gambit (16),d2  Dust2,Funspark ULTI 2021 Finals
21/1/22,Nexus (16),Into the Breach (10),anc  Ancient,Malta Vibes Knockout Series 5
21/1/22,Into the Breach (12),Nexus (16),d2  Dust2,Malta Vibes Knockout Series 5
21/1/22,Finest (12),Tricked (16),ovp  Overpass,Pinnacle Winter Series 1 Regionals
21/1/22,Finest (9),Tricked (16),vtg  Vertigo,Pinnacle Winter Series 1 Regionals
21/1/22,Tricked (7),Finest (16),mrg  Mirage,Pinnacle Winter Series 1 Regionals
20/1/22,FTW (8),Wisla Krakow (16),ovp  Overpass,Malta Vibes Knockout Series 5
20/1/22,Wisla Krakow (16),FTW (10),anc  Ancient,Malta Vibes Knockout Series 5
20/1/22,Savage (16),AGO (13),vtg  Vertigo,Elisa Invitational Winter 2021
20/1/22,AGO (9),Savage (16),anc  Ancient,Elisa Invitational Winter 2021
20/1/22,Sangal (8),Young Ninjas (16),inf  Inferno,Malta Vibes Knockout Series 5
20/1/22,Sangal (17),Young Ninjas (19),ovp  Overpass,Malta Vibes Knockout Series 5
20/1/22,Young Ninjas (11),Sangal (16),anc  Ancient,Malta Vibes Knockout Series 5
20/1/22,HAVU (14),Looking For Org (16),inf  Inferno,Elisa Invitational Winter 2021
20/1/22,Looking For Org (16),HAVU (3),ovp  Overpass,Elisa Invitational Winter 2021
20/1/22,GMT (12),Savage (16),d2  Dust2,Pinnacle Winter Series 1 Regionals
20/1/22,Savage (16),GMT (10),mrg  Mirage,Pinnacle Winter Series 1 Regionals
20/1/22,Unique (16),GamerLegion (10),anc  Ancient,Pinnacle Winter Series 1 Regionals
20/1/22,Unique (13),GamerLegion (16),mrg  Mirage,Pinnacle Winter Series 1 Regionals
20/1/22,GamerLegion (11),Unique (16),inf  Inferno,Pinnacle Winter Series 1 Regionals
20/1/22,Astralis (19),fnatic (16),inf  Inferno,Funspark ULTI 2021 Finals
20/1/22,fnatic (16),Astralis (13),nuke  Nuke,Funspark ULTI 2021 Finals
20/1/22,Astralis (16),fnatic (2),mrg  Mirage,Funspark ULTI 2021 Finals
20/1/22,4glory (20),KOVA (22),anc  Ancient,Malta Vibes Knockout Series 5
20/1/22,4glory (17),KOVA (19),nuke  Nuke,Malta Vibes Knockout Series 5
20/1/22,KOVA (14),4glory (16),inf  Inferno,Malta Vibes Knockout Series 5
20/1/22,Apeks (16),OneTap (4),mrg  Mirage,Pinnacle Winter Series 1 Regionals
20/1/22,OneTap (13),Apeks (16),ovp  Overpass,Pinnacle Winter Series 1 Regionals
20/1/22,Wisla Krakow (16),EC Kyiv (5),mrg  Mirage,Pinnacle Winter Series 1 Regionals
20/1/22,Wisla Krakow (16),EC Kyiv (14),d2  Dust2,Pinnacle Winter Series 1 Regionals
20/1/22,EC Kyiv (16),Wisla Krakow (11),ovp  Overpass,Pinnacle Winter Series 1 Regionals
20/1/22,ECSTATIC (16),Complexity (10),nuke  Nuke,Funspark ULTI 2021 Finals
20/1/22,Complexity (20),ECSTATIC (22),inf  Inferno,Funspark ULTI 2021 Finals
20/1/22,UNGENTIUM (16),GMT (14),anc  Ancient,Malta Vibes Knockout Series 5
20/1/22,GMT (16),UNGENTIUM (14),inf  Inferno,Malta Vibes Knockout Series 5
