Date,Team1,Team2,Map,Event
28/10/22,Copenhagen Flames (11),Tricked (16),nuke  Nuke,Epic GOCL Season 1
28/10/22,Tricked (12),Copenhagen Flames (16),anc  Ancient,Epic GOCL Season 1
28/10/22,AGO (9),HAVU (16),d2  Dust2,CCT Central Europe Series 3
28/10/22,HAVU (19),AGO (16),mrg  Mirage,CCT Central Europe Series 3
28/10/22,Astralis Talent (16),Young Ninjas (7),vtg  Vertigo,WePlay Academy League Season 6
28/10/22,Enhanced (8),JANO (16),d2  Dust2,Elisa Open Finland Season 3
28/10/22,JANO (16),Enhanced (6),anc  Ancient,Elisa Open Finland Season 3
28/10/22,MOUZ NXT (7),FURIA Academy (16),nuke  Nuke,WePlay Academy League Season 6
28/10/22,PACT (6),PROSPECTS (16),inf  Inferno,Esport Tour 2022 Series 3
28/10/22,PACT (16),PROSPECTS (10),ovp  Overpass,Esport Tour 2022 Series 3
28/10/22,PROSPECTS (16),PACT (1),anc  Ancient,Esport Tour 2022 Series 3
28/10/22,los kogutos (19),ALTERNATE aTTaX (17),d2  Dust2,Esport Tour 2022 Series 3
28/10/22,ALTERNATE aTTaX (14),los kogutos (16),mrg  Mirage,Esport Tour 2022 Series 3
28/10/22,OG Academy (22),MOUZ NXT (25),vtg  Vertigo,WePlay Academy League Season 6
28/10/22,ECLOT (13),HONORIS (16),ovp  Overpass,CCT Central Europe Series 3
28/10/22,ECLOT (19),HONORIS (16),anc  Ancient,CCT Central Europe Series 3
28/10/22,HONORIS (16),ECLOT (13),inf  Inferno,CCT Central Europe Series 3
28/10/22,ex-SKADE (22),ECSTATIC (18),ovp  Overpass,Epic GOCL Season 1
28/10/22,ECSTATIC (9),ex-SKADE (16),mrg  Mirage,Epic GOCL Season 1
28/10/22,ex-SKADE (12),ECSTATIC (16),nuke  Nuke,Epic GOCL Season 1
28/10/22,UNGENTIUM (11),Nexus (16),d2  Dust2,Esport Tour 2022 Series 3
28/10/22,Nexus (16),UNGENTIUM (8),anc  Ancient,Esport Tour 2022 Series 3
27/10/22,The Union (16),LyP (11),d2  Dust2,CBCS Elite League 2022 Season 2
27/10/22,LyP (7),The Union (16),inf  Inferno,CBCS Elite League 2022 Season 2
27/10/22,Apeks Rebels (11),FURIA Academy (16),d2  Dust2,WePlay Academy League Season 6
27/10/22,ECSTATIC (12),Nemiga (16),nuke  Nuke,Epic GOCL Season 1
27/10/22,ECSTATIC (16),Nemiga (13),mrg  Mirage,Epic GOCL Season 1
27/10/22,Nemiga (16),ECSTATIC (6),ovp  Overpass,Epic GOCL Season 1
27/10/22,Young Ninjas (16),PROSPECTS (14),ovp  Overpass,WePlay Academy League Season 6
27/10/22,NAVI Junior (16),FURIA Academy (9),mrg  Mirage,WePlay Academy League Season 6
27/10/22,Meta (7),Paquetá (16),mrg  Mirage,CBCS Elite League 2022 Season 2
27/10/22,Paquetá (16),Meta (11),nuke  Nuke,CBCS Elite League 2022 Season 2
27/10/22,UNGENTIUM (13),SINNERS (16),nuke  Nuke,CCT Central Europe Series 3
27/10/22,SINNERS (16),UNGENTIUM (11),anc  Ancient,CCT Central Europe Series 3
27/10/22,Enhanced (16),kukkosoosi (13),mrg  Mirage,Elisa Open Finland Season 3
27/10/22,kukkosoosi (11),Enhanced (16),anc  Ancient,Elisa Open Finland Season 3
27/10/22,Apeks Rebels (9),OG Academy (16),inf  Inferno,WePlay Academy League Season 6
27/10/22,fnatic Rising (11),Apeks Rebels (16),anc  Ancient,WePlay Academy League Season 6
27/10/22,Enterprise (16),Copenhagen Flames (10),ovp  Overpass,Epic GOCL Season 1
27/10/22,Enterprise (13),Copenhagen Flames (16),anc  Ancient,Epic GOCL Season 1
27/10/22,Copenhagen Flames (26),Enterprise (28),inf  Inferno,Epic GOCL Season 1
27/10/22,ECLOT (7),Young Ninjas (16),mrg  Mirage,CCT Central Europe Series 3
27/10/22,Young Ninjas (7),ECLOT (16),inf  Inferno,CCT Central Europe Series 3
27/10/22,ECLOT (9),Young Ninjas (16),vtg  Vertigo,CCT Central Europe Series 3
27/10/22,FcottoNd (18),ENCE Academy (22),ovp  Overpass,Elisa Open Finland Season 3
27/10/22,ENCE Academy (16),FcottoNd (7),mrg  Mirage,Elisa Open Finland Season 3
27/10/22,BIG Academy (13),Astralis Talent (16),vtg  Vertigo,WePlay Academy League Season 6
27/10/22,FURIA Academy (10),fnatic Rising (16),vtg  Vertigo,WePlay Academy League Season 6
27/10/22,Spirit Academy (16),ENCE Academy (12),nuke  Nuke,WePlay Academy League Season 6
27/10/22,AGO (7),9INE (16),ovp  Overpass,CCT Central Europe Series 3
