Date,Team1,Team2,Map,Event
10/8/22,Wolsung (14),Cryptova (16),mrg  Mirage,CCT Central Europe Series 1 Closed Qualifier
10/8/22,Cryptova (9),Wolsung (16),nuke  Nuke,CCT Central Europe Series 1 Closed Qualifier
10/8/22,IHC (16),CatEvil (10),inf  Inferno,5E Arena Asia Cup 2022 Closed Qualifier
10/8/22,CatEvil (2),IHC (16),nuke  Nuke,5E Arena Asia Cup 2022 Closed Qualifier
10/8/22,NKT (17),Lynn Vision (19),ovp  Overpass,5E Arena Asia Cup 2022 Closed Qualifier
10/8/22,Lynn Vision (16),NKT (14),nuke  Nuke,5E Arena Asia Cup 2022 Closed Qualifier
9/8/22,OG Academy (15),Spirit Academy (19),d2  Dust2,WePlay Academy League Season 5
9/8/22,OG Academy (14),Spirit Academy (16),vtg  Vertigo,WePlay Academy League Season 5
9/8/22,Spirit Academy (7),OG Academy (16),ovp  Overpass,WePlay Academy League Season 5
9/8/22,Astralis Talent (16),FURIA Academy (12),ovp  Overpass,WePlay Academy League Season 5
9/8/22,FURIA Academy (14),Astralis Talent (16),vtg  Vertigo,WePlay Academy League Season 5
9/8/22,D13 (12),ARAVT (16),inf  Inferno,5E Arena Asia Cup 2022 Closed Qualifier
9/8/22,ARAVT (8),D13 (16),nuke  Nuke,5E Arena Asia Cup 2022 Closed Qualifier
9/8/22,D13 (17),ARAVT (19),anc  Ancient,5E Arena Asia Cup 2022 Closed Qualifier
8/8/22,MIBR fe (8),FURIA fe (16),nuke  Nuke,Gamers Club Women Masters V
8/8/22,FURIA fe (16),MIBR fe (4),vtg  Vertigo,Gamers Club Women Masters V
8/8/22,Isurus (10),9z (16),nuke  Nuke,Flow FiReLEAGUE 2022 Finals
8/8/22,9z (16),Isurus (14),inf  Inferno,Flow FiReLEAGUE 2022 Finals
8/8/22,Gas Money (16),Gaimin Gladiators (4),d2  Dust2,ESEA Summer 2022 Cash Cup 4 North America
8/8/22,Gaimin Gladiators (10),Gas Money (16),ovp  Overpass,ESEA Summer 2022 Cash Cup 4 North America
7/8/22,Mad Kings (2),Gaimin Gladiators (16),d2  Dust2,ESEA Summer 2022 Cash Cup 4 North America
7/8/22,Gaimin Gladiators (16),Mad Kings (6),anc  Ancient,ESEA Summer 2022 Cash Cup 4 North America
7/8/22,Gas Money (16),timbermen (3),mrg  Mirage,ESEA Summer 2022 Cash Cup 4 North America
7/8/22,timbermen (6),Gas Money (16),nuke  Nuke,ESEA Summer 2022 Cash Cup 4 North America
7/8/22,Isurus (16),WINDINGO (2),mrg  Mirage,Flow FiReLEAGUE 2022 Finals
7/8/22,WINDINGO (4),Isurus (16),d2  Dust2,Flow FiReLEAGUE 2022 Finals
7/8/22,FURIA Academy (16),ENCE Academy (3),mrg  Mirage,WePlay Academy League Season 5
7/8/22,fnatic Rising (11),Spirit Academy (16),nuke  Nuke,WePlay Academy League Season 5
7/8/22,BIG Academy (16),OG Academy (10),ovp  Overpass,WePlay Academy League Season 5
7/8/22,NAVI Junior (7),fnatic Rising (16),inf  Inferno,WePlay Academy League Season 5
7/8/22,Astralis Talent (14),PROSPECTS (16),ovp  Overpass,WePlay Academy League Season 5
7/8/22,BHOP (6),timbermen (16),ovp  Overpass,ESEA Summer 2022 Cash Cup 4 North America
7/8/22,Gas Money (16),Brazen (6),inf  Inferno,ESEA Summer 2022 Cash Cup 4 North America
7/8/22,Isurus (16),Furious (5),anc  Ancient,Flow FiReLEAGUE 2022 Finals
7/8/22,Furious (17),Isurus (19),d2  Dust2,Flow FiReLEAGUE 2022 Finals
7/8/22,ONET4P (13),Mad Kings (16),inf  Inferno,ESEA Summer 2022 Cash Cup 4 North America
7/8/22,Gaimin Gladiators (16),Electrify Steel (6),vtg  Vertigo,ESEA Summer 2022 Cash Cup 4 North America
6/8/22,JANO (5),Into the Breach (16),inf  Inferno,Assembly Summer 2022
6/8/22,Into the Breach (19),JANO (16),nuke  Nuke,Assembly Summer 2022
6/8/22,JANO (22),Into the Breach (18),mrg  Mirage,Assembly Summer 2022
6/8/22,Boca Juniors (14),Furious (16),d2  Dust2,Flow FiReLEAGUE 2022 Finals
6/8/22,Furious (16),Boca Juniors (6),vtg  Vertigo,Flow FiReLEAGUE 2022 Finals
6/8/22,PROSPECTS (8),fnatic Rising (16),inf  Inferno,WePlay Academy League Season 5
6/8/22,Apeks Rebels (6),OG Academy (16),ovp  Overpass,WePlay Academy League Season 5
6/8/22,Isurus (16),Holkattes (3),nuke  Nuke,Flow FiReLEAGUE 2022 Finals
6/8/22,Isurus (16),Holkattes (1),d2  Dust2,Flow FiReLEAGUE 2022 Finals
6/8/22,Isurus (12),Holkattes (16),inf  Inferno,Flow FiReLEAGUE 2022 Finals
6/8/22,HAVU (16),Into the Breach (19),ovp  Overpass,Assembly Summer 2022
6/8/22,Into the Breach (28),HAVU (25),nuke  Nuke,Assembly Summer 2022
6/8/22,Young Ninjas (16),BIG Academy (3),ovp  Overpass,WePlay Academy League Season 5
