Date,Team1,Team2,Map,Event
7/2/23,Vitality (4),Heroic (16),ovp  Overpass,IEM Katowice 2023
7/2/23,Heroic (16),Vitality (7),inf  Inferno,IEM Katowice 2023
7/2/23,MOUZ NXT (13),VOYVODA (16),inf  Inferno,European Development Championship 7 Closed Qualifier
7/2/23,Partizan (4),9INE (16),vtg  Vertigo,Elisa Invitational Winter 2023
7/2/23,9INE (16),Partizan (7),anb  Anubis,Elisa Invitational Winter 2023
7/2/23,los kogutos (16),HONORIS (19),ovp  Overpass,CCT West Europe Series 1
7/2/23,HONORIS (19),los kogutos (17),mrg  Mirage,CCT West Europe Series 1
7/2/23,UNGENTIUM (13),VOYVODA (16),mrg  Mirage,European Development Championship 7 Closed Qualifier
7/2/23,VOYVODA (16),UNGENTIUM (5),anc  Ancient,European Development Championship 7 Closed Qualifier
7/2/23,Complexity (16),fnatic (3),ovp  Overpass,IEM Katowice 2023
7/2/23,Complexity (9),fnatic (16),vtg  Vertigo,IEM Katowice 2023
7/2/23,fnatic (8),Complexity (16),inf  Inferno,IEM Katowice 2023
7/2/23,OG (12),Outsiders (16),ovp  Overpass,IEM Katowice 2023
7/2/23,Outsiders (16),OG (7),inf  Inferno,IEM Katowice 2023
7/2/23,Tricked (6),Monte (16),vtg  Vertigo,Elisa Invitational Winter 2023
7/2/23,Monte (16),Tricked (19),nuke  Nuke,Elisa Invitational Winter 2023
7/2/23,Tricked (16),Monte (19),mrg  Mirage,Elisa Invitational Winter 2023
7/2/23,EYEBALLERS (16),Spirit Academy (9),anb  Anubis,CCT West Europe Series 1
7/2/23,Spirit Academy (5),EYEBALLERS (16),ovp  Overpass,CCT West Europe Series 1
7/2/23,Detonate (19),ATK (16),anb  Anubis,ESL Challenger League Season 44 North America
7/2/23,Detonate (16),ATK (4),mrg  Mirage,ESL Challenger League Season 44 North America
7/2/23,ATK (16),Detonate (14),inf  Inferno,ESL Challenger League Season 44 North America
7/2/23,Vendetta (6),MIBR (16),vtg  Vertigo,ESL Challenger League Season 44 North America
7/2/23,Vendetta (19),MIBR (15),nuke  Nuke,ESL Challenger League Season 44 North America
7/2/23,MIBR (16),Vendetta (7),inf  Inferno,ESL Challenger League Season 44 North America
6/2/23,Into the Breach (16),Nexus (11),vtg  Vertigo,European Development Championship 7 Closed Qualifier
6/2/23,Nexus (19),Into the Breach (17),inf  Inferno,European Development Championship 7 Closed Qualifier
6/2/23,Into the Breach (16),Nexus (13),mrg  Mirage,European Development Championship 7 Closed Qualifier
6/2/23,FTW (16),iNation (19),inf  Inferno,CCT West Europe Series 1
6/2/23,iNation (19),FTW (16),vtg  Vertigo,CCT West Europe Series 1
6/2/23,Liquid (16),Spirit (11),anb  Anubis,IEM Katowice 2023
6/2/23,Spirit (16),Liquid (13),ovp  Overpass,IEM Katowice 2023
6/2/23,Liquid (16),Spirit (12),nuke  Nuke,IEM Katowice 2023
6/2/23,IHC (3),FaZe (16),anc  Ancient,IEM Katowice 2023
6/2/23,FaZe (16),IHC (11),inf  Inferno,IEM Katowice 2023
6/2/23,Astralis (19),Aurora (15),nuke  Nuke,CCT North Europe Series 3
6/2/23,Astralis (9),Aurora (16),mrg  Mirage,CCT North Europe Series 3
6/2/23,Aurora (8),Astralis (16),anc  Ancient,CCT North Europe Series 3
6/2/23,Into the Breach (16),Tricked (10),vtg  Vertigo,CCT West Europe Series 1
6/2/23,Into the Breach (16),Tricked (13),nuke  Nuke,CCT West Europe Series 1
6/2/23,Tricked (16),Into the Breach (11),mrg  Mirage,CCT West Europe Series 1
6/2/23,Falcons (9),GamerLegion (16),anb  Anubis,Thunderpick Bitcoin Series 2
6/2/23,GamerLegion (16),Falcons (6),vtg  Vertigo,Thunderpick Bitcoin Series 2
6/2/23,Copenhagen Flames (6),Astralis (16),anc  Ancient,CCT North Europe Series 3
6/2/23,Astralis (16),Copenhagen Flames (9),vtg  Vertigo,CCT North Europe Series 3
6/2/23,MOUZ (12),Complexity (16),anc  Ancient,IEM Katowice 2023
6/2/23,Complexity (12),MOUZ (16),nuke  Nuke,IEM Katowice 2023
6/2/23,MOUZ (9),Complexity (16),inf  Inferno,IEM Katowice 2023
6/2/23,fnatic (13),Vitality (16),nuke  Nuke,IEM Katowice 2023
6/2/23,fnatic (16),Vitality (8),mrg  Mirage,IEM Katowice 2023
