Date,Team1,Team2,Map,Event
28/9/22,KTRL (5),OG Academy (16),d2  Dust2,CCT South Europe Series 1 Closed Qualifier
28/9/22,OG Academy (4),KTRL (16),inf  Inferno,CCT South Europe Series 1 Closed Qualifier
28/9/22,eSuba (17),Entropiq (19),ovp  Overpass,CCT Central Europe Series 2
28/9/22,EC Kyiv (13),Endpoint (16),d2  Dust2,Elisa Invitational Fall 2022
28/9/22,Endpoint (16),EC Kyiv (10),inf  Inferno,Elisa Invitational Fall 2022
28/9/22,EC Kyiv (16),Endpoint (3),vtg  Vertigo,Elisa Invitational Fall 2022
28/9/22,Finest (16),Illuminar (10),ovp  Overpass,CCT Central Europe Series 2
28/9/22,Illuminar (9),Finest (16),vtg  Vertigo,CCT Central Europe Series 2
28/9/22,X13 (12),Red Wolves (16),nuke  Nuke,ESEA Advanced Season 42 North America
28/9/22,Red Wolves (8),X13 (16),anc  Ancient,ESEA Advanced Season 42 North America
28/9/22,X13 (9),Red Wolves (16),d2  Dust2,ESEA Advanced Season 42 North America
28/9/22,Vendetta (16),Strife (8),mrg  Mirage,ESL Challenger League Season 42 North America
28/9/22,Vendetta (22),Strife (20),inf  Inferno,ESL Challenger League Season 42 North America
28/9/22,Strife (16),Vendetta (6),d2  Dust2,ESL Challenger League Season 42 North America
28/9/22,Villainous (19),Infinity (17),inf  Inferno,ESEA Advanced Season 42 North America
28/9/22,Villainous (14),Infinity (16),anc  Ancient,ESEA Advanced Season 42 North America
28/9/22,Infinity (4),Villainous (16),mrg  Mirage,ESEA Advanced Season 42 North America
28/9/22,Earlybirds (9),Eros (16),vtg  Vertigo,ESEA Advanced Season 42 North America
28/9/22,Eros (16),Earlybirds (10),inf  Inferno,ESEA Advanced Season 42 North America
28/9/22,Magic School Bus (16),Snakes Den (9),nuke  Nuke,ESEA Advanced Season 42 North America
28/9/22,Snakes Den (2),Magic School Bus (16),d2  Dust2,ESEA Advanced Season 42 North America
28/9/22,Davenport University (16),Kari (19),d2  Dust2,ESL Challenger League Season 42 North America
28/9/22,Davenport University (10),Kari (16),mrg  Mirage,ESL Challenger League Season 42 North America
28/9/22,Kari (14),Davenport University (16),ovp  Overpass,ESL Challenger League Season 42 North America
28/9/22,Mythic (16),Unjustified (10),ovp  Overpass,ESL Challenger League Season 42 North America
28/9/22,Mythic (16),Unjustified (1),anc  Ancient,ESL Challenger League Season 42 North America
28/9/22,Unjustified (19),Mythic (16),vtg  Vertigo,ESL Challenger League Season 42 North America
28/9/22,Brazen (10),EG Black (16),inf  Inferno,ESL Challenger League Season 42 North America
28/9/22,EG Black (16),Brazen (5),mrg  Mirage,ESL Challenger League Season 42 North America
28/9/22,Task Force 141 (19),Iron Blood (22),mrg  Mirage,ESL Challenger League Season 42 North America
28/9/22,Iron Blood (16),Task Force 141 (9),inf  Inferno,ESL Challenger League Season 42 North America
28/9/22,AJF (8),Corinthians Academy (16),vtg  Vertigo,Liga Gamers Club 2022 Serie A September Cup
28/9/22,Corinthians Academy (16),AJF (14),mrg  Mirage,Liga Gamers Club 2022 Serie A September Cup
27/9/22,Anonymo (11),Iron Branch (16),mrg  Mirage,ESEA Advanced Season 42 Europe
27/9/22,Anonymo (13),Iron Branch (16),d2  Dust2,ESEA Advanced Season 42 Europe
27/9/22,Iron Branch (16),Anonymo (19),vtg  Vertigo,ESEA Advanced Season 42 Europe
27/9/22,FaZe (16),Complexity (8),nuke  Nuke,ESL Pro League Season 16
27/9/22,Complexity (14),FaZe (16),inf  Inferno,ESL Pro League Season 16
27/9/22,FaZe (9),Complexity (16),ovp  Overpass,ESL Pro League Season 16
27/9/22,LDLC (11),ex-SKADE (16),ovp  Overpass,ESEA Advanced Season 42 Europe
27/9/22,LDLC (11),ex-SKADE (16),inf  Inferno,ESEA Advanced Season 42 Europe
27/9/22,ex-SKADE (12),LDLC (16),nuke  Nuke,ESEA Advanced Season 42 Europe
27/9/22,HEET (16),SINNERS (7),anc  Ancient,ESL Challenger League Season 42 Europe
27/9/22,SINNERS (16),HEET (6),nuke  Nuke,ESL Challenger League Season 42 Europe
27/9/22,HEET (16),SINNERS (14),ovp  Overpass,ESL Challenger League Season 42 Europe
27/9/22,fnatic (10),Liquid (16),anc  Ancient,ESL Pro League Season 16
27/9/22,Liquid (9),fnatic (16),ovp  Overpass,ESL Pro League Season 16
27/9/22,fnatic (13),Liquid (16),inf  Inferno,ESL Pro League Season 16
27/9/22,ECLOT (16),EYEBALLERS (4),ovp  Overpass,Elisa Invitational Fall 2022
27/9/22,EYEBALLERS (7),ECLOT (16),d2  Dust2,Elisa Invitational Fall 2022
