Date,Team1,Team2,Map,Event
8/12/22,BLUEJAYS (16),QUAZAR (13),anc  Ancient,IESF World Championship 2022
8/12/22,MASONIC (16),Into the Breach (10),inf  Inferno,CCT Central Europe Series 4
8/12/22,Into the Breach (6),MASONIC (16),vtg  Vertigo,CCT Central Europe Series 4
8/12/22,Argentina (16),Algeria (1),d2  Dust2,IESF World Championship 2022
8/12/22,Argentina (16),Algeria (0),mrg  Mirage,IESF World Championship 2022
8/12/22,Indonesia (16),Vietnam (9),mrg  Mirage,IESF World Championship 2022
8/12/22,Vietnam (18),Indonesia (22),inf  Inferno,IESF World Championship 2022
8/12/22,Sharks (13),Fluxo (16),mrg  Mirage,CCT South America Series 3
8/12/22,Fluxo (16),Sharks (4),vtg  Vertigo,CCT South America Series 3
8/12/22,Sharks (16),Fluxo (11),d2  Dust2,CCT South America Series 3
8/12/22,Disconnected (16),Vendetta (12),inf  Inferno,ESL Challenger League Season 43 North America
8/12/22,Disconnected (16),Vendetta (11),mrg  Mirage,ESL Challenger League Season 43 North America
8/12/22,Vendetta (16),Disconnected (5),d2  Dust2,ESL Challenger League Season 43 North America
8/12/22,Post Mortem (16),Red Wolves (7),ovp  Overpass,ESL Challenger League Season 43 North America
8/12/22,Red Wolves (16),Post Mortem (14),mrg  Mirage,ESL Challenger League Season 43 North America
8/12/22,Post Mortem (16),Red Wolves (6),inf  Inferno,ESL Challenger League Season 43 North America
8/12/22,Villainous (8),Mythic (16),anc  Ancient,ESL Challenger League Season 43 North America
8/12/22,Mythic (8),Villainous (16),mrg  Mirage,ESL Challenger League Season 43 North America
8/12/22,Villainous (13),Mythic (16),inf  Inferno,ESL Challenger League Season 43 North America
8/12/22,ATK (16),Nouns (10),mrg  Mirage,ESL Challenger League Season 43 North America
8/12/22,Nouns (12),ATK (16),anc  Ancient,ESL Challenger League Season 43 North America
8/12/22,ATK (13),Nouns (16),inf  Inferno,ESL Challenger League Season 43 North America
8/12/22,7AM NA (22),Strife (20),ovp  Overpass,ESL Challenger League Season 43 North America
8/12/22,Strife (12),7AM NA (16),nuke  Nuke,ESL Challenger League Season 43 North America
8/12/22,Iron Blood (6),TeamOne (16),nuke  Nuke,ESL Challenger League Season 43 North America
8/12/22,TeamOne (16),Iron Blood (8),mrg  Mirage,ESL Challenger League Season 43 North America
8/12/22,9z (9),Sharks (16),d2  Dust2,ESL Brazil Premier League Season 13
8/12/22,Sharks (16),9z (13),mrg  Mirage,ESL Brazil Premier League Season 13
8/12/22,O PLANO (4),00NATION (16),ovp  Overpass,ESL Brazil Premier League Season 13
8/12/22,00NATION (16),O PLANO (3),mrg  Mirage,ESL Brazil Premier League Season 13
8/12/22,O PLANO (16),00NATION (14),vtg  Vertigo,ESL Brazil Premier League Season 13
7/12/22,FUSION (6),Fluxo (16),anc  Ancient,CCT South America Series 3
7/12/22,Fluxo (15),FUSION (19),inf  Inferno,CCT South America Series 3
7/12/22,FUSION (3),Fluxo (16),vtg  Vertigo,CCT South America Series 3
7/12/22,PROSPECTS (12),Invictus International (16),inf  Inferno,Thunderpick Bitcoin Series 2
7/12/22,1PIN (13),MASONIC (16),anc  Ancient,ESEA Advanced Season 43 Europe
7/12/22,MASONIC (13),1PIN (16),inf  Inferno,ESEA Advanced Season 43 Europe
7/12/22,1PIN (11),MASONIC (16),vtg  Vertigo,ESEA Advanced Season 43 Europe
7/12/22,AVANGAR (16),MOUZ NXT (6),anc  Ancient,ESEA Advanced Season 43 Europe
7/12/22,AVANGAR (8),MOUZ NXT (16),vtg  Vertigo,ESEA Advanced Season 43 Europe
7/12/22,MOUZ NXT (8),AVANGAR (16),inf  Inferno,ESEA Advanced Season 43 Europe
7/12/22,HONORIS (16),GenOne (11),inf  Inferno,ESEA Advanced Season 43 Europe
7/12/22,HONORIS (7),GenOne (16),ovp  Overpass,ESEA Advanced Season 43 Europe
7/12/22,GenOne (10),HONORIS (16),anc  Ancient,ESEA Advanced Season 43 Europe
7/12/22,Apeks (16),Into the Breach (12),ovp  Overpass,ESEA Advanced Season 43 Europe
7/12/22,Into the Breach (9),Apeks (16),mrg  Mirage,ESEA Advanced Season 43 Europe
7/12/22,9 Pandas (13),500 (16),ovp  Overpass,ESEA Advanced Season 43 Europe
7/12/22,500 (22),9 Pandas (20),anc  Ancient,ESEA Advanced Season 43 Europe
7/12/22,ENCE (16),HAVU (14),d2  Dust2,CCT North Europe Series 2
7/12/22,HAVU (17),ENCE (19),anc  Ancient,CCT North Europe Series 2
