Date,Team1,Team2,Map,Event
28/9/21,MAD Lions (10),Finest (16),mrg  Mirage,ESEA Advanced Season 38 Europe
28/9/21,MAD Lions (16),Finest (10),ovp  Overpass,ESEA Advanced Season 38 Europe
28/9/21,Finest (22),MAD Lions (20),inf  Inferno,ESEA Advanced Season 38 Europe
28/9/21,Fiend (16),4glory (13),anc  Ancient,V4 Future Sports Festival 2021 International Cup
28/9/21,4glory (17),Fiend (19),d2  Dust2,V4 Future Sports Festival 2021 International Cup
28/9/21,Fiend (14),4glory (16),inf  Inferno,V4 Future Sports Festival 2021 International Cup
28/9/21,AGO (9),Copenhagen Flames (16),anc  Ancient,Elisa Invitational Fall 2021
28/9/21,AGO (12),Copenhagen Flames (16),inf  Inferno,Elisa Invitational Fall 2021
28/9/21,AGO (16),Copenhagen Flames (11),vtg  Vertigo,Elisa Invitational Fall 2021
28/9/21,Eternal Fire (7),Entropiq (16),ovp  Overpass,REPUBLEAGUE TIPOS Season 2
28/9/21,Entropiq (16),Eternal Fire (4),d2  Dust2,REPUBLEAGUE TIPOS Season 2
28/9/21,Anonymo (16),LDLC (8),vtg  Vertigo,ESEA Premier Season 38 Europe
28/9/21,LDLC (10),Anonymo (16),anc  Ancient,ESEA Premier Season 38 Europe
28/9/21,Anonymo (12),LDLC (16),nuke  Nuke,ESEA Premier Season 38 Europe
28/9/21,Sampi (9),DREAM UA (16),mrg  Mirage,REPUBLEAGUE TIPOS Season 2
28/9/21,DREAM UA (16),Sampi (12),anc  Ancient,REPUBLEAGUE TIPOS Season 2
28/9/21,8Ballers (11),Sylyx (16),anc  Ancient,LPL Pro League Season 9
28/9/21,Sylyx (16),8Ballers (5),nuke  Nuke,LPL Pro League Season 9
28/9/21,Lese (16),domilk (8),anc  Ancient,ESEA Premier Season 38 Australia
28/9/21,Lese (16),domilk (13),ovp  Overpass,ESEA Premier Season 38 Australia
28/9/21,Kanga (12),FURY (16),inf  Inferno,ESEA Premier Season 38 Australia
28/9/21,FURY (16),Kanga (7),d2  Dust2,ESEA Premier Season 38 Australia
28/9/21,Lese (19),Nebula (17),d2  Dust2,LPL Pro League Season 9
28/9/21,Lese (11),Nebula (16),mrg  Mirage,LPL Pro League Season 9
28/9/21,Strife (4),ChocoCheck (16),vtg  Vertigo,ESEA Premier Season 38 North America
28/9/21,Strife (14),ChocoCheck (16),mrg  Mirage,ESEA Premier Season 38 North America
28/9/21,Extra Salt (16),Triumph (9),ovp  Overpass,ESEA Premier Season 38 North America
28/9/21,Triumph (19),Extra Salt (22),vtg  Vertigo,ESEA Premier Season 38 North America
28/9/21,Extra Salt (11),Triumph (16),inf  Inferno,ESEA Premier Season 38 North America
28/9/21,RBG (28),Third Impact (26),nuke  Nuke,ESEA Premier Season 38 North America
28/9/21,Third Impact (2),RBG (16),ovp  Overpass,ESEA Premier Season 38 North America
28/9/21,Levitate (2),GODSENT (16),nuke  Nuke,ESEA Advanced Season 38 North America
28/9/21,GODSENT (16),Levitate (14),mrg  Mirage,ESEA Advanced Season 38 North America
28/9/21,Liberty (4),9z (16),inf  Inferno,Liga Gamers Club 2021 Serie A September Cup
28/9/21,9z (3),Liberty (16),ovp  Overpass,Liga Gamers Club 2021 Serie A September Cup
28/9/21,Liberty (13),9z (16),nuke  Nuke,Liga Gamers Club 2021 Serie A September Cup
28/9/21,Strife (7),paiN (16),nuke  Nuke,ESEA Premier Season 38 North America
28/9/21,paiN (16),Strife (4),ovp  Overpass,ESEA Premier Season 38 North America
28/9/21,Extra Salt (16),GGPR (4),inf  Inferno,ESEA Premier Season 38 North America
28/9/21,GGPR (6),Extra Salt (16),ovp  Overpass,ESEA Premier Season 38 North America
27/9/21,Fantastic Seven (16),Coalesce (13),vtg  Vertigo,ESEA Advanced Season 38 Europe
27/9/21,Coalesce (20),Fantastic Seven (22),anc  Ancient,ESEA Advanced Season 38 Europe
27/9/21,DBL PONEY (10),SKADE (16),d2  Dust2,Elisa Invitational Fall 2021
27/9/21,DBL PONEY (8),SKADE (16),vtg  Vertigo,Elisa Invitational Fall 2021
27/9/21,Trasko (10),Unique (16),mrg  Mirage,WhiteBIT Cup 2021
27/9/21,Unique (16),Trasko (12),nuke  Nuke,WhiteBIT Cup 2021
27/9/21,Wisla Krakow (16),Fiend (8),anc  Ancient,V4 Future Sports Festival 2021 International Cup
27/9/21,Wisla Krakow (14),Fiend (16),d2  Dust2,V4 Future Sports Festival 2021 International Cup
27/9/21,Fiend (17),Wisla Krakow (19),ovp  Overpass,V4 Future Sports Festival 2021 International Cup
27/9/21,EC Kyiv (16),MASONIC (13),inf  Inferno,ESEA Advanced Season 38 Europe
