Date,Team1,Team2,Map,Event
23/3/22,Entropiq (16),ECSTATIC (14),ovp  Overpass,Thunderpick Bitcoin Series 1
23/3/22,Invictus (16),YK (8),nuke  Nuke,Perfect World Arena Premier League Season 1
23/3/22,Invictus (16),YK (5),mrg  Mirage,Perfect World Arena Premier League Season 1
23/3/22,YK (16),Invictus (14),inf  Inferno,Perfect World Arena Premier League Season 1
23/3/22,Nut-E (5),VERTEX (16),vtg  Vertigo,LPL Pro League Season 10
23/3/22,VERTEX (16),Nut-E (3),d2  Dust2,LPL Pro League Season 10
23/3/22,Carpe Diem (16),Bad News Bears (10),inf  Inferno,ESL Challenger League Season 40 North America
23/3/22,Carpe Diem (28),Bad News Bears (24),nuke  Nuke,ESL Challenger League Season 40 North America
23/3/22,Bad News Bears (16),Carpe Diem (13),ovp  Overpass,ESL Challenger League Season 40 North America
23/3/22,Orgless (8),paiN (16),vtg  Vertigo,ESL Challenger League Season 40 North America
23/3/22,paiN (22),Orgless (20),ovp  Overpass,ESL Challenger League Season 40 North America
23/3/22,Strife (12),Gaimin Gladiators (16),mrg  Mirage,ESL Challenger League Season 40 North America
23/3/22,Strife (16),Gaimin Gladiators (13),inf  Inferno,ESL Challenger League Season 40 North America
23/3/22,Gaimin Gladiators (16),Strife (8),nuke  Nuke,ESL Challenger League Season 40 North America
23/3/22,ATK (16),ONET4P (19),vtg  Vertigo,ESL Challenger League Season 40 North America
23/3/22,ONET4P (19),ATK (17),mrg  Mirage,ESL Challenger League Season 40 North America
22/3/22,UNGENTIUM (16),ESCA (4),mrg  Mirage,FantasyExpo EU Champions Spring 2022 Poland Closed Qualifier
22/3/22,FORZE (16),los kogutos (3),ovp  Overpass,ESEA Advanced Season 40 Europe
22/3/22,los kogutos (16),FORZE (9),mrg  Mirage,ESEA Advanced Season 40 Europe
22/3/22,FORZE (16),los kogutos (7),inf  Inferno,ESEA Advanced Season 40 Europe
22/3/22,ONYX (16),Anonymo (13),vtg  Vertigo,ESEA Advanced Season 40 Europe
22/3/22,ONYX (16),Anonymo (14),ovp  Overpass,ESEA Advanced Season 40 Europe
22/3/22,Anonymo (16),ONYX (7),nuke  Nuke,ESEA Advanced Season 40 Europe
22/3/22,FAMBIT (16),ALTERNATE aTTaX (13),inf  Inferno,ESEA Advanced Season 40 Europe
22/3/22,ALTERNATE aTTaX (13),FAMBIT (16),vtg  Vertigo,ESEA Advanced Season 40 Europe
22/3/22,Forsaken (12),ESCA (16),vtg  Vertigo,FantasyExpo EU Champions Spring 2022 Poland Closed Qualifier
22/3/22,UNGENTIUM (16),Illuminar (8),inf  Inferno,FantasyExpo EU Champions Spring 2022 Poland Closed Qualifier
22/3/22,Nexus (11),INDE IRAE (16),nuke  Nuke,ESEA Advanced Season 40 Europe
22/3/22,INDE IRAE (8),Nexus (16),mrg  Mirage,ESEA Advanced Season 40 Europe
22/3/22,Nexus (11),INDE IRAE (16),ovp  Overpass,ESEA Advanced Season 40 Europe
22/3/22,Copenhagen Flames (13),BLUEJAYS (16),inf  Inferno,Pinnacle Cup III
22/3/22,BLUEJAYS (16),Copenhagen Flames (12),ovp  Overpass,Pinnacle Cup III
22/3/22,Illuminar (16),ThunderFlash (4),vtg  Vertigo,FantasyExpo EU Champions Spring 2022 Poland Closed Qualifier
22/3/22,ENCE (8),Apeks (16),mrg  Mirage,FantasyExpo EU Champions Spring 2022 Europe Closed Qualifier
22/3/22,Apeks (14),ENCE (16),nuke  Nuke,FantasyExpo EU Champions Spring 2022 Europe Closed Qualifier
22/3/22,ENCE (9),Apeks (16),anc  Ancient,FantasyExpo EU Champions Spring 2022 Europe Closed Qualifier
22/3/22,MAD Lions (16),Hellslayers (19),mrg  Mirage,Elisa Invitational Spring 2022 Contenders
22/3/22,Hellslayers (10),MAD Lions (16),anc  Ancient,Elisa Invitational Spring 2022 Contenders
22/3/22,MAD Lions (12),Hellslayers (16),inf  Inferno,Elisa Invitational Spring 2022 Contenders
22/3/22,Impression (14),ESCA (16),vtg  Vertigo,FantasyExpo EU Champions Spring 2022 Poland Closed Qualifier
22/3/22,Wisla Krakow (13),Forsaken (16),mrg  Mirage,FantasyExpo EU Champions Spring 2022 Poland Closed Qualifier
22/3/22,Lilmix (16),EC Brugge (14),nuke  Nuke,ESEA Advanced Season 40 Europe
22/3/22,EC Brugge (6),Lilmix (16),mrg  Mirage,ESEA Advanced Season 40 Europe
22/3/22,ENCE (16),MAD Lions (14),nuke  Nuke,FantasyExpo EU Champions Spring 2022 Europe Closed Qualifier
22/3/22,4glory (16),Anonymo (7),inf  Inferno,Pinnacle Cup III
22/3/22,Anonymo (8),4glory (16),vtg  Vertigo,Pinnacle Cup III
22/3/22,Apeks (16),Wolsung (9),inf  Inferno,FantasyExpo EU Champions Spring 2022 Europe Closed Qualifier
22/3/22,MASONIC (16),Astralis Talent (13),ovp  Overpass,Elisa Invitational Spring 2022 Contenders
22/3/22,Astralis Talent (13),MASONIC (16),inf  Inferno,Elisa Invitational Spring 2022 Contenders
22/3/22,Into the Breach (16),KOVA (11),mrg  Mirage,Pinnacle Cup III
