Date,Team1,Team2,Map,Event
2/11/22,9z (15),BIG (19),d2  Dust2,IEM Rio Major 2022 Challengers Stage
2/11/22,BIG (16),9z (4),nuke  Nuke,IEM Rio Major 2022 Challengers Stage
2/11/22,OG (16),IHC (11),inf  Inferno,IEM Rio Major 2022 Challengers Stage
2/11/22,Imperial (19),Cloud9 (22),vtg  Vertigo,IEM Rio Major 2022 Challengers Stage
2/11/22,Cloud9 (19),Imperial (15),ovp  Overpass,IEM Rio Major 2022 Challengers Stage
1/11/22,Bad News Eagles (16),GamerLegion (7),mrg  Mirage,IEM Rio Major 2022 Challengers Stage
1/11/22,GamerLegion (9),Bad News Eagles (16),anc  Ancient,IEM Rio Major 2022 Challengers Stage
1/11/22,ENCE Academy (16),OG Academy (3),anc  Ancient,MistGames Heroes of Tomorrow Fall 2022
1/11/22,OG Academy (13),ENCE Academy (16),mrg  Mirage,MistGames Heroes of Tomorrow Fall 2022
1/11/22,ENCE Academy (17),OG Academy (19),d2  Dust2,MistGames Heroes of Tomorrow Fall 2022
1/11/22,Sangal (14),SINNERS (16),mrg  Mirage,ESL Challenger League Season 43 Europe
1/11/22,SINNERS (9),Sangal (16),inf  Inferno,ESL Challenger League Season 43 Europe
1/11/22,Sangal (10),SINNERS (16),ovp  Overpass,ESL Challenger League Season 43 Europe
1/11/22,EC Brugge (12),ROYALS (16),nuke  Nuke,Kayzr League Fall 2022
1/11/22,EC Brugge (16),ROYALS (12),anc  Ancient,Kayzr League Fall 2022
1/11/22,ROYALS (16),EC Brugge (5),vtg  Vertigo,Kayzr League Fall 2022
1/11/22,HEET (16),K23 (7),ovp  Overpass,ESL Challenger League Season 43 Europe
1/11/22,K23 (14),HEET (16),nuke  Nuke,ESL Challenger League Season 43 Europe
1/11/22,AGO (19),Falcons (17),d2  Dust2,ESL Challenger League Season 43 Europe
1/11/22,Falcons (9),AGO (16),mrg  Mirage,ESL Challenger League Season 43 Europe
1/11/22,IHC (19),00NATION (16),ovp  Overpass,IEM Rio Major 2022 Challengers Stage
1/11/22,00NATION (16),IHC (19),inf  Inferno,IEM Rio Major 2022 Challengers Stage
1/11/22,IHC (14),00NATION (16),anc  Ancient,IEM Rio Major 2022 Challengers Stage
1/11/22,MOUZ (16),fnatic (9),anc  Ancient,IEM Rio Major 2022 Challengers Stage
1/11/22,fnatic (16),MOUZ (9),inf  Inferno,IEM Rio Major 2022 Challengers Stage
1/11/22,MOUZ (16),fnatic (8),vtg  Vertigo,IEM Rio Major 2022 Challengers Stage
1/11/22,Atlantic (8),Eternal Fire Academy (16),inf  Inferno,MistGames Heroes of Tomorrow Fall 2022
1/11/22,Eternal Fire Academy (14),Atlantic (16),vtg  Vertigo,MistGames Heroes of Tomorrow Fall 2022
1/11/22,Atlantic (5),Eternal Fire Academy (16),d2  Dust2,MistGames Heroes of Tomorrow Fall 2022
1/11/22,OG (16),FURIA (19),ovp  Overpass,IEM Rio Major 2022 Challengers Stage
1/11/22,BIG (16),Grayhound (6),d2  Dust2,IEM Rio Major 2022 Challengers Stage
1/11/22,Evil Geniuses (17),9z (19),nuke  Nuke,IEM Rio Major 2022 Challengers Stage
1/11/22,Vitality (12),Outsiders (16),ovp  Overpass,IEM Rio Major 2022 Challengers Stage
1/11/22,Cloud9 (17),Grayhound (19),d2  Dust2,IEM Rio Major 2022 Challengers Stage
1/11/22,OG (13),fnatic (16),mrg  Mirage,IEM Rio Major 2022 Challengers Stage
1/11/22,Vitality (10),GamerLegion (16),vtg  Vertigo,IEM Rio Major 2022 Challengers Stage
1/11/22,9z (16),Imperial (11),mrg  Mirage,IEM Rio Major 2022 Challengers Stage
1/11/22,BIG (11),Bad News Eagles (16),d2  Dust2,IEM Rio Major 2022 Challengers Stage
1/11/22,Evil Geniuses (10),MOUZ (16),mrg  Mirage,IEM Rio Major 2022 Challengers Stage
31/10/22,Outsiders (16),IHC (12),ovp  Overpass,IEM Rio Major 2022 Challengers Stage
31/10/22,00NATION (6),FURIA (16),mrg  Mirage,IEM Rio Major 2022 Challengers Stage
31/10/22,The Union (12),Daotsu (16),mrg  Mirage,Liga Gamers Club 2022 Serie A October Cup
31/10/22,Daotsu (16),The Union (8),inf  Inferno,Liga Gamers Club 2022 Serie A October Cup
31/10/22,Flames Ascent (12),MOUZ NXT (16),ovp  Overpass,MistGames Heroes of Tomorrow Fall 2022
31/10/22,MOUZ NXT (16),Flames Ascent (4),nuke  Nuke,MistGames Heroes of Tomorrow Fall 2022
31/10/22,fnatic (19),Cloud9 (17),inf  Inferno,IEM Rio Major 2022 Challengers Stage
31/10/22,The Union (16),9z Academy (3),ovp  Overpass,Liga Gamers Club 2022 Serie A October Cup
31/10/22,9z Academy (4),The Union (16),vtg  Vertigo,Liga Gamers Club 2022 Serie A October Cup
31/10/22,Vitality (16),Imperial (9),inf  Inferno,IEM Rio Major 2022 Challengers Stage
31/10/22,Evil Geniuses (16),IHC (9),nuke  Nuke,IEM Rio Major 2022 Challengers Stage
