Date,Team1,Team2,Map,Event
22/8/22,Rehl (4),River Plate (16),inf  Inferno,CCT South America Series 1
22/8/22,River Plate (16),Rehl (13),d2  Dust2,CCT South America Series 1
21/8/22,HAVU (26),fnatic (28),nuke  Nuke,IEM Road to Rio 2022 Europe Open Qualifier 2
21/8/22,fnatic (16),HAVU (14),mrg  Mirage,IEM Road to Rio 2022 Europe Open Qualifier 2
21/8/22,GamerLegion (12),FORZE (16),nuke  Nuke,IEM Road to Rio 2022 Europe Open Qualifier 2
21/8/22,FORZE (16),GamerLegion (8),mrg  Mirage,IEM Road to Rio 2022 Europe Open Qualifier 2
21/8/22,1WIN (11),K23 (16),d2  Dust2,IEM Road to Rio 2022 Europe Open Qualifier 2
21/8/22,K23 (16),1WIN (8),ovp  Overpass,IEM Road to Rio 2022 Europe Open Qualifier 2
21/8/22,Monte (16),Endpoint (14),ovp  Overpass,IEM Road to Rio 2022 Europe Open Qualifier 2
21/8/22,Endpoint (11),Monte (16),mrg  Mirage,IEM Road to Rio 2022 Europe Open Qualifier 2
21/8/22,fnatic (16),AGO (3),anc  Ancient,IEM Road to Rio 2022 Europe Open Qualifier 2
21/8/22,HAVU (16),Into the Breach (13),mrg  Mirage,IEM Road to Rio 2022 Europe Open Qualifier 2
21/8/22,K23 (16),SC (2),anc  Ancient,IEM Road to Rio 2022 Europe Open Qualifier 2
21/8/22,FORZE (19),UNGENTIUM (17),d2  Dust2,IEM Road to Rio 2022 Europe Open Qualifier 2
21/8/22,SAW (20),1WIN (22),vtg  Vertigo,IEM Road to Rio 2022 Europe Open Qualifier 2
21/8/22,GamerLegion (16),EYEBALLERS (7),anc  Ancient,IEM Road to Rio 2022 Europe Open Qualifier 2
21/8/22,Endpoint (16),9INE (11),ovp  Overpass,IEM Road to Rio 2022 Europe Open Qualifier 2
21/8/22,eSuba (15),Monte (19),nuke  Nuke,IEM Road to Rio 2022 Europe Open Qualifier 2
21/8/22,Heroic (16),FaZe (10),inf  Inferno,BLAST Premier Fall Groups 2022
21/8/22,Isurus (16),Los Grandes Academy (1),inf  Inferno,CCT South America Series 1
21/8/22,Los Grandes Academy (10),Isurus (16),d2  Dust2,CCT South America Series 1
21/8/22,AGO (16),premghouls (9),anc  Ancient,IEM Road to Rio 2022 Europe Open Qualifier 2
21/8/22,Into the Breach (16),Eternal Fire (14),inf  Inferno,IEM Road to Rio 2022 Europe Open Qualifier 2
21/8/22,EC Kyiv (10),9INE (16),mrg  Mirage,IEM Road to Rio 2022 Europe Open Qualifier 2
21/8/22,SINNERS (12),HAVU (16),inf  Inferno,IEM Road to Rio 2022 Europe Open Qualifier 2
21/8/22,fnatic (16),B8 (4),nuke  Nuke,IEM Road to Rio 2022 Europe Open Qualifier 2
21/8/22,FORZE (16),LF0 (6),nuke  Nuke,IEM Road to Rio 2022 Europe Open Qualifier 2
21/8/22,1WIN (16),GRGECHI (14),anc  Ancient,IEM Road to Rio 2022 Europe Open Qualifier 2
21/8/22,Finest (14),EYEBALLERS (16),anc  Ancient,IEM Road to Rio 2022 Europe Open Qualifier 2
21/8/22,JPB (16),Ooredoo Thunders (4),inf  Inferno,IEM Road to Rio 2022 Middle East Open Qualifier 2
21/8/22,Ooredoo Thunders (10),JPB (16),vtg  Vertigo,IEM Road to Rio 2022 Middle East Open Qualifier 2
21/8/22,SC (16),Neon Rangers (11),mrg  Mirage,IEM Road to Rio 2022 Europe Open Qualifier 2
21/8/22,ECSTATIC (12),UNGENTIUM (16),anc  Ancient,IEM Road to Rio 2022 Europe Open Qualifier 2
21/8/22,K23 (16),Enterprise (12),d2  Dust2,IEM Road to Rio 2022 Europe Open Qualifier 2
21/8/22,PremuimGods (1),NASR (16),nuke  Nuke,IEM Road to Rio 2022 Middle East Open Qualifier 2
21/8/22,NASR (16),PremuimGods (2),mrg  Mirage,IEM Road to Rio 2022 Middle East Open Qualifier 2
21/8/22,Anonymo (14),GamerLegion (16),nuke  Nuke,IEM Road to Rio 2022 Europe Open Qualifier 2
21/8/22,LDLC (12),Monte (16),nuke  Nuke,IEM Road to Rio 2022 Europe Open Qualifier 2
21/8/22,SAW (16),Beyond Possible (10),inf  Inferno,IEM Road to Rio 2022 Europe Open Qualifier 2
21/8/22,eSuba (16),9 Pandas (4),inf  Inferno,IEM Road to Rio 2022 Europe Open Qualifier 2
21/8/22,Endpoint (16),163ON (5),vtg  Vertigo,IEM Road to Rio 2022 Europe Open Qualifier 2
21/8/22,Heroic (16),BIG (14),nuke  Nuke,BLAST Premier Fall Groups 2022
21/8/22,Evil Geniuses (6),BIG (16),mrg  Mirage,BLAST Premier Fall Groups 2022
21/8/22,FaZe (16),Heroic (10),nuke  Nuke,BLAST Premier Fall Groups 2022
21/8/22,BIG (13),Heroic (16),nuke  Nuke,BLAST Premier Fall Groups 2022
21/8/22,TYLOO (16),WDNMD (6),inf  Inferno,IEM Road to Rio 2022 China Open Qualifier 2
21/8/22,WDNMD (9),TYLOO (16),vtg  Vertigo,IEM Road to Rio 2022 China Open Qualifier 2
21/8/22,Wings Up (16),CR (7),inf  Inferno,IEM Road to Rio 2022 China Open Qualifier 2
21/8/22,CR (11),Wings Up (16),nuke  Nuke,IEM Road to Rio 2022 China Open Qualifier 2
21/8/22,D13 (9),TheMongolz (16),mrg  Mirage,IEM Road to Rio 2022 Asia Open Qualifier 2
