Date,Team1,Team2,Map,Event
23/10/22,EG Gold (16),Valkyries fe (8),anc  Ancient,ESL Impact League Season 2 North America
23/10/22,ATK (16),MIBR (6),vtg  Vertigo,ESL Challenger League Season 42 North America
23/10/22,MIBR (7),ATK (16),ovp  Overpass,ESL Challenger League Season 42 North America
23/10/22,Daotsu (16),Corinthians (9),inf  Inferno,CBCS Elite League 2022 Season 2
23/10/22,Corinthians (14),Daotsu (16),mrg  Mirage,CBCS Elite League 2022 Season 2
23/10/22,DNG (16),Furious (3),mrg  Mirage,Aorus League 2022 Season 3
23/10/22,DNG (16),Furious (12),ovp  Overpass,Aorus League 2022 Season 3
23/10/22,Furious (16),DNG (13),nuke  Nuke,Aorus League 2022 Season 3
22/10/22,TeamOne (3),ATK (16),d2  Dust2,ESL Challenger League Season 42 North America
22/10/22,ATK (16),TeamOne (12),mrg  Mirage,ESL Challenger League Season 42 North America
22/10/22,Please Send Bocks (1),CLG Red (16),vtg  Vertigo,ESL Impact League Season 2 North America
22/10/22,CLG Red (16),Please Send Bocks (5),d2  Dust2,ESL Impact League Season 2 North America
22/10/22,FORZE (22),HAVU (18),vtg  Vertigo,CCT South Europe Series 1
22/10/22,HAVU (12),FORZE (16),d2  Dust2,CCT South Europe Series 1
22/10/22,Boca Juniors (10),Meta (16),nuke  Nuke,CBCS Elite League 2022 Season 2
22/10/22,Meta (16),Boca Juniors (2),inf  Inferno,CBCS Elite League 2022 Season 2
22/10/22,IKLA (16),Eternal Fire (7),d2  Dust2,CCT North Europe Series 1
22/10/22,IKLA (12),Eternal Fire (16),vtg  Vertigo,CCT North Europe Series 1
22/10/22,Eternal Fire (8),IKLA (16),mrg  Mirage,CCT North Europe Series 1
22/10/22,Fluxo (16),00NATION (10),mrg  Mirage,BLAST Premier Fall Showdown 2022 Americas
22/10/22,00NATION (11),Fluxo (16),anc  Ancient,BLAST Premier Fall Showdown 2022 Americas
22/10/22,SWS (16),Liberty (9),vtg  Vertigo,CBCS Elite League 2022 Season 2
22/10/22,Liberty (16),SWS (11),d2  Dust2,CBCS Elite League 2022 Season 2
22/10/22,SWS (16),Liberty (14),nuke  Nuke,CBCS Elite League 2022 Season 2
22/10/22,INTZ (16),The Union (9),anc  Ancient,CBCS Elite League 2022 Season 2
22/10/22,FTW (19),SC (17),d2  Dust2,CCT Central Europe Series 3
22/10/22,SC (12),FTW (16),nuke  Nuke,CCT Central Europe Series 3
22/10/22,ARCTIC (14),LyP (16),d2  Dust2,CBCS Elite League 2022 Season 2
22/10/22,MOB (9),Rehl (16),inf  Inferno,CBCS Elite League 2022 Season 2
22/10/22,BIG EQUIPA (13),Nigma Galaxy (16),vtg  Vertigo,ESL Impact League Season 2 Europe
22/10/22,Nigma Galaxy (16),BIG EQUIPA (10),anc  Ancient,ESL Impact League Season 2 Europe
22/10/22,Sharks (13),MIBR (16),nuke  Nuke,BLAST Premier Fall Showdown 2022 Americas
22/10/22,MIBR (16),Sharks (8),vtg  Vertigo,BLAST Premier Fall Showdown 2022 Americas
22/10/22,Tricked (16),Spirit (14),mrg  Mirage,CCT South Europe Series 1
22/10/22,Tricked (16),Spirit (13),anc  Ancient,CCT South Europe Series 1
22/10/22,Spirit (16),Tricked (9),ovp  Overpass,CCT South Europe Series 1
22/10/22,1WIN (13),9INE (16),ovp  Overpass,ESL Challenger League Season 42 Europe
22/10/22,9INE (11),1WIN (16),vtg  Vertigo,ESL Challenger League Season 42 Europe
22/10/22,1WIN (10),9INE (16),mrg  Mirage,ESL Challenger League Season 42 Europe
22/10/22,PROSPECTS (22),TYLOO (19),anc  Ancient,CCT North Europe Series 1
22/10/22,TYLOO (16),PROSPECTS (19),ovp  Overpass,CCT North Europe Series 1
22/10/22,PROSPECTS (11),TYLOO (16),inf  Inferno,CCT North Europe Series 1
22/10/22,EC Brugge (6),Genk (16),anc  Ancient,ESL Proximus Benelux Season 14 Finals
22/10/22,Genk (16),EC Brugge (14),mrg  Mirage,ESL Proximus Benelux Season 14 Finals
22/10/22,Enterprise (16),HAVU (11),d2  Dust2,CCT Central Europe Series 3
22/10/22,HAVU (12),Enterprise (16),mrg  Mirage,CCT Central Europe Series 3
22/10/22,Enterprise (12),HAVU (16),anc  Ancient,CCT Central Europe Series 3
22/10/22,Sangal (11),Heroic (16),inf  Inferno,BLAST Premier Fall Showdown 2022 Europe
22/10/22,Heroic (16),Sangal (11),vtg  Vertigo,BLAST Premier Fall Showdown 2022 Europe
22/10/22,Monte (16),ALTERNATE aTTaX (8),d2  Dust2,CCT South Europe Series 1
