Date,Team1,Team2,Map,Event
5/7/21,MOUZ NXT (14),SKADE (16),inf  Inferno,Pinnacle Cup II
5/7/21,Singularity (8),Tricked (16),ovp  Overpass,POWER Ligaen Season 17
5/7/21,No Org (12),ex-Marlian (16),mrg  Mirage,Domination League Season 2
5/7/21,ex-Marlian (15),No Org (19),nuke  Nuke,Domination League Season 2
5/7/21,No Org (18),ex-Marlian (22),ovp  Overpass,Domination League Season 2
5/7/21,Lyngby Vikings (12),ENCE (16),nuke  Nuke,Pinnacle Cup II
5/7/21,ENCE (16),Lyngby Vikings (8),ovp  Overpass,Pinnacle Cup II
5/7/21,KHAN (11),Copenhagen Flames (16),ovp  Overpass,Domination League Season 2
5/7/21,Copenhagen Flames (19),KHAN (17),anc  Ancient,Domination League Season 2
5/7/21,SINNERS (16),Fiend (7),mrg  Mirage,Pinnacle Cup II
5/7/21,Fiend (19),SINNERS (22),inf  Inferno,Pinnacle Cup II
4/7/21,FURIA (16),SKADE (2),mrg  Mirage,Elisa Invitational Summer 2021
4/7/21,SKADE (16),FURIA (4),inf  Inferno,Elisa Invitational Summer 2021
4/7/21,FURIA (19),SKADE (15),ovp  Overpass,Elisa Invitational Summer 2021
4/7/21,Levadia (16),Heavy (14),d2  Dust2,ROG Estonia Masters League Season 1 Finals
4/7/21,Heavy (6),Levadia (16),inf  Inferno,ROG Estonia Masters League Season 1 Finals
4/7/21,Young Ninjas (16),TeamOne (11),nuke  Nuke,Pinnacle Cup II
4/7/21,TeamOne (13),Young Ninjas (16),inf  Inferno,Pinnacle Cup II
4/7/21,Gambit (13),Natus Vincere (16),inf  Inferno,StarLadder CIS RMR 2021
4/7/21,Natus Vincere (16),Gambit (11),mrg  Mirage,StarLadder CIS RMR 2021
4/7/21,Gambit (9),Natus Vincere (16),d2  Dust2,StarLadder CIS RMR 2021
4/7/21,Natus Vincere (7),Gambit (16),anc  Ancient,StarLadder CIS RMR 2021
4/7/21,OneTap (7),Nexus (16),inf  Inferno,Romanian Esports League 3 Finals
4/7/21,Nexus (12),OneTap (16),mrg  Mirage,Romanian Esports League 3 Finals
4/7/21,OneTap (16),Nexus (10),vtg  Vertigo,Romanian Esports League 3 Finals
4/7/21,Nexus (16),OneTap (13),nuke  Nuke,Romanian Esports League 3 Finals
4/7/21,FATE (16),EC Kyiv (14),vtg  Vertigo,ESEA Advanced Season 37 Europe
4/7/21,EC Kyiv (8),FATE (16),mrg  Mirage,ESEA Advanced Season 37 Europe
4/7/21,FATE (10),EC Kyiv (16),inf  Inferno,ESEA Advanced Season 37 Europe
4/7/21,Budapest Five (16),LINKDOWN (5),ovp  Overpass,TippmixPro Masters 2021
4/7/21,Budapest Five (16),LINKDOWN (9),mrg  Mirage,TippmixPro Masters 2021
4/7/21,Budapest Five (16),LINKDOWN (10),vtg  Vertigo,TippmixPro Masters 2021
4/7/21,ZEROZONE (13),eXploit (16),inf  Inferno,RTP Arena Cup 2021 Closed Qualifier
4/7/21,ZEROZONE (10),eXploit (16),nuke  Nuke,RTP Arena Cup 2021 Closed Qualifier
4/7/21,Entropiq Prague (16),ex-Marlian (4),mrg  Mirage,Polish Esport Summer 2021 Cup 2
4/7/21,Entropiq Prague (16),ex-Marlian (10),d2  Dust2,Polish Esport Summer 2021 Cup 2
4/7/21,Endpoint (10),FURIA (16),mrg  Mirage,Elisa Invitational Summer 2021
4/7/21,Endpoint (12),FURIA (16),anc  Ancient,Elisa Invitational Summer 2021
4/7/21,FURIA (10),Endpoint (16),ovp  Overpass,Elisa Invitational Summer 2021
4/7/21,DBL PONEY (16),AGO (14),anc  Ancient,Pinnacle Cup II
4/7/21,AGO (11),DBL PONEY (16),vtg  Vertigo,Pinnacle Cup II
4/7/21,Natus Vincere (16),Spirit (9),inf  Inferno,StarLadder CIS RMR 2021
4/7/21,Natus Vincere (9),Spirit (16),d2  Dust2,StarLadder CIS RMR 2021
4/7/21,Spirit (5),Natus Vincere (16),mrg  Mirage,StarLadder CIS RMR 2021
4/7/21,GTZ (7),FTW (16),vtg  Vertigo,RTP Arena Cup 2021 Closed Qualifier
4/7/21,GTZ (11),FTW (16),inf  Inferno,RTP Arena Cup 2021 Closed Qualifier
4/7/21,OneTap (16),UDP (8),d2  Dust2,Romanian Esports League 3 Finals
4/7/21,OneTap (10),UDP (16),mrg  Mirage,Romanian Esports League 3 Finals
4/7/21,UDP (7),OneTap (16),ovp  Overpass,Romanian Esports League 3 Finals
4/7/21,HAVU (16),Copenhagen Flames (13),nuke  Nuke,Pinnacle Cup II
