Date,Team1,Team2,Map,Event
25/2/22,Omapeli (16),SAWO (12),d2  Dust2,Elisa Open Finland Season 1
25/2/22,BIG (9),FORZE (16),mrg  Mirage,Pinnacle Winter Series 2
25/2/22,FORZE (16),BIG (9),d2  Dust2,Pinnacle Winter Series 2
25/2/22,Entropiq (8),BLUEJAYS (16),mrg  Mirage,Pinnacle Winter Series 2
25/2/22,BLUEJAYS (16),Entropiq (13),ovp  Overpass,Pinnacle Winter Series 2
25/2/22,X13 (8),TeamOne (16),mrg  Mirage,ESL Challenger League Season 40 North America
25/2/22,TeamOne (16),X13 (9),nuke  Nuke,ESL Challenger League Season 40 North America
25/2/22,MIBR Academy (16),FURIA Academy (6),mrg  Mirage,Liga Gamers Club 2022 Serie A February Cup
25/2/22,FURIA Academy (9),MIBR Academy (16),nuke  Nuke,Liga Gamers Club 2022 Serie A February Cup
24/2/22,Meta (6),Black Dragons (16),nuke  Nuke,Liga Gamers Club 2022 Serie A February Cup
24/2/22,Black Dragons (14),Meta (16),inf  Inferno,Liga Gamers Club 2022 Serie A February Cup
24/2/22,Meta (9),Black Dragons (16),d2  Dust2,Liga Gamers Club 2022 Serie A February Cup
24/2/22,Eternal Fire (16),ex-AGF (12),nuke  Nuke,Elisa Invitational Winter 2021
24/2/22,ex-AGF (5),Eternal Fire (16),mrg  Mirage,Elisa Invitational Winter 2021
24/2/22,Eternal Fire (13),ex-AGF (16),vtg  Vertigo,Elisa Invitational Winter 2021
24/2/22,GamerLegion (10),Wisla Krakow (16),ovp  Overpass,ESL Challenger League Season 40 Europe
24/2/22,Wisla Krakow (11),GamerLegion (16),mrg  Mirage,ESL Challenger League Season 40 Europe
24/2/22,GamerLegion (20),Wisla Krakow (22),nuke  Nuke,ESL Challenger League Season 40 Europe
24/2/22,ECSTATIC (8),1shot (16),inf  Inferno,ESL Challenger League Season 40 Europe
24/2/22,1shot (11),ECSTATIC (16),vtg  Vertigo,ESL Challenger League Season 40 Europe
24/2/22,ECSTATIC (8),1shot (16),nuke  Nuke,ESL Challenger League Season 40 Europe
24/2/22,FORZE (16),1WIN (10),ovp  Overpass,Pinnacle Winter Series 2
24/2/22,1WIN (7),FORZE (16),mrg  Mirage,Pinnacle Winter Series 2
24/2/22,HAVU (16),Savage (12),ovp  Overpass,Elisa Invitational Winter 2021
24/2/22,HAVU (16),Savage (11),inf  Inferno,Elisa Invitational Winter 2021
24/2/22,Savage (19),HAVU (17),d2  Dust2,Elisa Invitational Winter 2021
24/2/22,BLUEJAYS (16),Endpoint (13),d2  Dust2,Pinnacle Winter Series 2
24/2/22,Endpoint (17),BLUEJAYS (19),mrg  Mirage,Pinnacle Winter Series 2
24/2/22,SKADE (16),K23 (5),anc  Ancient,Pinnacle Winter Series 2
24/2/22,K23 (9),SKADE (16),inf  Inferno,Pinnacle Winter Series 2
24/2/22,Sprout (9),Dignitas (16),ovp  Overpass,Elisa Invitational Winter 2021
24/2/22,Dignitas (19),Sprout (17),anc  Ancient,Elisa Invitational Winter 2021
24/2/22,Sprout (16),Dignitas (9),vtg  Vertigo,Elisa Invitational Winter 2021
24/2/22,GamerLegion (16),Eternal Fire (8),vtg  Vertigo,Pinnacle Winter Series 2
24/2/22,GamerLegion (16),Eternal Fire (13),inf  Inferno,Pinnacle Winter Series 2
24/2/22,Eternal Fire (16),GamerLegion (8),mrg  Mirage,Pinnacle Winter Series 2
24/2/22,paiN (16),Bad News Bears (8),d2  Dust2,ESL Challenger League Season 40 North America
24/2/22,Bad News Bears (14),paiN (16),anc  Ancient,ESL Challenger League Season 40 North America
24/2/22,paiN (9),Bad News Bears (16),inf  Inferno,ESL Challenger League Season 40 North America
24/2/22,X13 (16),Eros (9),mrg  Mirage,ESL Challenger League Season 40 North America
24/2/22,Eros (12),X13 (16),inf  Inferno,ESL Challenger League Season 40 North America
24/2/22,Party Astronauts (16),TeamOne (13),ovp  Overpass,ESL Challenger League Season 40 North America
24/2/22,TeamOne (16),Party Astronauts (14),mrg  Mirage,ESL Challenger League Season 40 North America
24/2/22,Party Astronauts (16),TeamOne (2),inf  Inferno,ESL Challenger League Season 40 North America
24/2/22,Stone (4),MIBR Academy (16),mrg  Mirage,Liga Gamers Club 2022 Serie A February Cup
24/2/22,MIBR Academy (16),Stone (10),d2  Dust2,Liga Gamers Club 2022 Serie A February Cup
23/2/22,Dignitas (16),OG (19),inf  Inferno,PGL Major Antwerp 2022 Europe RMR Open Qualifier 1
23/2/22,OG (13),HEET (16),inf  Inferno,PGL Major Antwerp 2022 Europe RMR Open Qualifier 1
23/2/22,Redragon (10),Black Dragons (16),inf  Inferno,Liga Gamers Club 2022 Serie A February Cup
23/2/22,Redragon (11),Black Dragons (16),mrg  Mirage,Liga Gamers Club 2022 Serie A February Cup
