Date,Team1,Team2,Map,Event
2/10/21,ONET4P (12),Triumph (16),nuke  Nuke,SteelSeries Prime Cup 2021
2/10/21,Triumph (14),ONET4P (16),d2  Dust2,SteelSeries Prime Cup 2021
2/10/21,Brazen (10),RBG (16),ovp  Overpass,SteelSeries Prime Cup 2021
2/10/21,RBG (16),Brazen (11),mrg  Mirage,SteelSeries Prime Cup 2021
2/10/21,Stone (13),Meta (16),vtg  Vertigo,La Liga Pro 2021 Clausura South
2/10/21,Detonate (11),Party Astronauts (16),ovp  Overpass,SteelSeries Prime Cup 2021
2/10/21,Party Astronauts (16),Detonate (7),inf  Inferno,SteelSeries Prime Cup 2021
2/10/21,ATK (16),Third Impact (9),nuke  Nuke,SteelSeries Prime Cup 2021
2/10/21,Third Impact (13),ATK (16),mrg  Mirage,SteelSeries Prime Cup 2021
2/10/21,Bad News Bears (8),Extra Salt (16),anc  Ancient,IEM Winter 2021 North America Open Qualifier
2/10/21,Extra Salt (16),Bad News Bears (11),inf  Inferno,IEM Winter 2021 North America Open Qualifier
2/10/21,paiN (16),TeamOne (5),ovp  Overpass,IEM Winter 2021 North America Open Qualifier
2/10/21,TeamOne (13),paiN (16),nuke  Nuke,IEM Winter 2021 North America Open Qualifier
2/10/21,River Plate (25),Leviatan (22),vtg  Vertigo,La Liga Pro 2021 Clausura South
2/10/21,Imperial (8),MIBR (16),mrg  Mirage,IEM Fall 2021 South America
2/10/21,MIBR (16),Imperial (6),nuke  Nuke,IEM Fall 2021 South America
2/10/21,Extra Salt (16),Levitate (9),vtg  Vertigo,IEM Winter 2021 North America Open Qualifier
2/10/21,Coscu Army (5),Isurus (16),nuke  Nuke,La Liga Pro 2021 Clausura South
2/10/21,paiN (16),Infinity (4),anc  Ancient,IEM Winter 2021 North America Open Qualifier
1/10/21,FaZe (16),DBL PONEY (13),inf  Inferno,IEM Fall 2021 Europe
1/10/21,Bravos (16),PAMPAS (3),anc  Ancient,La Liga Pro 2021 Clausura South
1/10/21,TeamOne (16),Bad News Bears (9),inf  Inferno,Flow FiReLEAGUE 2021 North America
1/10/21,Bad News Bears (6),TeamOne (16),ovp  Overpass,Flow FiReLEAGUE 2021 North America
1/10/21,SKADE (14),Ninjas in Pyjamas (16),ovp  Overpass,IEM Fall 2021 Europe
1/10/21,Fiend (16),fnatic (12),inf  Inferno,IEM Fall 2021 Europe
1/10/21,Sprout (12),Dignitas (16),inf  Inferno,IEM Fall 2021 Europe
1/10/21,OPAA (16),Kappa Bar (11),ovp  Overpass,Esportal Anker Cup 2021
1/10/21,Kappa Bar (16),OPAA (2),anc  Ancient,Esportal Anker Cup 2021
1/10/21,OPAA (16),Kappa Bar (9),nuke  Nuke,Esportal Anker Cup 2021
1/10/21,K23 (7),FORZE (4),ovp  Overpass,IEM Fall 2021 CIS
1/10/21,FORZE (2),Unique (4),ovp  Overpass,IEM Fall 2021 CIS
1/10/21,OG (9),Vitality (16),mrg  Mirage,IEM Fall 2021 Europe
1/10/21,MAD Lions (11),ENCE (16),mrg  Mirage,IEM Fall 2021 Europe
1/10/21,Unique (4),K23 (2),ovp  Overpass,IEM Fall 2021 CIS
1/10/21,INDE IRAE (2),Virtus.pro (4),vtg  Vertigo,IEM Fall 2021 CIS
1/10/21,Movistar Riders (16),Complexity (14),nuke  Nuke,IEM Fall 2021 Europe
1/10/21,Virtus.pro (0),Gambit (4),vtg  Vertigo,IEM Fall 2021 CIS
1/10/21,VP.Prodigy (9),MOUZ NXT (16),nuke  Nuke,WePlay Academy League Season 2
1/10/21,MOUZ NXT (19),VP.Prodigy (16),vtg  Vertigo,WePlay Academy League Season 2
1/10/21,Gambit (4),INDE IRAE (0),vtg  Vertigo,IEM Fall 2021 CIS
1/10/21,Astralis (16),Heroic (14),nuke  Nuke,IEM Fall 2021 Europe
1/10/21,Endpoint (9),SINNERS (16),anc  Ancient,IEM Fall 2021 Europe
1/10/21,Nemiga (5),Entropiq (7),ovp  Overpass,IEM Fall 2021 CIS
1/10/21,Spirit (4),Nemiga (1),ovp  Overpass,IEM Fall 2021 CIS
1/10/21,cowana (16),NLG (14),anc  Ancient,ESEA Advanced Season 38 Europe
1/10/21,NLG (15),cowana (19),inf  Inferno,ESEA Advanced Season 38 Europe
1/10/21,Copenhagen Flames (19),G2 (16),nuke  Nuke,IEM Fall 2021 Europe
1/10/21,MOUZ (16),AURA (10),mrg  Mirage,IEM Fall 2021 Europe
1/10/21,BIG (16),FunPlus Phoenix (7),ovp  Overpass,IEM Fall 2021 Europe
1/10/21,Entropiq (10),Spirit (7),ovp  Overpass,IEM Fall 2021 CIS
